English	Maltese
black	iswed
blue	ikħal, blu
brown	kannella
gray	griż
green	aħdar
orange	oranġjo
pink	roża
red	aħmar
violet	vjola
white	abjad
yellow	isfar
eight	tmienja
eighteen	tmintax
eighty	tmenin
eleven	ħadx
fifteen	ħmistax
fifty	ħamsin
five	ħamsa
forty	erbgħin
four	erbgħa
fourteen	erbatax
hundred	mija
million	miljun
nine	disgħa
ninety	disgħin
one	wieħed
seven	sebgħa
seventy	sebgħin
six	sitta
sixteen	sittax
sixty	sittin
ten	għaxra
thirteen	tlettax
thirty	tletin
thousand	elf
thousand	elf
three	tlieta
twenty	għoxrin
two	tnejn
arm	driegħ
back	dahar
beak	munqar
blood	demm
body	torso
bone	għadma
brain	moħħ
breath	nifs
cell	ċellula
chest	sider
chin	geddum, lħit
ear	widna
eye	għajn
face	wiċċ
finger	saba'
foot	sieq
forehead	ġbin
hair	xagħar, xuxa
hair	pil, xagħar
hand	id
head	ras
heart	qalb
knee	rkoppa, rkobba
leg	riġel
lip	xoffa
mouth	ħalq
muscle	muskolu
nail	difer
neck	għonq
nerve	nerv
nose	mnieħer
skin	ġilda
stomach	stonku
tail	demb, denb
throat	gerżuma
thumb	saba' l-kbir
toe	saba' tas-sieq
tongue	lsien
tooth	sinna
wing	ġwejnaħ
ant	nemla
bear	ors
bee	naħla
bird	għasfur
cat	qattus
cow	baqra
dog	kelb
elephant	ljunfant
fish	ħuta
fly	dubbiena
goat	mogħża
horse	żiemel
insect	insett
lion	iljun
monkey	xadina
pig	ħanżir, qassquż
sheep	nagħġa
snake	lifgħa, serp
afternoon	wara nofsinhar
age	età
April	April
August	Awwissu
autumn	ħarifa
beginning	bidu
day	jum, ġurnata
December	Diċembru
end	tarf
evening	għaxija, filgħaxija
February	Frar
future	futur, gejjini
hour	siegħa
January	Jannar
July	Lulju
June	Ġunju
May	Mejju
minute	minuta
month	xahar
morning	għodwa, filgħodu
night	lejl, dlam
November	Novembru
October	Ottubru
past	imgħoddi, passat
present	preżent, issa
second	sekonda
September	Settembru
spring	rebbiegħa
summer	sajf
tomorrow	għada
week	ġimgħa
while	waqt, mument
winter	xitwa
year	sena
bread	ħobż
breakfast	kolazzjon
butter	butir
cake	kejk
cheese	ġobon
chocolate	ċikkulata
egg	bajda
food	ikel
fruit	frotta
lunch	pranzu
meal	ikla
meat	laħam
oil	żejt
rice	ross
salad	insalata
salt	melħ
sandwich	sandwiċċ
soup	soppa
sugar	zokkor
sweet	ħlewwa
beer	birra
coffee	kafè
drink	xorb, xarba
milk	ħalib
milkshake	milkshake
tea	tè
water	ilma
wine	mbit, mbid
apple	tuffieha, tuffieħa
apricot	berquqa
banana	banana
blackberry	tut
cherry	ċirasa
lemon	lumija
nut	lewża
orange	larinġa
peach	ħawħa
pear	lanġasa
pineapple	ananas
plum	għajnbaqra
raspberry	framboża, lampuna
strawberry	frawla
bean	fażola, fula
cabbage	kaboċċa
carrot	karrottu, zfunnarija
cucumber	ħjara
garlic	tewm
olive	żebbuġa
onion	basla
pea	piżella
potato	patata
radish	ravanella
tomato	tadama
baby	tarbija
birth	twelid
birthday	għeluq is-snin
boy	tifel
brother	ħu
child	tifel, tifla
daughter	bint
death	mewt
family	familja, razza
father	missier
friend	ħabib
girl	tifla, tfajla
human	bniedem
man	raġel
mother	omm
person	persuna, bniedem
sister	oħt
son	iben, tifel
wedding	żwieġ, tieġ
woman	mara
address	indirizz
bathroom	kamra tal-banju
bedroom	kamra tas-sodda
brick	brikk
door	bieb
floor	art
floor	sular
garage	garaxx
garden	ġnien
gate	xatba, grada
hall	intrata
home	dar
house	dar
kitchen	kċina
roof	saqaf
room	kamra
shower	doxxa
step	tarġa
toilet	latrina
wall	ħajt
well	bir, ġibja
window	tieqa
bed	sodda
carpet	tapit
chair	siġġu
cupboard	armarju
curtain	purtiera
desk	skrivanija
furniture	għamara, biċċa għamara
shelf	skaffa, xkaffa
sink	sink, mejjilla
table	mejda
bag	portmoni
boot	stival, boot
cloth	drapp
clothing	biċċa ħwejjeġ
coat	kowt
collar	għonq
hat	kappel
jacket	ġakketta
jewel	ġojjell, ġemma
ring	ċurkett
shirt	qmis
shoe	żarbun
skirt	dublett
sock	peduna, kalzetta
suitcase	bagoll, bagalja
tie	ingravata
air	arja
animal	annimal, bhima
branch	fergħa
evolution	żvilupp, evoluzzjoni
farm	razzett
field	għalqa
