English	Norwegian
bad	vond
better	bedre
clean	ren
cold	kald
correct	riktig
dark	mørk
difficult	vanskelig
dirty	skitten
fast	rask
good	snill
great	flott
healthy	sunn
hot	varm
left	venstre
little	liten
new	ny
nice	snill
real	ekte
right	høyre
sharp	skarp
soft	myk
weak	veik
wrong	gal
all	alt
automatic	automatisk
available	tilgjengelig
bitter	bitter
boring	kjedelig
both	begge
bright	klar
certain	viss
cheap	billig
chemical	kjemisk
closed	lukket
common	felles
conscious	bevisst
delicate	sart
different	ulik
down	nede
dry	tørr
economic	økonomisk
economic	økonomisk
electric	elektrisk
even	nettopp
even	slett
every	hver
excellent	utmerket
far	fjern
fat	tykk
flat	flat
following	påfølgende
foreign	fremmed
former	foregående
fragile	skrøpelig
free	gratis
fresh	frisk
full	hel
general	generell
industrial	industriell
interesting	interessant
international	internasjonal
last	sist
loud	høyrøstet
low	lav
many	mange
narrow	trang
national	nasjonal
necessary	nødvendig
no	ingen
normal	normal
off	av
on	ved
opposite	motsatt
original	original
other	andre
parallel	parallell
physical	fysisk
political	politisk
poor	fattig
private	privat
probable	sannsynlig
professional	profesjonell
quiet	stille
ready	klar
responsible	ansvarlig
rigid	stiv
rough	rå
round	sirkelrund
safe	trygg
same	samme
second	andre
secret	hemmelig
separate	atskilt
serious	alvorlig
set	fastsatt
silent	stille
simple	lett
single	eneste
smooth	jevn
special	ekstra
specific	spesifikk
square	firkantet
squeamish	delikat
standard	normal
sticky	klebrig
stylish	elegant
thick	tett
tight	tett
true	riktig
under	under
various	forskjellig
warm	varm
wet	fuktig
wide	bred