English	Norwegian
be	være til
begin	starte
break	bryte
buy	kjøpe
close	lukke
come	komme
dance	danse
do	eksersis
draw	tegne
drink	drikke
eat	spise
fall	falle
feel	famle
fire	gi sparken
follow	følge
forget	glemme
get	få
give	gi
have	ha
help	hjelpe
hope	håpe
laugh	le
learn	lære
lie	ligge
like	like
love	like
make	gjøre
meet	møte
move	røre
need	forlange
offer	tilby
open	lukke opp
pay	betale
play	spille
pull	trekke
push	skubbe
put	legge
read	lese
say	si
sell	selge
sing	synge
sit	sitte
talk	tale
understand	oppfatte
use	bruke
wait	vente
write	skrive
accept	anta
accuse	beskylde
achieve	oppnå
add	legge sammen
admit	gi adgang
affect	påvirke
allow	godkjenne
argue	stride
arrive	ankomme
ask	spørre
attack	angripe
avoid	unngå
be	leve
bear	bære
beat	banke
bring	bringe
build	bygge
call	ringe opp
carry	bære
cause	få til
choose	merke
classify	sortere
clean	pusse
compare	sammenligne
contain	inneholde
continue	fortsette
control	beherske
copy	kopiere
cough	hoste
cry	gråte
decide	bestemme
describe	beskrive
design	skissere
desire	begjære
develop	utvikle
discuss	debattere
divide	dele
doubt	tvile
drive	styre
embrace	omfatte
end	slutte
enhance	forhøye
establish	få til
exist	eksistere
expect	vente
fight	slåss
find	oppdage
finish	slutte
forgive	tilgi
free	frigjøre
happen	finne sted
hate	hate
hide	gjemme
identify	identifisere
increase	vokse
injure	såre
introduce	presentere
join	forbinde
keep	bevare
kick	sparke
kill	drepe
land	lande
lead	lede
leave	etterlate
let	la
limit	begrense
load	lesse på
look	se ut
manage	lede
marry	gifte seg
mean	tilsikte
measure	måle
mention	sitere
miss	gå glipp av
miss	bomme
order	by
own	eie
please	glede
poison	forgifte
polish	polere
prepare	forberede
press	presse
prevent	forebygge
print	trykke
process	bearbeide
protest	protestere
prove	godtgjøre
raise	oppdra
reach	oppnå
receive	få
reduce	forminske
reflect	gjenspeile
refuse	avslå
remove	fjerne
replace	erstatte
reply	svare
represent	forestille
respect	akte
risk	risikere
rule	regjere
save	lagre
save	berge
see	se på
send	sende
shout	skrike
show	demonstrere
smell	dufte
smell	stinke
spend	tilbringe
stand	stå
stay	bli
steal	stjele
stop	stoppe
study	studere
suffer	lide
suggest	foreslå
supply	levere
taste	smake
teach	lære
test	prøve
throw	slenge
trade	handle
travel	gå
treat	behandle
try	prøve
turn	svinge
visit	besøke
walk	gå
wash	vaske
watch	iaktta
wear	bære