Norwegian	﻿English
vond	bad
bedre	better
ren	clean
kald	cold
riktig	correct
mørk	dark
vanskelig	difficult
skitten	dirty
rask	fast
snill	good
flott	great
sunn	healthy
varm	hot
venstre	left
liten	little
ny	new
snill	nice
ekte	real
høyre	right
skarp	sharp
myk	soft
veik	weak
gal	wrong
alt	all
automatisk	automatic
tilgjengelig	available
bitter	bitter
kjedelig	boring
begge	both
klar	bright
viss	certain
billig	cheap
kjemisk	chemical
lukket	closed
felles	common
bevisst	conscious
sart	delicate
ulik	different
nede	down
tørr	dry
økonomisk	economic
økonomisk	economic
elektrisk	electric
nettopp	even
slett	even
hver	every
utmerket	excellent
fjern	far
tykk	fat
flat	flat
påfølgende	following
fremmed	foreign
foregående	former
skrøpelig	fragile
gratis	free
frisk	fresh
hel	full
generell	general
industriell	industrial
interessant	interesting
internasjonal	international
sist	last
høyrøstet	loud
lav	low
mange	many
trang	narrow
nasjonal	national
nødvendig	necessary
ingen	no
normal	normal
av	off
ved	on
motsatt	opposite
original	original
andre	other
parallell	parallel
fysisk	physical
politisk	political
fattig	poor
privat	private
sannsynlig	probable
profesjonell	professional
stille	quiet
klar	ready
ansvarlig	responsible
stiv	rigid
rå	rough
sirkelrund	round
trygg	safe
samme	same
andre	second
hemmelig	secret
atskilt	separate
alvorlig	serious
fastsatt	set
stille	silent
lett	simple
eneste	single
jevn	smooth
ekstra	special
spesifikk	specific
firkantet	square
delikat	squeamish
normal	standard
klebrig	sticky
elegant	stylish
tett	thick
tett	tight
riktig	true
under	under
forskjellig	various
varm	warm
fuktig	wet
