Norwegian	﻿English
svart	black
brun	brown
grå	gray
orange	orange
rosa	pink
rød	red
fiolett	violet
gul	yellow
par	couple
åtte	eight
atten	eighteen
åtti	eighty
elleve	eleven
førti	forty
fire	four
fjorten	fourteen
million	million
ni	nine
nitten	nineteen
nitti	ninety
intet	nothing
ett	one
sju	seven
sytti	seventy
seks	six
seksten	sixteen
seksti	sixty
ti	ten
tredje	third
tretten	thirteen
1000	thousand
tre	three
arm	arm
nebb	beak
blod	blood
kropp	body
knokkel	bone
hjerne	brain
ånde	breath
celle	cell
bryst	chest
hake	chin
øre	ear
øye	eye
fjes	face
finger	finger
fot	foot
panne	forehead
gen	gene
hår	hair
hånd	hand
hode	head
hjerte	heart
kne	knee
bein	leg
leppe	lip
munn	mouth
muskel	muscle
negl	nail
hals	neck
nerve	nerve
nese	nose
hud	skin
magesekk	stomach
hale	tail
strupe	throat
tommelfinger	thumb
tå	toe
tunge	tongue
tann	tooth
maur	ant
bjørnefamilien	bear
bie	bee
fugl	bird
katte	cat
ku	cow
hund	dog
elefant	elephant
fisk	fish
flue	fly
geit	goat
hest	horse
insekt	insect
løve	lion
apekatt	monkey
svin	pig
sau	sheep
slange	snake
ettermiddag	afternoon
alder	age
april	April
August	August
høst	autumn
begynnelse	beginning
århundre	century
dato	date
dag	day
desember	December
slutt	end
kveld	evening
februar	February
fredag	Friday
fremtid	future
time	hour
januar	January
juli	July
juni	June
mai	May
midnatt	midnight
minutt	minute
øyeblikk	moment
øyeblikk	moment
mandag	Monday
måned	month
formiddag	morning
natt	night
november	November
nå	now
oktober	October
fortid	past
pause	pause
periode	period
i dag	present
Lørdag	Saturday
sesong	season
sekund	second
september	September
vår	spring
sommer	summer
Søndag	Sunday
Torsdag	Thursday
Tirsdag	Tuesday
Onsdag	Wednesday
ukedager	week
helg	weekend
stund	while
vinter	winter
år	year
brød	bread
frokost	breakfast
smør	butter
kake	cake
ost	cheese
sjokolade	chocolate
egg	egg
mat	food
frukt	fruit
lunsj	lunch
måltid	meal
kjøtt	meat
olje	oil
ris	rice
salat	salad
salt	salt
sandwich	sandwich
saus	sauce
suppe	soup
sukker	sugar
øl	beer
kaffe	coffee
drikke	drink
melk	milk
milkshake	milkshake
te	tea
vann	water
vin	wine
eple	apple
aprikos	apricot
banan	banana
bjørnebær	blackberry
kirsebær	cherry
sitron	lemon
nøtt	nut
appelsin	orange
fersken	peach
pære	pear
ananas	pineapple
plomme	plum
bringebær	raspberry
jordbær	strawberry
bønne	bean
kål	cabbage
gulrot	carrot
agurk	cucumber
hvitløk	garlic
oliven	olive
løk	onion
pastinakk	parsnip
potet	potato
reddik	radish
tomat	tomato
spedbarn	baby
fødsel	birth
fødselsdag	birthday
gutt	boy
bror	brother
datter	daughter
død	death
serie	family
far	father
venn	friend
jente	girl
bestefar	grandfather
menneske	human
ektefelle	husband
mann	man
ekteskap	marriage
mor	mother
individ	person
forhold	relationship
søster	sister
bryllup	wedding
giftermål	wedding
kone	wife
kvinne	woman
adresse	address
bad	bathroom
soverom	bedroom
teglstein	brick
dør	door
etasje	floor
garasje	garage
hage	garden
port	gate
hall	hall
hjem	home
hus	house
kjøkken	kitchen
tak	roof
værelse	room
dusj	shower
trappetrinn	step
toalett	toilet
mur	wall
brønn	well
vindu	window
seng	bed
teppe	carpet
stol	chair
skap	cupboard
gardin	curtain
møbler	furniture
hylle	shelf
vaskeservant	sink
bord	table
dameveske	bag
støvel	boot
stoff	cloth
klær	clothing
frakk	coat
snipp	collar
hatt	hat
jakke	jacket
edelstein	jewel
fingerring	ring
skjorte	shirt
sko	shoe
skjørt	skirt
sokk	sock
koffert	suitcase
slips	tie
luft	air
dyr	animal
gren	branch
utvikling	evolution
gård	farm
felt	field
ild	fire
skog	forest
gress	grass
blad	leaf
liv	life
lyn	lightning
