Norwegian	﻿English
være til	be
starte	begin
bryte	break
kjøpe	buy
lukke	close
komme	come
danse	dance
eksersis	do
tegne	draw
drikke	drink
spise	eat
falle	fall
famle	feel
gi sparken	fire
følge	follow
glemme	forget
få	get
gi	give
ha	have
hjelpe	help
håpe	hope
le	laugh
lære	learn
ligge	lie
like	like
like	love
gjøre	make
møte	meet
røre	move
forlange	need
tilby	offer
lukke opp	open
betale	pay
spille	play
trekke	pull
skubbe	push
legge	put
lese	read
si	say
selge	sell
synge	sing
sitte	sit
tale	talk
oppfatte	understand
bruke	use
vente	wait
skrive	write
anta	accept
beskylde	accuse
oppnå	achieve
legge sammen	add
gi adgang	admit
påvirke	affect
godkjenne	allow
stride	argue
ankomme	arrive
spørre	ask
angripe	attack
unngå	avoid
leve	be
bære	bear
banke	beat
bringe	bring
bygge	build
ringe opp	call
bære	carry
få til	cause
merke	choose
sortere	classify
pusse	clean
sammenligne	compare
inneholde	contain
fortsette	continue
beherske	control
kopiere	copy
hoste	cough
gråte	cry
bestemme	decide
beskrive	describe
skissere	design
begjære	desire
utvikle	develop
debattere	discuss
dele	divide
tvile	doubt
styre	drive
omfatte	embrace
slutte	end
forhøye	enhance
få til	establish
eksistere	exist
vente	expect
slåss	fight
oppdage	find
slutte	finish
tilgi	forgive
frigjøre	free
finne sted	happen
hate	hate
gjemme	hide
identifisere	identify
vokse	increase
såre	injure
presentere	introduce
forbinde	join
bevare	keep
sparke	kick
drepe	kill
lande	land
lede	lead
etterlate	leave
la	let
begrense	limit
lesse på	load
se ut	look
lede	manage
gifte seg	marry
tilsikte	mean
måle	measure
sitere	mention
gå glipp av	miss
bomme	miss
by	order
eie	own
glede	please
forgifte	poison
polere	polish
forberede	prepare
presse	press
forebygge	prevent
trykke	print
bearbeide	process
protestere	protest
godtgjøre	prove
oppdra	raise
oppnå	reach
få	receive
forminske	reduce
gjenspeile	reflect
avslå	refuse
fjerne	remove
erstatte	replace
svare	reply
forestille	represent
akte	respect
risikere	risk
regjere	rule
lagre	save
berge	save
se på	see
sende	send
skrike	shout
demonstrere	show
dufte	smell
stinke	smell
tilbringe	spend
stå	stand
bli	stay
stjele	steal
stoppe	stop
studere	study
lide	suffer
foreslå	suggest
levere	supply
smake	taste
lære	teach
prøve	test
slenge	throw
handle	trade
gå	travel
behandle	treat
prøve	try
svinge	turn
besøke	visit
gå	walk
vaske	wash
iaktta	watch
