English	Polish
another	inny
bad	niedobry
basic	podstawowy
beautiful	piękny
best	najlepszy
better	lepszy
big	duży
clean	czysty
cold	zimny
correct	prawidłowy
dark	ciemny
difficult	trudny
dirty	nieczysty
fast	szybki
good	grzeczny
great	wielki
great	świetny
happy	szczęśliwy
healthy	zdrowy
heavy	ciężki
hot	gorący
important	ważny
left	lewy
light	lekki
little	drobny
near	niedaleki
new	nowy
nice	miły
real	prawdziwy
right	prawy
sharp	wyczulony
similar	podobny
slow	wolny
soft	miękki
strong	mocny
weak	słaby
wrong	niepoprawny
ago	temu
all	wszystko
any	jakikolwiek
automatic	automatyczny
available	dostępny
bitter	gorzki
boring	nudny
both	oboje
bright	jasny
broken	zniszczony
central	główny
certain	pewny
cheap	tani
chemical	chemiczny
clear	czysty
closed	zamknięty
common	pospolity
common	wspólny
complete	pełen
conscious	świadomy
cruel	okrutny
dangerous	niebezpieczny
delicate	delikatny
deplorable	smutny
different	różny
different	niepodobny
down	pod
dry	suchy
each	każdy
early	wczesny
easy	łatwy
economic	ekonomiczny
economic	oszczędny
electric	elektryczny
equal	równy
even	parzysty
even	równy
every	każdy
excellent	znakomity
fake	fałszywy
far	daleko
fat	utuczony
fat	duży
few	mało
final	ostateczny
financial	finansowy
firm	mocny
flat	płaski
following	następny
foreign	zagraniczny
former	dawny
fragile	delikatny
free	darmowy
frequent	częsty
fresh	świeży
front	przedni
full	pełny
full	całkowity
further	dalej
future	przyszły
general	ogólny
industrial	przemysłowy
interesting	interesujący
international	międzynarodowy
last	ostatni
late	późno
legal	prawny
liquid	płynny
local	miejscowy
loud	głośny
low	niski
lucky	mający szczęście
main	główny
major	główny
many	dużo
metal	metalowy
military	wojskowy
minute	drobny
modern	współczesny
more	więcej
much	dużo
narrow	wąski
national	narodowy
natural	naturalny
necessary	niezbędny
next	przylegający
no	nr
normal	normalny
off	z
on	przy
opposite	przeciwny
original	początkowy
other	inny
own	własny
parallel	równoległy
particular	specjalny
past	ubiegły
personal	własny
physical	cielesny
political	polityczny
poor	biedny
popular	popularny
possible	możliwy
present	obecny
previous	poprzedni
private	prywatny
probable	prawdopodobny
professional	fachowy
public	publiczny
quiet	spokojny
ready	przygotowany
recent	ostatni
regular	regularny
responsible	odpowiedzialny
rigid	sztywny
rough	grubiański
round	okrągły
safe	bezpieczny
same	ten sam
second	drugi
secret	tajny
separate	osobny
serious	poważny
set	ustalony
several	kilka
short	krótki
silent	cichy
simple	łatwy
single	jeden
small	mały
smooth	gładki
solid	stały
sparse	rzadki
special	szczególny
specific	określony
square	kwadratowy
squeamish	delikatny
standard	znormalizowany
sticky	kleisty
straight	prosty
strange	dziwny
stylish	szykowny
sudden	nagły
sweet	słodki
tall	wysoki
thick	gęsty
thin	cienki
tight	ciasny
true	prawdziwy
ugly	brzydki
under	pod
unusual	niezwykły
usual	pospolity
various	zróżnicowany
warm	ciepły
wet	mokry
whole	cały
wide	szeroki