English	Polish
about	dookoła
above	nad
again	jeszcze raz
almost	prawie
along	wzdłuż
already	już
always	zawsze
approximately	około
as	jak
before	zanim
behind	za
between	między
by	przez
directly	wprost
early	wcześnie
either	oba
enough	dostatecznie dużo
exactly	dokładnie
finally	wreszcie
first	najpierw
forward	przedni
generally	na ogół
here	tutaj
here	tutaj
however	jednakże
immediately	zaraz
in	w
indeed	naprawdę
inside	w środku
late	późno
least	najmniej
little	niewielki
merely	tylko
never	nigdy
not	nie
now	aktualnie
obviously	oczywiście
often	często
once	raz
outside	poza
particularly	szczególnie
possibly	być może
probably	prawdopodobnie
quickly	prędko
really	rzeczywiście
really	naprawdę
recently	ostatnio
slowly	powoli
so	tak
solely	tylko
sometimes	czasami
soon	niedługo
still	jeszcze
such	taki
surely	na pewno
then	wtedy
there	oto
therefore	dlatego
today	dzisiaj
together	razem
tomorrow	jutro
tonight	dzisiaj wieczorem
too	również
up	na
usually	zazwyczaj
very	naprawdę
well	zdrowy
why	dlaczego