Polish	﻿English
inny	another
niedobry	bad
podstawowy	basic
piękny	beautiful
najlepszy	best
lepszy	better
duży	big
czysty	clean
zimny	cold
prawidłowy	correct
ciemny	dark
trudny	difficult
nieczysty	dirty
szybki	fast
grzeczny	good
wielki	great
świetny	great
szczęśliwy	happy
zdrowy	healthy
ciężki	heavy
gorący	hot
ważny	important
lewy	left
lekki	light
drobny	little
niedaleki	near
nowy	new
miły	nice
prawdziwy	real
prawy	right
wyczulony	sharp
podobny	similar
wolny	slow
miękki	soft
mocny	strong
słaby	weak
niepoprawny	wrong
temu	ago
wszystko	all
jakikolwiek	any
automatyczny	automatic
dostępny	available
gorzki	bitter
nudny	boring
oboje	both
jasny	bright
zniszczony	broken
główny	central
pewny	certain
tani	cheap
chemiczny	chemical
czysty	clear
zamknięty	closed
pospolity	common
wspólny	common
pełen	complete
świadomy	conscious
okrutny	cruel
niebezpieczny	dangerous
delikatny	delicate
smutny	deplorable
różny	different
niepodobny	different
pod	down
suchy	dry
każdy	each
wczesny	early
łatwy	easy
ekonomiczny	economic
oszczędny	economic
elektryczny	electric
równy	equal
parzysty	even
równy	even
każdy	every
znakomity	excellent
fałszywy	fake
daleko	far
utuczony	fat
duży	fat
mało	few
ostateczny	final
finansowy	financial
mocny	firm
płaski	flat
następny	following
zagraniczny	foreign
dawny	former
delikatny	fragile
darmowy	free
częsty	frequent
świeży	fresh
przedni	front
pełny	full
całkowity	full
dalej	further
przyszły	future
ogólny	general
przemysłowy	industrial
interesujący	interesting
międzynarodowy	international
ostatni	last
późno	late
prawny	legal
płynny	liquid
miejscowy	local
głośny	loud
niski	low
mający szczęście	lucky
główny	main
główny	major
dużo	many
metalowy	metal
wojskowy	military
drobny	minute
współczesny	modern
więcej	more
dużo	much
wąski	narrow
narodowy	national
naturalny	natural
niezbędny	necessary
przylegający	next
nr	no
normalny	normal
z	off
przy	on
przeciwny	opposite
początkowy	original
inny	other
własny	own
równoległy	parallel
specjalny	particular
ubiegły	past
własny	personal
cielesny	physical
polityczny	political
biedny	poor
popularny	popular
możliwy	possible
obecny	present
poprzedni	previous
prywatny	private
prawdopodobny	probable
fachowy	professional
publiczny	public
spokojny	quiet
przygotowany	ready
ostatni	recent
regularny	regular
odpowiedzialny	responsible
sztywny	rigid
grubiański	rough
okrągły	round
bezpieczny	safe
ten sam	same
drugi	second
tajny	secret
osobny	separate
poważny	serious
ustalony	set
kilka	several
krótki	short
cichy	silent
łatwy	simple
jeden	single
mały	small
gładki	smooth
stały	solid
rzadki	sparse
szczególny	special
określony	specific
kwadratowy	square
delikatny	squeamish
znormalizowany	standard
kleisty	sticky
prosty	straight
dziwny	strange
szykowny	stylish
nagły	sudden
słodki	sweet
wysoki	tall
gęsty	thick
cienki	thin
ciasny	tight
prawdziwy	true
brzydki	ugly
pod	under
niezwykły	unusual
pospolity	usual
zróżnicowany	various
ciepły	warm
mokry	wet
cały	whole
