Polish	﻿English
być	be
zaczynać	begin
łamać	break
kupić	buy
zamykać	close
przyjść	come
ciąć	cut
tańczyć	dance
używać	do
rysować	draw
pić	drink
jeść	eat
padać	fall
znajdować	find
wystrzelić	fire
latać	fly
nastąpić po	follow
zapominać	forget
dostać	get
dać	give
mieć	have
słyszeć	hear
pomagać	help
mieć nadzieję	hope
posuwać się skokami	jump
całować	kiss
śmiać się	laugh
uczyć się	learn
położyć się	lie
kłamać	lie
lubić	like
słuchać	listen
patrzeć	look
stracić	lose
kochać	love
robić	make
natknąć się na	meet
ruszać	move
potrzebować	need
zaproponować	offer
otworzyć	open
płacić	pay
bawić się	play
ciągnąć	pull
pchać	push
położyć	put
czytać	read
przypominać sobie	remember
biegać	run
mówić	say
sprzedawać	sell
śpiewać	sing
siedzieć	sit
uśmiechać się	smile
brać	take
mówić	talk
zrozumieć	understand
używać	use
czekać	wait
pisać	write
przyjmować	accept
oskarżać	accuse
osiągać	achieve
działać	act
dodawać	add
dodawać	add
uznawać	admit
wpływać	affect
zgadzać się	agree
umożliwić	allow
ogłaszać	announce
kłócić	argue
przybywać	arrive
pytać	ask
atakować	attack
uniknąć	avoid
żyć	be
nosić	bear
pokonać	beat
zostać	become
postępować	behave
wierzyć	believe
spowodować	bring
budować	build
telefonować	call
przenosić	carry
sprawiać	cause
zmieniać	change
wybierać	choose
klasyfikować	classify
czyścić	clean
porównywać	compare
zawierać	contain
kontynuować	continue
kierować	control
gotować	cook
kopiować	copy
kaszleć	cough
zmiażdżyć	crush
płakać	cry
rozstrzygać	decide
opisywać	describe
projektować	design
chcieć	desire
wywoływać	develop
umierać	die
odkrywać	discover
omawiać	discuss
dzielić	divide
wątpić	doubt
jechać	drive
zawierać	embrace
zachęcać	encourage
skończyć	end
wzmagać	enhance
wchodzić	enter
założyć	establish
oszacować	estimate
przechodzić	exceed
istnieć	exist
oczekiwać	expect
wyjaśniać	explain
walczyć	fight
napełniać	fill
wykrywać	find
dokończyć	finish
wyrównywać	flush
przebaczyć	forgive
wyzwolić	free
up kapitulować	give
rosnąć	grow
stawać się	happen
nienawidzieć	hate
ukrywać	hide
trzymać	hold
rozpoznać	identify
obejmować	include
zwiększyć	increase
zranić	injure
przedstawić	introduce
połączyć	join
utrzymywać	keep
kopnąć	kick
zabijać	kill
lądować	land
długo służyć	last
prowadzić	lead
zostawić	leave
pozwolić	let
podnieść	lift
ograniczać	limit
ładować	load
zdawać się	look
stracić	lose
stać na czele	manage
poślubić	marry
korespondować	match
znaczyć	mean
zamierzać	mean
mieć rozmiar	measure
wspominać	mention
zmarnować	miss
chybić	miss
nazywać	name
kazać	order
posiadać	own
on przekazać	pass
obierać	peel
planować	plan
orać	plow
otruć	poison
polerować	polish
przygotować	prepare
przyciskać się	press
powstrzymać	prevent
drukować	print
poddać obróbce	process
zarabiać	profit
protestować	protest
dowodzić	prove
publikować	publish
wychowywać	raise
oceniać	rate
osiągnąć	reach
otrzymać	receive
nagrać	record
obcinać	reduce
odbijać	reflect
odmawiać	refuse
usunąć	remove
odłożyć z powrotem	render
zastępować	replace
odpowiadać na	reply
meldować	report
reprezentować	represent
żądać	request
szanować	respect
ujawniać	reveal
ryzykować	risk
rządzić	rule
oszczędzać	save
uratować	save
widzieć	see
uważać	see
wysyłać	send
szyć	sew
dzielić	share
krzyczeć	shout
pokazywać	show
wonieć	smell
pachnieć	smell
wdychać	smell
spędzać	spend
stać	stand
pozostać	stay
kraść	steal
zatrzymać się	stop
studiować	study
znosić	suffer
wysunąć	suggest
zaopatrzyć	supply
popierać	support
zadziwić	surprise
kosztować	taste
kształcić	teach
poddać próbie	test
dziękować	thank
rzucać	throw
zatytułować	title
handlować	trade
szkolić	train
iść	travel
traktować	treat
próbować	try
skręcić	turn
odwiedzać	visit
chodzić	walk
ogrzewać	warm
myć	wash
oglądać	watch
ubierać się w	wear
ważyć	weigh
zwyciężyć	win
