English	Portuguese
be	ser
begin	começar
break	quebrar
buy	comprar
close	fechar
come	vir
cut	cortar
dance	dançar
do	exercer
draw	desenhar
drink	beber
eat	comer
fall	cair
feel	tocar
find	encontrar
fire	disparar
fly	voar
follow	seguir
forget	esquecer
get	obter
give	dar
have	ter
hear	ouvir
help	ajudar
hope	esperar
jump	pular
kiss	beijar
laugh	rir
learn	aprender
lie	ficar
lie	mentir
like	gostar
listen	ouvir
look	olhar
lose	perder
love	amar
meet	encontrar
move	mudar
need	desejar
offer	oferecer
open	abrir
pay	pagar
play	brincar
pull	puxar
push	empurrar
put	pousar
read	ler
remember	recordar
run	correr
say	dizer
sell	vender
sing	cantar
sit	sentar
smile	sorrir
take	tomar
talk	falar
understand	compreender
use	usar
wait	esperar
write	escrever
accept	aceitar
accuse	acusar
achieve	realizar
act	agir
add	adicionar
admit	reconhecer
agree	concordar
allow	permitir
announce	anunciar
argue	discutir
arrive	chegar
ask	perguntar
attack	atacar
avoid	evitar
be	viver
bear	transportar
beat	dominar
become	tornar-se
behave	agir
believe	acreditar
benefit	bem
bring	dar
build	construir
call	telefonar
carry	transportar
catch	surpreender
cause	obter
change	alterar
choose	escolher
classify	classificar
clean	limpar
compare	comparar
contain	conter
continue	continuar
control	controlar
cook	cozinhar
copy	copiar
cough	tossir
crush	pisar
cry	chorar
decide	decidir
describe	retratar
design	esboçar
desire	querer
develop	revelar
die	morrer
discover	descobrir
discuss	discutir
divide	dividir
doubt	duvidar
drive	guiar
embrace	incluir
encourage	incentivar
end	terminar
enhance	realçar
enjoy	desfrutar
enter	entrar
establish	instituir
estimate	calcular
exceed	ultrapassar
exist	existir
expect	esperar
explain	explicar
fight	lutar
fill	encher
find	sentir
finish	concluir
flush	igualar
forgive	perdoar
free	libertar
give	up capitular
grow	crescer
happen	acontecer
hate	odiar
hide	esconder
hold	segurar
identify	identificar
include	incluir
increase	aumentar
injure	ferir
introduce	apresentar
join	juntar
keep	manter
kick	dar um pontapé
kill	matar
land	aterrar
last	durar
lead	guiar
leave	deixar
let	deixar
lift	levantar
limit	limitar
load	recarregar
lock	fechar
look	parecer
lose	perder
manage	treinar
marry	casar
match	combinar
mean	querer dizer
mean	pretender
measure	medir
mention	mencionar
miss	perder
miss	falhar
name	chamar
order	mandar
own	possuir
pass	on entregar
peel	descascar
please	satisfazer
plow	arar
poison	envenenar
polish	polir
prepare	preparar
press	apertar
prevent	impedir
print	imprimir
process	tratar
profit	lucrar
protest	protestar
prove	provar
publish	publicar
raise	educar
reach	chegar a
receive	receber
record	gravar
reduce	cortar
reflect	espelhar
refuse	recusar
remove	tirar
render	devolver
replace	suplantar
reply	responder
report	comunicar
represent	representar
request	pedir
respect	honrar
reveal	revelar
risk	arriscar
rule	governar
save	fazer economias
save	salvar
see	ver
see	considerar
send	mandar
serve	servir
sew	coser
share	partilhar
shout	gritar
show	mostrar
smell	cheirar mal
smell	cheirar
smell	cheirar
spend	passar
stand	estar de pé
stay	ficar
steal	roubar
stop	parar
study	estudar
suffer	suportar
suggest	propor
supply	fornecer
support	apoiar
surprise	surpreender
taste	provar
teach	instruir
test	experimentar com
thank	agradecer
throw	atirar
title	intitular
trade	negociar
train	treinar
travel	ir
treat	tratar
try	tentar
turn	rodar
visit	visitar
walk	caminhar
warm	aquecer
wash	lavar
watch	ver
wear	usar
weigh	pesar
win	ganhar
wish	desejar