English	Romanian
above	deasupra
again	din nou
almost	aproape
along	de-a lungul
already	deja
always	mereu
approximately	aproximativ
as	ca
before	înainte
behind	în spatele
between	între
by	pe
directly	direct
down	jos
enough	destul
even	chiar
exactly	exact
finally	în final
first	mai întâi
generally	în general
here	aici
here	aici
however	totuşi
immediately	imediat
in	în
inside	în
instead	în loc
late	târziu
least	cel mai puţin
little	puţin
merely	numai
more	mai mult
not	nu
obviously	evident
often	adesea
outside	afară
particularly	mai ales
possibly	poate
probably	probabil
quickly	repede
really	într-adevăr
really	cu adevărat
recently	în ultimul timp
slowly	încet
so	asa
sometimes	câteodată
soon	devreme
still	încă
such	la fel
suddenly	brusc
surely	sigur
then	atunci
therefore	deci
today	azi
together	împreună
too	de asemenea
usually	de obicei
very	foarte
well	bine
why	de ce