English	Romanian
break	a rupe
buy	a cumpãra
close	a închide
come	a veni
dance	a dansa
do	a exercita
draw	a desena
drink	a bea
fire	a trage
fly	a zbura
follow	a urma
forget	a uita
give	a da
have	a avea
hear	a afla
help	ajuta
hope	a spera
jump	a sări
lie	a consta
listen	a auzi
look	a se uita
lose	a pierde
love	iubi
move	a (se) mişca
need	avea nevoie de
offer	a oferi
open	a (se) deschide
pay	a achita
play	a se juca
pull	a trage
push	a împinge
put	a culca
remember	a-şi aminti
run	a alerga
say	a povesti
sell	a se vinde
smile	a zâmbi
talk	a vorbi
use	a folosi
write	a scrie
accept	accepta
admit	recunoaşte
agree	a fi de acord
announce	anunţa
arrive	a sosi
ask	a cere
attack	ataca
avoid	evita
be	a trăi
bear	a purta
become	a deveni
believe	a crede
build	a construi
call	a chema
carry	a duce
change	a (se) schimba
choose	a alege
classify	a clasifica
compare	a compara
contain	conţine
continue	a continua
control	a controla
cook	a găti
copy	copia
crush	a strivi
cry	a plânge
decide	a (se) hotărî
describe	descrie
desire	a vrea
develop	a developa
die	a muri
discover	a descoperi
discuss	a discuta
divide	a împărţi
embrace	a cuprinde
encourage	a încuraja
enhance	creşte
enter	a intra
establish	stabili
exceed	a întrece
exist	a exista
expect	aştepta
explain	explica
fight	luptă
fill	a (se) umple
find	descoperi
finish	termina
flush	a egala
forgive	a ierta
free	a elibera
happen	a se produce
hate	a urî
hide	a ascunde
hold	a rezista
identify	identifica
injure	răni
introduce	a prezenta
join	a uni
keep	a păstra
kick	a lovi
kill	a ucide
land	a debarca
lead	a conduce
leave	a lăsa
lift	a ridica
limit	a limita
lock	a (se) încuia
look	a părea
lose	a pierde
manage	a conduce
match	a se potrivi
mean	a însemna
mean	a intenţiona
mention	a menţiona
miss	a pierde
name	a boteza
own	a poseda
poison	otravă
polish	a lustrui
prepare	a (se) pregăti
prevent	împiedica
process	a prelucra
protest	a protesta
prove	a dovedi
publish	publica
raise	ridica
rate	a aprecia
reach	a ajunge
receive	a primi
record	a înregistra
reduce	a reduce
reflect	a reflecta
refuse	a refuza
remove	a lua
replace	înlocui
reply	a replica
report	a anunţa
represent	a simboliza
request	a cere
respect	respecta
reveal	a dezvălui
risk	a risca
save	a economisi
save	a salva
see	a vedea
see	a considera
send	poştă
sew	a coase
share	a împărţi
shout	a striga
show	a demonstra
smell	a mirosi
smell	a mirosi
spend	a petrece
stand	a sta
steal	a fura
stop	a opri
study	a studia
suggest	sugera
supply	furniza
support	sprijini
surprise	a surprinde
taste	a gusta
teach	instrui
test	a încerca
thank	mulţumi
throw	a arunca
title	a intitula
trade	comerţ
train	antrena
travel	a merge
treat	a trata
trick	înşela
try	a încerca
visit	a vizita
walk	a se plimba
wash	a (se) spăla
watch	a privi
weigh	a cântări
win	victorie
wish	a dori