Romanian	﻿English
alt	another
prost	bad
de bază	basic
frumos	beautiful
cel mai bun	best
mai bun	better
mare	big
curat	clean
rece	cold
corect	correct
întunecat	dark
dificil	difficult
murdar	dirty
rapid	fast
bun	good
mare	great
grozav	great
fericit	happy
sănătos	healthy
greu	heavy
înalt	high
fierbinte	hot
important	important
stâng	left
uşor	light
lung	long
aproape	near
nou	new
frumos	nice
deschis	open
adevărat	real
drept	right
fin	sharp
asemănător	similar
lent	slow
moale	soft
puternic	strong
slab	weak
incorect	wrong
acid	acid
tot	all
nici un	any
automat	automatic
disponibil	available
amar	bitter
plictisitor	boring
clar	bright
spart	broken
principal	central
sigur	certain
ieftin	cheap
chimic	chemical
senin	clear
închis	closed
obişnuit	common
comun	common
complet	complete
crud	cruel
actual	current
periculos	dangerous
fin	delicate
trist	deplorable
diferit	different
jos	down
uscat	dry
fiecare	each
devreme	early
uşor	easy
economic	economic
economic	economic
electric	electric
egal	equal
par	even
egal	even
fiecare	every
excelent	excellent
fals	fake
fals	false
departe	far
gras	fat
mare	fat
puţin	few
ultim	final
financiar	financial
tare	firm
plat	flat
următor	following
străin	foreign
de altădată	former
delicat	fragile
gratuit	free
frecvent	frequent
proaspăt	fresh
plin	full
total	full
mai departe	further
viitor	future
general	general
industrial	industrial
interesant	interesting
internaţional	international
ultim	last
legal	legal
lichid	liquid
local	local
tare	loud
jos	low
norocos	lucky
principal	main
mare	major
mult	many
metalic	metal
militar	military
infim	minute
modern	modern
mai mult	more
mult	much
îngust	narrow
naţional	national
natural	natural
necesar	necessary
învecinat	next
nici o	no
obişnuit	normal
opus	opposite
original	original
celălalt	other
propriu	own
paralel	parallel
deosebit	particular
trecut	past
personal	personal
fizic	physical
politic	political
sărac	poor
popular	popular
posibil	possible
actual	present
precedent	previous
privat	private
probabil	probable
profesional	professional
public	public
liniştit	quiet
gata	ready
recent	recent
regulat	regular
responsabil	responsible
rigid	rigid
violent	rough
rotund	round
sigur	safe
neschimbat	same
al doilea	second
sub acoperire	secret
distinct	separate
grav	serious
mai mulţi	several
scurt	short
liniştit	silent
simplu	simple
singur	single
mic	small
neted	smooth
solid	solid
rar	sparse
special	special
specific	specific
pătrat	square
standard	standard
lipicios	sticky
drept	straight
bizar	strange
elegant	stylish
brusc	sudden
dulce	sweet
înalt	tall
dens	thick
subţire	thin
strâmt	tight
adevărat	true
urât	ugly
sub	under
neobişnuit	unusual
obişnuit	usual
divers	various
cald	warm
umed	wet
întreg	whole
