English	Russian
another	другой
bad	плохой
basic	основной
beautiful	красивый
best	лучший
better	лучший
big	крупный, большой
clean	чистый
cold	холодный
correct	правильный
dark	тёмный
deep	глубокий
difficult	трудный
dirty	грязный
fast	быстрый
good	хороший, хорошо
great	большой, великий
great	замечательный
happy	счастливый
healthy	здоровый
heavy	трудный
high	высокий
hot	горячий
important	важный
left	левый
light	лёгкий
little	малый
long	длинный
near	близкий, недалёкий
new	новый
nice	красивый, хороший
open	открытый
real	действительный
right	правый
sharp	острый
similar	подобный
slow	медленный
soft	мягкий
strong	сильный
weak	слабый
wrong	неправильный
acid	кислый
after	после, потом
ago	перед
all	все, бсё
any	любой
automatic	автоматический
available	доступный
bitter	горький
boring	нудный
both	обе
bright	светлый
broken	разбитый
central	центральный
certain	верный
cheap	дешевый
chemical	химический
clear	явный
closed	закрытый
color	цветной
common	обычный
common	совместный
complete	комплектный
conscious	сознающий
cruel	жестокий
current	современный
dangerous	опасный
delicate	деликатный, щекотливый
deplorable	грустный
different	другой
different	другой
different	непохожий
down	понизу
dry	сухой
each	каждый
early	ранний, скорый
easy	лёгкий
economic	экономический
economic	экономический
electric	электрический
equal	равный, одинаковый
even	чётный
even	ровный
every	каждый
excellent	замечательный
fake	фальшивый
false	неправильный
far	далёкий
fat	толстый
fat	жирный
few	немного, мало
final	конечный
financial	финансовый
firm	твёрдый, жёсткий
first	первый
fixed	данный, установленный
flat	плоский
following	следующий
foreign	иностранный
former	бывший
fragile	хрупкий
free	бесплатный
frequent	частый
fresh	свежий
front	передний
full	полный
full	весь, целый
further	дальше
future	будущий
general	всеобщий, общий
good	честный
industrial	промышленный, индустриальный
interesting	интересный
international	международный
last	прошлый
late	опоздавший
legal	законный
light	диетический
liquid	жидкий
local	местный
loud	громкий
low	низкий, невысокий
lucky	счастливый
main	главный
major	главный
many	много
metal	металлический
military	военный
minute	небольшой
modern	современный
more	более, болше
much	много
narrow	узкий
national	национальный, народный
natural	натуральный
necessary	необходимый
next	соседний
no	никакой, никто
normal	нормальный
off	выключенный
on	включённый
opposite	противоположный
original	исходный, оригинальный
other	другой
own	свой
parallel	параллельный
particular	определённый
past	прошлый
personal	личный
physical	телесный, физический
political	политический
poor	жалкий, жалобный
popular	популярный
possible	возможный
present	современный, настойащий
previous	предыдущий
private	скромный
probable	вероятный
professional	профессиональный
public	общественный
quiet	тихий
ready	готовый, приготовленный
recent	недавний
regular	регулярный
responsible	ответственный
rigid	жёсткий, негнущийся
rough	грубый
round	круглый
safe	обеспеченный
same	одинаковый
second	второй
secret	секретный
separate	отдельный
serious	серьёзный
set	установленный
several	несколько
short	короткий
silent	тихий
silver	серебряный
simple	простой
single	единственный
small	маленький
smooth	гладкий
social	общественный
solid	жёсткий
sparse	редкий
special	особенный
specific	специфический
square	квадратный
squeamish	щепетильный
standard	стандартный
sticky	клейкий
straight	прямой
strange	странный
stylish	элегантный
sudden	неожиданный
sweet	сладкое
tall	высокий
thick	густой
thin	узкий
tight	тесный
true	правильный
ugly	безобразный, некрасивый
under	нижний
unusual	необыкновенный, необычный
used	подержанный
useful	полезный, пригодный
usual	обычный
usual	обычный
various	различный
warm	тёплый
wet	мокрый
whole	весь, целый
wide	широкий