English	Russian
about	кругом, вокруг
above	над
again	опять
almost	почти
along	вдоль
already	уже
always	всегда
approximately	приблизительно
as	как
before	впереди
before	вперед
behind	сзади, позади
between	между
beyond	за
by	мимо
clearly	ясно
directly	прямо
down	книзу, вниз
early	скоро
either	либо
enough	довольно
even	даже
exactly	точно
finally	наконец
first	сначала
forward	вперёд
generally	обычно
here	здесь, тут
here	сюда
however	хотя
immediately	немедленно
in	внутрь, в
indeed	действительно, серьезно
inside	внутри
instead	вместо
late	поздно
later	потом
least	наименее
little	немного, мало
merely	просто, только
more	более, болше
never	никогда
not	нет
now	теперь, сейчас
obviously	очевидно
often	часто
once	раз
outside	снаружи
particularly	особенно
please	пожалуйста
possibly	может быть
preferably	лучше
probably	вероятно
quickly	быстро
really	действительно
really	всерьёз
recently	недавно
slowly	медленно
so	так, таким образом
solely	сам
sometimes	иногда
soon	скоро
still	постоянно
such	такой
suddenly	вдруг
surely	непременно
then	потом, после
there	там
therefore	поэтому
through	насквозь
today	сегодня
together	вместе
tomorrow	завтра
tonight	сегодня вечером
too	tакже, тоже
up	вверх
usually	обычно
very	очень
well	хорошо
why	почему