Serbian	﻿English
црн	black
plav	blue
браон	brown
сив	gray
зелен	green
narandža	orange
роз	pink
љубичаст	violet
бео	white
жут	yellow
осамдесет	eighty
једанаест	eleven
педесет	fifty
пет	five
четрдесет	forty
девет	nine
деведесет	ninety
ништа	nothing
седамдесет	seventy
шест	six
шездесет	sixty
тридесет	thirty
хиљаду	thousand
три	three
рука	arm
крв	blood
торзо	body
кост	bone
мозак	brain
ћелија	cell
ухо	ear
око	eye
лице	face
прст	finger
noga	foot
ген	gene
коса	hair
шака	hand
глава	head
срце	heart
колено	knee
noga	leg
уснa	lip
уста	mouth
нокти	nail
врат	neck
живац	nerve
нос	nose
кожни систем	skin
желудац	stomach
реп	tail
ждрело	throat
палац	thumb
језик	tongue
зуб	tooth
крило	wing
мрав	ant
медвед	bear
пчела	bee
птица	bird
мачак	cat
крава	cow
пас	dog
слон	elephant
риба	fish
muva	fly
домаћи коњ	horse
лав	lion
majmun	monkey
svinja	pig
овца	sheep
змија	snake
послеподне	afternoon
vek	age
Април	April
август	August
јесен	autumn
век	century
дан	day
Децембар	December
вече	evening
Фебруар	February
Петак	Friday
будућност	future
сат	hour
Јануар	January
Јул	July
Јун	June
мај	May
минут	minute
Понедељак	Monday
mesec	month
јутро	morning
ноћ	night
Новембар	November
Октобар	October
Субота	Saturday
секунд	second
Септембар	September
пролеће	spring
лето	summer
Недеља	Sunday
Четвртак	Thursday
Уторак	Tuesday
Среда	Wednesday
седмица	week
зима	winter
година	year
хлеб	bread
doručak	breakfast
путер	butter
торта	cake
сир	cheese
чоколада	chocolate
јајe	egg
храна	food
воће	fruit
obrok	meal
месо	meat
уље	oil
pirinač	rice
со	salt
supa	soup
шећер	sugar
*пиво??	beer
кафа	coffee
piće	drink
млеко	milk
чајеви	tea
вода	water
вино	wine
jabuka	apple
кајсија	apricot
банана	banana
купина	blackberry
трешња	cherry
limun	lemon
орашасти плодови	nut
поморанџа	orange
бресква	peach
крушка	pear
ананас	pineapple
шљива	plum
малина	raspberry
јагода	strawberry
пасуљ	bean
купус	cabbage
шаргарепа	carrot
краставац	cucumber
бели лук	garlic
црни лук	onion
пашканат	parsnip
кромпир	potato
ротквица	radish
парадајз	tomato
новорођенче	baby
рођење	birth
dečak	boy
брат	brother
ćerka	daughter
смрт	death
породица	family
отац	father
пријатељ	friend
devojka	girl
деда	grandfather
човек	human
мушкарац	man
брак	marriage
мајка	mother
сестра	sister
син	son
венчање	wedding
жена	woman
купатило	bathroom
спаваћа соба	bedroom
опека	brick
врата	door
под	floor
башта	garden
кућа	house
кухиња	kitchen
кров	roof
soba	room
тоалет	toilet
*zid, зид??	wall
bunar	well
прозор	window
кревет	bed
тепих	carpet
столица	chair
ормар	cupboard
намештај	furniture
сто	table
текстил	cloth
одећа	clothing
kaput	coat
прстен	ring
košulja	shirt
cipela	shoe
suknja	skirt
кравата	tie
ваздух	air
животиња	animal
еволуција	evolution
фарма	farm
њива	field
ватра	fire
цвет	flower
шума	forest
list	leaf
живот	life
munja	lightning
природа	nature
корен	root
пол	sex
небо	sky
сан	sleep
дрво	tree
време	weather
свет	world
аеродром	airport
ћуприја	bridge
грађевина	building
главни град	capital
замак	castle
црква	church
биоскоп	cinema
град	city
фабрика	factory
стан	flat
bolnica	hospital
хотел	hotel
библиотека	library
парк	park
ресторан	restaurant
пут	road
школа	school
станица	station
улица	street
позориште	theater
град	town
чамац	boat
аутобус	bus
аутомобил	car
let	flight
брод	ship
*šina??	track
воз	train
генерал	general
новинар	journalist
