Slovak	﻿English
okolo	about
nad	above
znova	again
skoro	almost
po	along
už	already
vždy	always
približne	approximately
ako	as
predtým	before
za	behind
medzi	between
za	beyond
po	by
jasno	clearly
priamo	directly
dolu	down
skoro	early
obidva	either
dostatočný	enough
práve	even
presne	exactly
nakoniec	finally
najskôr	first
vpred	forward
zvyčajne	generally
tu	here
tu	here
avšak	however
ihneď	immediately
v	in
skutočne	indeed
dovnútra	inside
neskoro	late
neskôr	later
najmenej	least
málo	little
len	merely
viacej	more
nikdy	never
nie	not
aktuálne	now
zrejme	obviously
často	often
raz	once
von	outside
obzvlášť	particularly
možno	possibly
pravdepodobne	probably
rýchlo	quickly
skutočne	really
naozaj	really
nedávno	recently
pomaly	slowly
takto	so
iba	solely
niekedy	sometimes
skoro	soon
ešte	still
taký	such
náhle	suddenly
určite	surely
potom	then
tak	there
preto	therefore
dnes	today
spoločne	together
zajtra	tomorrow
dnes večer	tonight
tiež	too
hore	up
obyčajne	usually
skutočne	very
dobre	well
