Slovak	﻿English
čierny	black
modrý	blue
hnedý	brown
sivý	gray
zelený	green
oranžový	orange
ružový	pink
červený	red
fialový	violet
biely	white
žltý	yellow
dvojica	couple
osem	eight
osemnásť	eighteen
osemdesiat	eighty
jedenásť	eleven
pätnásť	fifteen
päťdesiat	fifty
päť	five
štyridsať	forty
štyri	four
štrnásť	fourteen
milión	million
deväť	nine
devätnásť	nineteen
deväťdesiat	ninety
nič	nothing
jeden	one
sedmička	seven
sedemdesiat	seventy
šesť	six
šestnásť	sixteen
šesťdesiat	sixty
desať	ten
tretí	third
trinásť	thirteen
tridsať	thirty
tisíc	thousand
tisíc	thousand
tri	three
dvadsať	twenty
dve	two
ruka	arm
chrbát	back
zobák	beak
krv	blood
trup	body
kosť	bone
mozog	brain
dych	breath
bunka	cell
prsia	chest
hruď	chest
brada	chin
ucho	ear
oko	eye
tvár	face
prst	finger
noha	foot
čelo	forehead
gén	gene
chlp	hair
ruka	hand
hlava	head
srdce	heart
koleno	knee
noha	leg
pera	lip
ústa	mouth
sval	muscle
necht	nail
krk	neck
nerv	nerve
nos	nose
koža	skin
žalúdok	stomach
chvost	tail
hrdlo	throat
palec	thumb
prst	toe
jazyk	tongue
zub	tooth
krídlo	wing
mravec	ant
medveď	bear
včela	bee
vták	bird
mačka	cat
krava	cow
pes	dog
slon	elephant
ryba	fish
mucha	fly
koza	goat
kôň	horse
hmyz	insect
lev	lion
opica	monkey
prasa	pig
ovca	sheep
had	snake
popoludnie	afternoon
vek	age
apríl	April
august	August
jeseň	autumn
začiatok	beginning
storočie	century
dátum	date
deň	day
december	December
záver	end
večer	evening
február	February
piatok	Friday
budúcnosť	future
hodina	hour
január	January
júl	July
Jún	June
máj	May
polnoc	midnight
minúta	minute
moment	moment
chvíľa	moment
pondelok	Monday
mesiac	month
ráno	morning
noc	night
November	November
teraz	now
október	October
minulosť	past
prestávka	pause
obdobie	period
prítomnosť	present
Sobota	Saturday
sezóna	season
sekunda	second
september	September
jar	spring
leto	summer
nedeľa	Sunday
štvrtok	Thursday
zajtra	tomorrow
utorok	Tuesday
Streda	Wednesday
týždeň	week
víkend	weekend
chvíľa	while
zima	winter
rok	year
chlieb	bread
raňajky	breakfast
maslo	butter
koláč	cake
syr	cheese
čokoláda	chocolate
vajce	egg
potrava	food
plod	fruit
obed	lunch
jedlo	meal
mäso	meat
olej	oil
ryža	rice
šalát	salad
soľ	salt
sendvič	sandwich
omáčka	sauce
polievka	soup
cukor	sugar
sladkosť	sweet
pivo	beer
káva	coffee
nápoj	drink
mliečny	milk
mliečny koktail	milkshake
čaj	tea
voda	water
víno	wine
jablko	apple
marhuľa	apricot
banán	banana
cernica	blackberry
čerešňa	cherry
citrón	lemon
orech	nut
pomaranč	orange
broskyňa	peach
hruška	pear
ananás	pineapple
slivka	plum
malina	raspberry
jahoda	strawberry
fazuľa	bean
kapusta	cabbage
mrkva	carrot
uhorka	cucumber
cesnak	garlic
oliva	olive
cibuľa	onion
zemiak	potato
reďkovka	radish
paradajka	tomato
nemluvňa	baby
narodenie	birth
narodeniny	birthday
chlapec	boy
brat	brother
dieťa	child
dcéra	daughter
smrť	death
séria	family
otec	father
priateľ	friend
dievča	girl
dedko	grandfather
človek	human
manžel	husband
život	life
muž	man
manželstvo	marriage
matka	mother
sused	neighbor
osoba	person
vzťah	relationship
sestra	sister
syn	son
svadba	wedding
svadba	wedding
manželka	wife
žena	woman
adresa	address
kúpel	bathroom
spálna	bedroom
tehla	brick
dvere	door
dlážka	floor
poschodie	floor
garáž	garage
záhrada	garden
brána	gate
hala	hall
domov	home
dom	house
kuchyňa	kitchen
strecha	roof
izba	room
sprcha	shower
schod	step
záchod	toilet
múr	wall
studňa	well
okno	window
posteľ	bed
koberec	carpet
stolička	chair
skriňa	cupboard
záclona	curtain
písací stôl	desk
nábytok	furniture
polica	shelf
umývadlo	sink
stôl	table
taška	bag
topánka	boot
látka	cloth
odev	clothing
plášť	coat
golier	collar
klobúk	hat
sako	jacket
drahokam	jewel
prsteň	ring
košeľa	shirt
topánka	shoe
sukňa	skirt
ponožka	sock
kufor	suitcase
kravata	tie
vzduch	air
živočích	animal
vetva	branch
vývoj	evolution
farma	farm
pole	field
plameň	fire
kvet	flower
les	forest
tráva	grass
list	leaf
život	life
blesk	lightning
vlhkosť	moisture
príroda	nature
rastlina	plant
koreň	root
pohlavie	sex
obloha	sky
spánok	sleep
vôňa	smell
dym	smoke
prameň	spring
stopka	stem
prúd	stream
strom	tree
vlna	wave
počasie	weather
svet	world
letisko	airport
banka	bank
most	bridge
budova	building
hlavné mesto	capital
hrad	castle
kostol	church
kino	cinema
metropola	city
továreň	factory
byt	flat
nemocnica	hospital
hotel	hotel
knižnica	library
park	park
väzenie	prison
reštaurácia	restaurant
cesta	road
škola	school
stanica	station
ulica	street
stavba	structure
metro	subway
supermarket	supermarket
divadlo	theater
mesto	town
univerzita	university
obec	village
nehoda	accident
čln	boat
autobus	bus
automobil	car
ohyb	curve
rýchlik	express
let	flight
cesta	journey
cestujúci	passenger
lietadlo	plane
loď	ship
koľaj	track
vlak	train
preprava	transport
herec	actor
herečka	actress
obchodník	businessman
odborník	expert
generál	general
novinár	journalist
sudca	judge
vodca	leader
minister	minister
hudobník	musician
fotograf	photographer
pilot	pilot
policajt	policeman
politik	politician
prezident	president
profesionál	professional
obchodný zástupca	representative
námorník	sailor
vedec	scientist
sekretár	secretary
sluha	servant
vojak	soldier
spisovateľ	writer
breh	bank
pláž	beach
prúd	current
smer	direction
Zem	Earth
východ	east
výška	height
kopec	hill
ostrov	island
jazero	lake
pevnina	land
mapa	map
mesiac	Moon
sever	north
planina	plain
sféra	region
rieka	river
more	sea
juh	south
vesmír	space
hviezda	star
slnko	sun
západ	west
oblak	cloud
rosa	dew
hmla	fog
inovať	frost
dážď	rain
dúha	rainbow
sneh	snow
búrka	storm
hrom	thunder
vietor	wind
kyselina	acid
chemikália	chemical
element prvok	chemical
uhlie	coal
bavlna	cotton
prach	dust
zem	earth
tuk	fat
sklo	glass
lepidlo	glue
zrnko	grain
ľad	ice
železo	iron
koža	leather
tekutina	liquid
hmota	matter
element kov	metallic
ropa	oil
jed	poison
prášok	powder
piesok	sand
hodváb	silk
mydlo	soap
oceľ	steel
drevo	wood
vrecko	bag
kôš	basket
fľaša	bottle
škatuľa	box
plechovka	can
šálka	cup
zásuvka	drawer
obálka	envelope
pohár	glass
tanier	plate
zvon	bell
gombík	button
zbraň	gun
kladivko	hammer
háčik	hook
kľúč	key
zámok	lock
zápalka	match
klinec	nail
ihla	needle
pumpa	pump
lano	rope
nožnice	scissors
pero	spring
pečiatka	stamp
bič	whip
sčítanie	addition
uhol	angle
rozloha	area
stred	center
kruh	circle
krivka	curve
stupeň	degree
úroveň	degree
rozdiel	difference
vzdialenosť	distance
rozdelenie	division
okraj	edge
prvok	element
funkcia	function
polovica	half
hranica	limit
čiara	line
sieť	net
vonkajšok	outside
percento	percent
bodka	point
účel	purpose
výsledok	result
predpis	rule
súprava	set
strana	side
štvorec	square
kvadrát	square
výmena	substitution
povrch	surface
suma	total
schopnosť	ability
čin	act
čin	action
činnosť	activity
prídavok	addition
množstvo	amount
prepad	attack
pokus	attempt
stanovisko	attitude
správanie	behavior
kúsok	bit
úder	blow
pauza	break
ťaženie	campaign
proces	case
príležitosť	chance
zmena	change
voľba	choice
stav	condition
konektor	connection
puklina	crack
rez	cut
škoda	damage
nebezpečenstvo	danger
smrť	death
výzdoba	decoration
obrana	defense
skaza	destruction
podrobnosť	detail
ovládanie	dominance
kvapka	drop
povinnosť	duty
úsilie	effort
pád	fall
znak	feature
boj	fight
priečelie	front
zásah	hit
diera	hole
rast	increase
prírastok	increase
internet	internet
otras	jolt
kopnutie	kick
typ	kind
uzol	knot
zoznam	list
väčšina	majority
záležitosť	matter
myslenie	mind
chod	operation
opak	opposite
výbuch	outburst
časť	part
časť	part
osobnosť	personality
kus	piece
miesto	place
miesto	position
sila	power
prax	practice
úloha	project
vlastnosť	property
akosť	quality
pokoj	quiet
dosah	reach
zostava	report
zodpovednosť	responsibility
odpočinok	rest
návrat	return
výstup	rise
riziko	risk
miesto	seat
súbor	set
ticho	silence
situácia	situation
kus	slice
stav	state
krok	step
zastavenie	stop
chuť	taste
vec	thing
vrchol	top
dotyk	touch
zaobchádzanie	treatment
triaška	tremble
lesť	trick
druh	type
použitie	use
spôsob	way
opotrebovanie	wear
celok	whole
vôľa	will
prianie	wish
umenie	art
umelec	artist
kapela	band
kefa	brush
farba	color
koncert	concert
strih	design
rozmanitosť	diversity
zábava	entertainment
hit	hit
dojem	image
atrament	ink
vynález	invention
spôsob	manner
povlak	movie
múzeum	museum
hudba	music
zvuk	note
orchester	orchestra
farba	paint
maľba	painting
papier	paper
pero	pen
ceruzka	pencil
obraz	picture
báseň	poem
poézia	poetry
rytmus	rhythm
forma	shape
spevák	singer
pieseň	song
javisko	stage
štýl	style
móda	vogue
účet	account
výhoda	advantage
reklama	advertisement
rada	advice
zmluva	agreement
pozor	attention
právomoc	authority
bankovka	banknote
dohoda	bargain
značka	brand
obchod	business
kapitál	capital
drobné	change
šek	cheque
výbor	committee
spoločnosť	company
konkurencia	competition
obvinenie	complaint
zmluva	contract
kópia	copy
náklady	cost
rada	council
hodina	course
zákazník	customer
potreba	demand
oddelenie	department
ťažkosť	difficulty
riaditeľ	director
ekonómia	economy
prostredie	environment
skúsenosť	experience
firma	firm
formulár	form
skupina	group
pomoc	help
prázdniny	holiday
príjem	income
priemysel	industry
poistka	insurance
úrok	interest
účet	invoice
zamestnanie	job
právo	law
dovolenka	leave
strata	loss
vedenie	management
značka	mark
trh	market
materiál	material
stred	mean
stretnutie	meeting
peniaze	money
zamestnanie	occupation
ponuka	offer
kancelária	office
policajt	officer
operácia	operation
majiteľ	owner
balík	package
odmena	payment
plán	plan
cena	price
problém	problem
výrobok	product
zisk	profit
vlastníctvo	property
tarifa	rate
zvyšok	rest
odmena	reward
právo	right
predaj	sale
úsek	section
sekcia	section
obsluha	service
akcia	share
obchod	shop
prehliadka	show
obratnosť	skill
zbor	staff
štruktúra	structure
úspech	success
podpora	support
tabuľka	table
daň	tax
družstvo	team
obchod	trade
význam	value
práca	work
robotník	worker
oznámenie	announcement
odpoveď	answer
schválenie	approval
argument	argument
kniha	book
hovor	call
písmeno	character
spor	controversy
volanie	cry
údaje	data
rozhodnutie	decision
slovník	dictionary
diskusia	discussion
pochybnosť	doubt
zážitok	experience
sympatia	feeling
humor	humor
myšlienka	idea
informácia	information
záujem	interest
pohovor	interview
reč	language
jazyk	language
písmeno	letter
list	letter
lož	lie
pohľad	look
časopis	magazine
pošta	mail
pamäť	memory
spomienka	memory
omyl	mistake
meno	name
noviny	newspaper
poznámka	note
číslo	number
názor	opinion
strana	page
výslovnosť	pronunciation
návrh	proposal
protest	protest
otázka	question
reakcia	reaction
príčina	reason
vzťah	relation
prosba	request
tajomstvo	secret
veta	sentence
znak	sign
reč	speech
hláskovanie	spelling
kritérium	standard
vyhlásenie	statement
téma	subject
návrh	suggestion
hlas	voice
slovo	word
písmo	writing
day dobrý deň	good
luck veľa šťastia	good
nazdar	hello
are you ako sa máš? (informal or singular), ako sa máte? (formal or plural)	how
thanks ďakujem veľmi	many
nie	no
áno	yes
Británia	Britain
Čína	China
Republic Česká republika	Czech
Francúzska republika	France
Nemecká spolková republika	Germany
Indická republika	India
Taliansko	Italy
Japonsko	Japan
Španielske kráľovstvo	Spain
States of America Spojené štáty americké	United
fotoaparát	camera
kamera	camera
phone mobilný telefón	cellular
hodiny	clock
počítač	computer
výťah	elevator
motor	engine
nástroj	instrument
stroj	machine
rúra	oven
televízor	television
hodinky	watch
trieda	class
vzdelávanie	education
vzdelanie	education
vzdelanie	education
skúška	examination
známka	grade
správa	knowledge
študent	student
učiteľ	teacher
tréning	training
strach	fear
nenávisť	hate
láska	love
potešenie	pleasure
nádej	promise
šok	shock
opatera	care
nádcha	cold
kašeľ	cough
choroba	disease
lekár	doctor
zdravie	health
menštruácia	menstruation
operácia	operation
bolesť	pain
pacient	patient
steh	stitch
čepeľ	blade
doska	board
karta	card
reťaz	chain
kyjak	club
obálka	cover
pero	feather
zástava	flag
rám	frame
rukoväť	handle
menu	menu
matica	nut
špendlík	pin
rúra	pipe
poštová známka	postage
dar	present
plachta	sail
závit	scroll
semeno	seed
palica	stick
kameň	stone
lístok	ticket
koleso	wheel
drôt	wire
vyrovnanosť	balance
veľkosť	bulk
náboj	charge
energia	energy
svetlo	light
masa	mass
meranie	measurement
zrkadlo	mirror
pohyb	movement
ťarcha	pressure
proces	process
veľkosť	size
zvuk	sound
para	steam
sila	strength
čas	time
jednotka	unit
váha	weight
priateľ	boyfriend
schôdzka	date
priateľka	girlfriend
hosť	guest
drahý	honey
bozk	kiss
večierok	party
sex	sex
úsmev	smile
prekvapenie	surprise
návšteva	visit
alternatíva	alternative
biológia	biology
príčina	cause
chémia	chemistry
porovnanie	comparison
následok	consequence
kontrola	control
disciplína	discipline
objav	discovery
udalosť	event
dôkaz	evidence
ukážka	example
fakt	fact
problém	issue
