Slovak	﻿English
byť	be
začať	begin
zlomiť	break
kúpiť	buy
zavrieť	close
prísť	come
strihať	cut
tancovať	dance
uplatniť	do
maľovať	draw
piť	drink
jesť	eat
byť	fall
hmatať	feel
nájsť	find
vypáliť	fire
letieť	fly
nasledovať	follow
zabudnúť	forget
dostať	get
dať	give
mať	have
počuť	hear
pomáhať	help
dúfať	hope
skákať	jump
pobozkať	kiss
smiať sa	laugh
učiť sa	learn
ležať	lie
klamať	lie
mať rád	like
vypočuť	listen
pozrieť	look
stratiť	lose
milovať	love
urobiť	make
stretnúť sa	meet
pohybovať	move
potrebovať	need
ponúknuť	offer
otvoriť	open
splatiť	pay
hrať sa	play
vytiahnuť	pull
strčiť	push
položiť	put
čítať	read
spomenúť si	remember
bežať	run
povedať	say
predať	sell
spievať	sing
sedieť	sit
usmievať sa	smile
vziať	take
hovoriť	talk
pochopiť	understand
využiť	use
počkať	wait
písať	write
prijať	accept
obžalovať	accuse
dosiahnuť	achieve
jednať	act
sčítať	add
uznať	admit
pôsobiť	affect
súhlasiť	agree
dovoliť	allow
oznámiť	announce
hádať sa	argue
prísť	arrive
spýtať sa	ask
napadnúť	attack
vyhnúť sa	avoid
žiť	be
niesť	bear
prekonať	beat
stať sa	become
počínať si	behave
veriť	believe
prospech	benefit
priniesť	bring
stavať	build
vyhorieť	burn
zavolať	call
prenášať	carry
zachytiť	catch
dosiahnuť	cause
upraviť	change
vybrať si	choose
považovať	classify
umyť	clean
prirovnať	compare
obsahovať	contain
pokračovať	continue
riadiť	control
variť	cook
kopírovať	copy
kašlať	cough
stlačiť	crush
plakať	cry
rozhodnúť	decide
opísať	describe
navrhnúť	design
chcieť	desire
vyvolať	develop
umrieť	die
objaviť	discover
diskutovať	discuss
deliť	divide
pochybovať	doubt
viesť auto	drive
zahrnúť	embrace
povzbudiť	encourage
skončiť	end
zvýšiť	enhance
tešiť sa	enjoy
vstúpiť	enter
založiť	establish
odhadnúť	estimate
presahovať	exceed
existovať	exist
očakávať	expect
vysvetliť	explain
zápasiť	fight
naplniť	fill
zistiť	find
skončiť	finish
vyrovnať	flush
odpustiť	forgive
oslobodiť	free
up vzdať sa	give
rásť	grow
stať sa	happen
nenávidieť	hate
skrývať	hide
držať	hold
identifikovať	identify
zahŕňať	include
narastať	increase
zraniť	injure
predstaviť	introduce
spojiť	join
udržiavať	keep
kopnúť	kick
zabiť	kill
pristáť	land
vydržať	last
sprevádzať	lead
nechať	leave
dovoliť	let
zdvihnúť	lift
obmedziť	limit
nabiť	load
zamknúť	lock
vyzerať	look
stratiť	lose
trénovať	manage
oženiť sa	marry
hodiť sa	match
zamýšľať	mean
odmerať	measure
zmieniť sa	mention
zmeškať	miss
minúť	miss
volať	name
nariadiť	order
mať	own
on odovzdať	pass
bieliť	peel
plánovať	plan
potešiť	please
orať	plow
otráviť	poison
vyleštiť	polish
pripraviť	prepare
stlačiť	press
zabrániť	prevent
tlačiť	print
spracovať	process
protestovať	protest
dokázať	prove
vydať	publish
vychovať	raise
hodnotiť	rate
dosiahnuť	reach
dostať	receive
nahrať	record
znížiť	reduce
odrážať	reflect
odmietnuť	refuse
odstrániť	remove
vrátiť	render
vymeniť	replace
odpovedať	reply
hlásiť	report
zastupovať	represent
žiadať	request
ctiť	respect
prezradiť	reveal
riskovať	risk
vládnuť	rule
šetriť	save
zachrániť	save
vidieť	see
považovať	see
poslať	send
slúžiť	serve
prišiť	sew
kričať	shout
ukázať	show
voňať	smell
zapáchať	smell
cítiť	smell
stráviť	spend
stáť	stand
zostať	stay
ukradnúť	steal
zastaviť	stop
študovať	study
trpieť	suffer
navrhnúť	suggest
vybaviť	supply
podporiť	support
prekvapiť	surprise
ochutnať	taste
vyučovať	teach
skúšať	test
ďakovať	thank
vrhnúť	throw
nazvať	title
obchodovať	trade
vycvičiť	train
ísť	travel
zaobchádzať	treat
pokúsiť sa	try
točiť sa	turn
navštíviť	visit
ísť	walk
umývať	wash
pozorovať	watch
nosiť	wear
vážiť	weigh
dosiahnuť	win
