English	Spanish
another	diferente, distinto
bad	malo
basic	básico, basilar
beautiful	bello, bonito
best	mejor
better	mejor
big	gran, grande
clean	limpio, nítido
cold	frío, helado
correct	acertado, correcto
dark	oscuro, sombrío
deep	profundo, ahuecado
difficult	difícil, duro
dirty	sucio, asqueroso
fast	rápido, veloz
good	bueno
great	grande, vasto
great	bárbaro, brutal
happy	contento, feliz
healthy	sano
heavy	pesado
high	alto
hot	acalorado
important	importante
left	izquierdo
light	ligero, ágil
little	insignificante, pequeño
long	extenso, largo
near	cercano
new	nuevo
nice	agradable, bonito
open	abierto
real	existente, real
right	derecho
sharp	agudo, afilado
similar	parecido, semejante
slow	lento
soft	blando, muelle
strong	fuerte
weak	débil
wrong	incorrecto, erróneo
acid	ácido
after	acerca de
ago	hace
all	todo
any	cualquier
automatic	automático
available	disponible
bitter	amargo
boring	gris, aburridor
both	ambos
bright	brillante, vivo
broken	roto
central	central
certain	seguro, cierto
cheap	barato
chemical	químico
clear	claro
closed	cerrado
color	de color, en colores
common	común
common	común, mutuo
complete	completo
conscious	consciente
cruel	atroz, bárbaro
current	vigente
dangerous	peligroso
delicate	delicado
deplorable	lamentable, penoso
different	diferente
different	diferente, distinto
different	diferente, distinto
down	abajo, debajo
dry	seco
each	cada
early	temprano
easy	fácil
economic	económico
economic	económico
electric	eléctrico
equal	igual
even	par
even	nivelado
every	cada
excellent	excelente, magnífico
fake	artificial, falso
false	falso
far	distante, lejano
fat	gordo
fat	gordo
few	pocos
final	final, último
financial	fiscal, financiero
firm	consistente, firme
first	primero
fixed	fijo
flat	liso, llano
following	siguiente, próximo
foreign	extranjero, extraño
former	antiguo, anterior
fragile	delicado, frágil
free	gratuito
frequent	habitual
fresh	fresco, helado
front	delantero
full	lleno
full	absoluto, completo
further	más
future	futuro
general	general
good	justo, recto
industrial	industrial
interesting	interesante
international	internacional
last	último
late	tardío, pausado
legal	legal, oficial
light	dietético
liquid	líquido
local	local
loud	fuerte
low	bajo
lucky	afortunado
main	primordial, principal
major	principal
many	muchos
metal	metálico
military	militar
minute	diminuto
modern	moderno
more	más
much	mucho
narrow	estrecho
national	nacional
natural	natural
necessary	necesario
next	inmediato
no	ningún
normal	común, corriente
off	desconectado, desenchufado
on	en funcionamiento, en operación
opposite	contrario
original	original
other	otro
own	propio
parallel	paralelo
particular	particular
past	pasado
personal	individual, particular
physical	físico
political	político
poor	miserable, pobre
popular	popular
possible	posible, realizable
present	actual, presente
previous	anterior
private	personal, particular
probable	posible, probable
professional	profesional
public	público
quiet	silencioso
ready	listo
recent	reciente
regular	regular
responsible	responsable
rigid	rígido, tieso
rough	áspero
round	redondo
safe	seguro
same	mismo
second	segundo
secret	oculto, secreto
separate	separado
serious	serio
set	determinado
several	varios
short	corto, breve
silent	silencioso, callado
silver	plata, argento
simple	elemental, simple
single	solo
small	menudo, pequeño
smooth	liso, llano
social	social
solid	sólido
sparse	claro, disperso
special	especial, excepcional
specific	específico
square	cuadrado, cuadro
squeamish	quisquilloso
standard	estándar
sticky	glutinoso
straight	recto, derecho
strange	insólito
stylish	elegante
sudden	repentino
sweet	dulce, pastel
tall	alto
thick	espeso
thin	delgado
tight	apretado
true	verdadero
ugly	desagradable, horrible
under	bajo, inferior
unusual	excepcional, extraordinario
used	empleado
useful	útil, aprovechable
usual	común, habitual
usual	corriente
various	diverso, vario
warm	cálido
wet	húmedo
whole	entero
wide	amplio, ancho