Spanish	﻿English
alrededor	about
encima de	above
otra vez	again
casi, aproximadamente	almost
a lo largo de, junto con	along
ya	already
siempre	always
aproximadamente	approximately
como	as
adelante	before
antes	before
detrás	behind
entre	between
tras, détras de	beyond
por	by
claramente, desnudamente	clearly
directamente	directly
abajo	down
pronto	early
cada	either
bastante	enough
incluso	even
exactamente	exactly
último	finally
primero	first
adelante	forward
generalmente	generally
aquí	here
ahí	here
aunque	however
inmediatamente	immediately
en	in
verdaderamente	indeed
adentro	inside
en lugar de eso, en cambio	instead
tarde	late
después	later
por lo menos, como minimo	least
poco	little
solamente	merely
más, otra vez	more
nunca	never
no	not
actualmente	now
visto	obviously
frecuentemente	often
vez	once
fuera	outside
ante todo	particularly
por favor	please
quizás	possibly
más bien	preferably
probablemente	probably
rápidamente, a prisa	quickly
verdaderamente	really
realmente	really
recientemente	recently
lentamente	slowly
así	so
solitario	solely
a veces	sometimes
pronto	soon
todavía	still
tal	such
bruscamente	suddenly
ciertamente	surely
entonces	then
ahí	there
así	therefore
a través de, dentro de	through
hoy	today
juntos	together
mañana	tomorrow
esta noche	tonight
también	too
alto	up
normalmente	usually
muy	very
bien	well
