English	Swedish
another	en annan
bad	ond
basic	grundläggande
beautiful	vacker
best	bäst
better	bättre
big	stor
clean	ren
cold	kall
correct	korrekt
dark	mörk
difficult	svårt
dirty	smutsig
fast	snabb
good	snäll
great	stor
great	härlig
happy	lycklig
healthy	frisk
heavy	tung
high	hög
hot	het
important	viktig
left	vänster
light	lätt
long	länge
near	nära
new	ny
nice	vacker
real	verklig
right	höger
sharp	fin
similar	lik
slow	sakta
soft	mjuk
strong	stark
weak	svag
wrong	oriktig
acid	sur
after	över
all	allt
any	några
automatic	automatisk
available	tillgänglig
bitter	bitter
boring	trist
broken	trasig
certain	sann
cheap	billig
chemical	kemisk
clear	klar
closed	stängd
common	vanlig
common	gemensam
complete	komplett
conscious	medveten
cruel	grym
current	nuvarande
dangerous	farlig
delicate	fin
deplorable	ledsen
different	avvikande
different	olik
down	nedåt
dry	torr
each	varje
early	tidig
easy	lätt
economic	ekonomisk
economic	ekonomisk
electric	elektrisk
equal	lika
even	jämn
even	jämn
every	alla
excellent	utmärkt
fake	falsk
false	bedräglig
far	fjärran
fat	fet
fat	stor
few	sällsynta
final	slutgiltig
financial	finansiell
firm	fast
flat	flat
following	följande
foreign	utländsk
former	tidigare
fragile	klen
free	gratis
frequent	ofta förekommande
fresh	färsk
full	full
full	total
further	längre
future	blivande
general	allmän
industrial	industriell
interesting	intressant
international	internationell
last	sist
late	sen
legal	laglig
liquid	flytande
local	lokal
loud	hög
low	obetydlig
lucky	som har tur
main	viktigast
major	större
many	många
metal	metallisk
military	militär
minute	minimal
modern	modern
more	mer
much	mycket
narrow	smal
national	nationell
natural	naturlig
necessary	nödvändig
next	angränsande
no	ingen
normal	normal
opposite	motsatt
original	ursprunglig
other	andra
own	egen
parallel	parallell
particular	speciell
past	förfluten
personal	personlig
physical	fysisk
political	politisk
poor	fattig
popular	lättfattlig
possible	möjlig
present	närvarande
previous	tidigare
private	privat
probable	sannolik
professional	professionell
public	offentlig
quiet	tyst
ready	redo
recent	senaste
regular	jämn
responsible	ansvarig
rigid	styv
rough	ohyfsad
round	rund
safe	säker
same	samma
second	andra
secret	hemlig
separate	skild
serious	allvarlig
set	fast
several	flera
short	kort
silent	tyst
simple	enkel
single	enda
small	liten
smooth	slät
solid	fast
sparse	gles
special	särskild
specific	särskild
square	kvadratisk
standard	normal
sticky	klibbig
straight	rak
strange	konstig
sudden	plötslig
sweet	söt
tall	hög
thick	tjock
thin	tunn
tight	snäv
true	sann
ugly	ful
under	under
unusual	ovanlig
usual	vanlig
various	skiftande
warm	varm
wet	blöt
whole	hel
wide	bred