Swedish	﻿English
en annan	another
ond	bad
grundläggande	basic
vacker	beautiful
bäst	best
bättre	better
stor	big
ren	clean
kall	cold
korrekt	correct
mörk	dark
svårt	difficult
smutsig	dirty
snabb	fast
snäll	good
stor	great
härlig	great
lycklig	happy
frisk	healthy
tung	heavy
hög	high
het	hot
viktig	important
vänster	left
lätt	light
länge	long
nära	near
ny	new
vacker	nice
verklig	real
höger	right
fin	sharp
lik	similar
sakta	slow
mjuk	soft
stark	strong
svag	weak
oriktig	wrong
sur	acid
över	after
allt	all
några	any
automatisk	automatic
tillgänglig	available
bitter	bitter
trist	boring
trasig	broken
sann	certain
billig	cheap
kemisk	chemical
klar	clear
stängd	closed
vanlig	common
gemensam	common
komplett	complete
medveten	conscious
grym	cruel
nuvarande	current
farlig	dangerous
fin	delicate
ledsen	deplorable
avvikande	different
olik	different
nedåt	down
torr	dry
varje	each
tidig	early
lätt	easy
ekonomisk	economic
ekonomisk	economic
elektrisk	electric
lika	equal
jämn	even
jämn	even
alla	every
utmärkt	excellent
falsk	fake
bedräglig	false
fjärran	far
fet	fat
stor	fat
sällsynta	few
slutgiltig	final
finansiell	financial
fast	firm
flat	flat
följande	following
utländsk	foreign
tidigare	former
klen	fragile
gratis	free
ofta förekommande	frequent
färsk	fresh
full	full
total	full
längre	further
blivande	future
allmän	general
industriell	industrial
intressant	interesting
internationell	international
sist	last
sen	late
laglig	legal
flytande	liquid
lokal	local
hög	loud
obetydlig	low
som har tur	lucky
viktigast	main
större	major
många	many
metallisk	metal
militär	military
minimal	minute
modern	modern
mer	more
mycket	much
smal	narrow
nationell	national
naturlig	natural
nödvändig	necessary
angränsande	next
ingen	no
normal	normal
motsatt	opposite
ursprunglig	original
andra	other
egen	own
parallell	parallel
speciell	particular
förfluten	past
personlig	personal
fysisk	physical
politisk	political
fattig	poor
lättfattlig	popular
möjlig	possible
närvarande	present
tidigare	previous
privat	private
sannolik	probable
professionell	professional
offentlig	public
tyst	quiet
redo	ready
senaste	recent
jämn	regular
ansvarig	responsible
styv	rigid
ohyfsad	rough
rund	round
säker	safe
samma	same
andra	second
hemlig	secret
skild	separate
allvarlig	serious
fast	set
flera	several
kort	short
tyst	silent
enkel	simple
enda	single
liten	small
slät	smooth
fast	solid
gles	sparse
särskild	special
särskild	specific
kvadratisk	square
normal	standard
klibbig	sticky
rak	straight
konstig	strange
plötslig	sudden
söt	sweet
hög	tall
tjock	thick
tunn	thin
snäv	tight
sann	true
ful	ugly
under	under
ovanlig	unusual
vanlig	usual
skiftande	various
varm	warm
blöt	wet
hel	whole
