Swedish	﻿English
svart	black
blå	blue
brun	brown
grå	gray
omogen	green
orange	orange
skärt	pink
rött	red
violett	violet
vit	white
gul	yellow
par	couple
åtta	eight
arton	eighteen
åttio	eighty
elva	eleven
femton	fifteen
femtio	fifty
fem	five
fyrtio	forty
fyra	four
fjorton	fourteen
miljon	million
nio	nine
nitton	nineteen
nittio	ninety
noll	nothing
en	one
sju	seven
sjutio	seventy
sex	six
sexton	sixteen
sextio	sixty
tio	ten
tredje	third
tretton	thirteen
trettio	thirty
tusen	thousand
tusen	thousand
tre	three
tjugo	twenty
arm	arm
rygg	back
näbb	beak
blod	blood
kropp	body
ben	bone
hjärna	brain
andedräkt	breath
cell	cell
bröst	chest
bröst	chest
haka	chin
öra	ear
öga	eye
ansikte	face
finger	finger
fot	foot
panna	forehead
gen	gene
hår	hair
hand	hand
huvud	head
hjärta	heart
knä	knee
ben	leg
läpp	lip
mun	mouth
muskel	muscle
nagel	nail
hals	neck
nerv	nerve
näsa	nose
hud	skin
mage	stomach
svans	tail
hals	throat
tumme	thumb
tå	toe
tunga	tongue
tand	tooth
vinge	wing
myra	ant
björn	bear
bi	bee
fågel	bird
katt	cat
ko	cow
hund	dog
elefant	elephant
fisk	fish
fluga	fly
get	goat
häst	horse
insekt	insect
lejon	lion
apa	monkey
svin	pig
får	sheep
orm	snake
eftermiddag	afternoon
ålder	age
April	April
augusti	August
höst	autumn
början	beginning
sekel	century
datum	date
dag	day
December	December
afton	evening
Februari	February
Fredag	Friday
framtid	future
timme	hour
Januari	January
Juli	July
Juni	June
maj	May
midnatt	midnight
minut	minute
moment	moment
ögonblick	moment
Måndag	Monday
månad	month
morgon	morning
natt	night
November	November
nu	now
Oktober	October
det förflutna	past
avbrott	pause
period	period
nutid	present
Lördag	Saturday
säsong	season
sekund	second
September	September
vår	spring
sommar	summer
Söndag	Sunday
Torsdag	Thursday
morgondagen	tomorrow
Tisdag	Tuesday
Onsdag	Wednesday
vecka	week
helg	weekend
stund	while
vinter	winter
år	year
bröd	bread
frukost	breakfast
smör	butter
kaka	cake
ost	cheese
choklad	chocolate
ägg	egg
mat	food
frukt	fruit
lunch	lunch
måltider	meal
kött	meat
olja	oil
risgryn	rice
sallad	salad
salt	salt
smörgåsen	sandwich
sås	sauce
soppa	soup
socker	sugar
sötma	sweet
öl	beer
kaffe	coffee
dryck	drink
mjölk	milk
milkshake	milkshake
te	tea
vatten	water
vin	wine
äpple	apple
aprikos	apricot
banan	banana
björnbär	blackberry
körsbär	cherry
citron	lemon
nöt	nut
apelsin	orange
persika	peach
päron	pear
ananas	pineapple
plommon	plum
hallon	raspberry
jordgubbe	strawberry
böna	bean
kål	cabbage
morot	carrot
gurka	cucumber
vitlök	garlic
oliv	olive
lök	onion
palsternacka	parsnip
potatis	potato
rädisa	radish
tomat	tomato
bebis	baby
födsel	birth
födelsedag	birthday
pojke	boy
bror	brother
barn	child
dotter	daughter
döden	death
familj	family
far	father
vän	friend
flicka	girl
farfar	grandfather
människa	human
äkta man	husband
liv	life
man	man
äktenskap	marriage
moder	mother
granne	neighbor
förälder	parent
person	person
förhållande	relationship
syster	sister
son	son
vigsel	wedding
bröllop	wedding
fru	wife
kvinna	woman
adress	address
badrum	bathroom
sängkammare	bedroom
tegel	brick
dörr	door
golv	floor
golv	floor
garage	garage
