Swedish	﻿English
vara	be
börja	begin
bryta	break
köpa	buy
stänga	close
komma	come
skära	cut
dansa	dance
använda	do
rita	draw
dricka	drink
äta	eat
falla	fall
känna	feel
finna	find
skjuta	fire
flyga	fly
följa	follow
glömma	forget
få	get
ge	give
ha	have
höra	hear
hjälpa	help
hoppas	hope
skutta	jump
kyssa	kiss
skratta	laugh
lära sig	learn
ligga	lie
ljuga	lie
tycka om	like
lyssna	listen
se	look
förlora	lose
älska	love
göra	make
möta	meet
röra	move
behöva	need
erbjuda	offer
öppna	open
betala	pay
leka	play
dra	pull
tränga sig fram	push
lägga	put
läsa	read
erinra sig	remember
springa	run
säga	say
sälja	sell
sjunga	sing
sitta	sit
le	smile
simma	swim
ta	take
tala	talk
förstå	understand
ägna	use
vänta	wait
skriva	write
motta	accept
anklaga	accuse
vinna	achieve
handla	act
förena	add
addera	add
erkänna	admit
beveka	affect
komma överens	agree
medge	allow
tillkännage	announce
gräla	argue
anlända	arrive
begära	ask
attackera	attack
undvika	avoid
leva	be
bära	bear
övervinna	beat
bli	become
tro	believe
bita	bite
skänka	bring
bygga	build
förbränna	burn
ringa	call
bära	carry
växla	change
välja	choose
klassa	classify
tvätta	clean
likna vid	compare
rymma	contain
fortsätta	continue
kontrollera	control
laga mat	cook
kopiera	copy
hosta	cough
krossa	crush
krossa	crush
gråta	cry
avgöra	decide
skildra	describe
formge	design
vilja	desire
framkalla	develop
dö	die
upptäcka	discover
diskutera	discuss
dividera	divide
betvivla	doubt
köra	drive
inbegripa	embrace
stödja	encourage
sluta	end
förbättra	enhance
åtnjuta	enjoy
komma in	enter
inrätta	establish
uppskatta	estimate
passera	exceed
existera	exist
invänta	expect
förklara	explain
kämpa mot	fight
fylla	fill
upptäcka	find
avsluta	finish
utjämna	flush
förlåta	forgive
befria	free
up avstå	give
växa	grow
hända	happen
hata	hate
dölja	hide
avhålla	hold
identifiera	identify
innefatta	include
öka	increase
skada	injure
presentera	introduce
förena	join
ha	keep
sparka	kick
döda	kill
landa	land
vara	last
leda	lead
lämna	leave
tillåta	let
lyfta	lift
begränsa	limit
ladda	load
se ut	look
tappa	lose
leda	manage
gifta sig med	marry
matcha	match
betyda	mean
ämna	mean
mäta	measure
nämna	mention
missa	miss
missa	miss
kalla	name
äga	own
on överlämna	pass
skala	peel
planera	plan
plöja	plow
förgifta	poison
putsa	polish
fixa	prepare
trycka	press
hindra	prevent
trycka	print
behandla	process
utnyttja	profit
protestera	protest
bevisa	prove
publicera	publish
uppfostra	raise
uppskatta	rate
anlända	reach
ta emot	receive
spela in	record
skära ner	reduce
reflektera	reflect
avböja	refuse
avlägsna	remove
returnera	render
ersätta	replace
svara	reply
rapportera	report
representera	represent
anmoda	request
ära	respect
yppa	reveal
chansa	risk
styra	rule
spara	save
bärga	save
se	see
räkna	see
skicka	send
tjäna	serve
sy	sew
dela	share
ropa	shout
visa	show
stinka	smell
lukta	smell
vädra	smell
ryka	smoke
tillbringa	spend
ligga	stand
förbli	stay
stjäla	steal
stanna	stop
studera	study
lida	suffer
föreslå	suggest
förse	supply
stödja	support
överraska	surprise
smaka	taste
undervisa	teach
pröva	test
tacka	thank
kasta	throw
kalla	title
idka handel	trade
utbilda	train
åka	travel
behandla	treat
försöka	try
snurra	turn
besöka	visit
promenera	walk
värma	warm
tvätta	wash
betrakta	watch
vara klädd i	wear
väga	weigh
vinna	win
