English	Thai
about	รอบ ๆ
above	เหนือ
again	อีก
almost	เกือบจะ
already	แล้ว
always	เป็นประจำ
approximately	โดยประมาณ
behind	ข้างหลัง
between	อยู่ระหว่างสิ่งสองสิ่ง
directly	โดยตรง
enough	พอเพียง
exactly	อย่างถูกต้อง
finally	ท้ายที่สุด
generally	ส่วนใหญ่
here	ที่นี่ (thīnī) (1), มาตรงนี้ (mātrongnī) (2)
here	ที่นี่
immediately	ทันทีทันใด
inside	ภายใน
instead	แทน
late	ดึก
little	เล็กน้อย
merely	เพียงแค่
not	ไม่
now	เดี๋ยวนี้)
obviously	อย่างเห็นชัด
particularly	โดยเฉพาะอย่างยิ่ง
possibly	บางที
probably	อย่างน่าจะเป็นไปได้
quickly	อย่างรวดเร็ว
really	อย่างที่เกิดขึ้นตามจริง
recently	อย่างเร็ว
soon	ในไม่ช้า
such	เช่นนี้
surely	อย่างแน่นอน
then	ในขณะนั้น
today	วันนี้
together	ร่วมกัน
tomorrow	พรุ่งนี้
tonight	คืนนี้
too	เช่นกัน
usually	โดยปกติ
very	แท้จริง
well	อารมณ์
why	ทำไม