English	Thai
break	แตก
buy	ซื้อ
close	ปิด
come	ปรากฏ
cut	ตัด
do	ปฏิบัติ
draw	วาดภาพ
drink	ดื่ม
eat	กิน
fall	ตก
find	คิดว่า
fire	ยิง
fly	ลอย
follow	ตาม
forget	ลืม
give	ให้
hear	ได้ยิน
jump	กระโดด
kiss	จูบ
listen	ฟัง
look	ค้นหา
love	รัก (rak)
meet	พบโดยบังเอิญ
move	เคลื่อน
need	ต้องการ
offer	เสนอ
open	เปิดออก
pay	จ่าย
play	เล่นสนุก
pull	ดึง
push	ผลัก
put	วาง
read	อ่าน
remember	ระลึก
run	วิ่ง
say	พูด
sell	ขาย
sing	ร้องเพลง
sit	นั่ง
take	เอาไป
talk	สนทนา
understand	เข้าใจ
use	ใช้ประโยชน์
wait	คอย
accept	รับ
accuse	กล่าวหา
achieve	สำเร็จ
act	ปฏิบัติ
agree	เห็นด้วย
allow	อนุญาต
announce	ประกาศ
argue	โต้เถียง
ask	ไต่ถาม
attack	โจมตี
avoid	หลีกเลี่ยง
bear	มี
beat	กำจัด
bring	นำไปสู่
build	สร้าง
change	เปลี่ยน
choose	เลือก
classify	จัดกลุ่ม
clean	ทำให้สะอาด
compare	เปรียบเทียบ
contain	มี
continue	ดำเนินต่อไป
copy	การโอนสายเรียกเข้า
cry	ร้องไห้
decide	ตัดสิน
describe	พรรณนา
desire	ต้องการ
die	ตาย
discover	ค้นพบ
divide	แตกแยก
doubt	ไม่แน่ใจ
encourage	ปลุกใจ
enhance	ทำให้ดีเพิ่มขึ้น
enter	เข้า
establish	จัดตั้ง
expect	รอคอย
explain	อธิบาย
fight	ต่อสู้
forgive	ยกโทษให้
grow	พัฒนา
happen	เกิดขึ้น
hate	เกลียด
hide	ปกปิด
hold	กอด
identify	ระบุชื่อ
include	ประกอบด้วย
introduce	แนะนำตัว
join	เชื่อม
keep	ดูแล
kick	เตะ
kill	ฆ่า
last	คงอยู่
lead	นำทาง
leave	ละทิ้ง
let	อนุญาต
lift	ยกขึ้น
limit	จำกัด
marry	แต่งงาน
mean	ตั้งใจ
measure	ความสูง
mention	กล่าวถึง
own	เป็นเจ้าของ
peel	ปอกเปลือก
polish	ขัด
press	กด
prevent	ป้องกัน
protest	ประท้วง
prove	พิสูจน์
publish	จัดพิมพ์
raise	เลี้ยงดู
rate	ประเมินค่า
reach	ไปถึง
receive	รับ
reduce	ลด
reflect	สะท้อนกลับ
refuse	ปฏิเสธ
reply	ตอบ
report	รายงาน
represent	ทำหน้าที่แทน
request	ขอ
respect	เคารพ
reveal	เปิดเผย
rule	ปกครอง
save	ประหยัด
see	ระวัง
see	พิจารณา
sew	เย็บ
shout	ตะโกน
show	แสดง
stand	ยืน
stay	พักอยู่
steal	ขโมย
stop	หยุด
study	ศึกษา
suggest	เสนอ
supply	จัดหาให้
support	สนับสนุน
surprise	ทำให้ประหลาดใจ
teach	สั่งสอน
thank	แสดงการขอบคุณ
throw	ขว้าง
travel	ไป
treat	ปฏิบัติ
try	พยายาม
turn	หมุน
walk	เดิน
watch	พิจารณา
wear	สวมใส่
weigh	ชั่งน้ำหนัก
wish	ปรารถนา