Thai	﻿English
แตก	break
ซื้อ	buy
ปิด	close
ปรากฏ	come
ตัด	cut
ปฏิบัติ	do
วาดภาพ	draw
ดื่ม	drink
กิน	eat
ตก	fall
คิดว่า	find
ยิง	fire
ลอย	fly
ตาม	follow
ลืม	forget
ให้	give
ได้ยิน	hear
กระโดด	jump
จูบ	kiss
ฟัง	listen
ค้นหา	look
รัก (rak)	love
พบโดยบังเอิญ	meet
เคลื่อน	move
ต้องการ	need
เสนอ	offer
เปิดออก	open
จ่าย	pay
เล่นสนุก	play
ดึง	pull
ผลัก	push
วาง	put
อ่าน	read
ระลึก	remember
วิ่ง	run
พูด	say
ขาย	sell
ร้องเพลง	sing
นั่ง	sit
เอาไป	take
สนทนา	talk
เข้าใจ	understand
ใช้ประโยชน์	use
คอย	wait
รับ	accept
กล่าวหา	accuse
สำเร็จ	achieve
ปฏิบัติ	act
เห็นด้วย	agree
อนุญาต	allow
ประกาศ	announce
โต้เถียง	argue
ไต่ถาม	ask
โจมตี	attack
หลีกเลี่ยง	avoid
มี	bear
กำจัด	beat
นำไปสู่	bring
สร้าง	build
เปลี่ยน	change
เลือก	choose
จัดกลุ่ม	classify
ทำให้สะอาด	clean
เปรียบเทียบ	compare
มี	contain
ดำเนินต่อไป	continue
การโอนสายเรียกเข้า	copy
ร้องไห้	cry
ตัดสิน	decide
พรรณนา	describe
ต้องการ	desire
ตาย	die
ค้นพบ	discover
แตกแยก	divide
ไม่แน่ใจ	doubt
ปลุกใจ	encourage
ทำให้ดีเพิ่มขึ้น	enhance
เข้า	enter
จัดตั้ง	establish
รอคอย	expect
อธิบาย	explain
ต่อสู้	fight
ยกโทษให้	forgive
พัฒนา	grow
เกิดขึ้น	happen
เกลียด	hate
ปกปิด	hide
กอด	hold
ระบุชื่อ	identify
ประกอบด้วย	include
แนะนำตัว	introduce
เชื่อม	join
ดูแล	keep
เตะ	kick
ฆ่า	kill
คงอยู่	last
นำทาง	lead
ละทิ้ง	leave
อนุญาต	let
ยกขึ้น	lift
จำกัด	limit
แต่งงาน	marry
ตั้งใจ	mean
ความสูง	measure
กล่าวถึง	mention
เป็นเจ้าของ	own
ปอกเปลือก	peel
ขัด	polish
กด	press
ป้องกัน	prevent
ประท้วง	protest
พิสูจน์	prove
จัดพิมพ์	publish
เลี้ยงดู	raise
ประเมินค่า	rate
ไปถึง	reach
รับ	receive
ลด	reduce
สะท้อนกลับ	reflect
ปฏิเสธ	refuse
ตอบ	reply
รายงาน	report
ทำหน้าที่แทน	represent
ขอ	request
เคารพ	respect
เปิดเผย	reveal
ปกครอง	rule
ประหยัด	save
ระวัง	see
พิจารณา	see
เย็บ	sew
ตะโกน	shout
แสดง	show
ยืน	stand
พักอยู่	stay
ขโมย	steal
หยุด	stop
ศึกษา	study
เสนอ	suggest
จัดหาให้	supply
สนับสนุน	support
ทำให้ประหลาดใจ	surprise
สั่งสอน	teach
แสดงการขอบคุณ	thank
ขว้าง	throw
ไป	travel
ปฏิบัติ	treat
พยายาม	try
หมุน	turn
เดิน	walk
พิจารณา	watch
สวมใส่	wear
ชั่งน้ำหนัก	weigh
