English	Turkish
above	ötesinde
again	tekrar
almost	hemen hemen
along	boyunca
already	zaten
always	hep
approximately	aşağı yukarı
as	kadar
before	evvel
behind	arkasında
beyond	ötesinde
by	ile
directly	doğrudan
early	erken
either	her bir
enough	kâfi
even	hatta
exactly	tam
first	önce
generally	genellikle
here	burada
here	burada
however	buna rağmen
immediately	hemen
in	içine
indeed	cidden
inside	içinde
instead	yerine
late	geç
little	az
merely	sadece
never	asla
not	değil
obviously	açık
often	sık sık
once	eskiden
particularly	özellikle
possibly	belki
probably	belki
quickly	çabuk çabuk
really	gerçekten
really	çok
recently	geçenlerde
slowly	yavaşça
so	öyle
solely	yalnız
sometimes	bazen
soon	hemen
still	hâlâ
such	böyle
surely	mutlaka
then	o zaman
there	işte
therefore	oradan
today	bugün
together	birlikte
tomorrow	yarın
tonight	bu gece
too	dahi
up	yukarı
usually	genellikle
very	çok
well	iyi
why	neden