English	Turkish
black	sütsüz
blue	mavi
brown	kahverengi
gray	gri renkli
green	ham
orange	orange
pink	pembe
red	kırmızı
violet	menekşe rengi
white	beyaz
yellow	sarı
couple	çift
eight	sekiz
eighty	seksen
eleven	on bir
fifty	elli
five	beş
forty	kırk
four	dört
million	milyon
nine	dokuz
ninety	*doksan??
nothing	hiç
one	bir
seven	yedi
seventy	yetmiş
six	altı
sixty	altmış
ten	on
third	üçüncü
thirteen	on üç
thirty	otuz
thousand	bin
thousand	bin
three	üç
arm	kol
back	sırt
beak	gaga
blood	kan
body	gövde
bone	kemik
brain	beyin
breath	nefes
cell	hücre
chest	göğüs
chest	göğüs
chin	çene
ear	kulak
eye	göz
face	yüz
finger	parmak
foot	ayak
forehead	alın
gene	gen
hair	saç
hair	tüy
hand	el
head	baş
heart	kalp
knee	diz
leg	bacak
lip	dudak
mouth	ağız
muscle	kas
nail	tırnak
neck	boyun
nerve	sinir
nose	burun
skin	deri
stomach	mide
tail	kuyruk
throat	boğaz
thumb	eldiven baş parmağı
toe	ayak parmağı
tongue	dil
tooth	diş
wing	kanat
ant	karınca
bear	ayı
bee	arı
bird	kuş
cat	kedi
cow	inek
dog	kopek
elephant	fil
fish	balık
fly	sinek
goat	keçi
horse	at
insect	böcek
lion	aslan
monkey	maymun
pig	domuz
sheep	koyun
snake	yılan
afternoon	öğleden sonra
age	yaşlılık
April	Nisan
August	ağustos
autumn	sonbahar
beginning	başlama
century	yüzyıl
date	tarih
day	gün
December	Aralık
end	son
evening	akşam
February	Şubat
Friday	Cuma
future	gelecek
hour	saat
January	Ocak
July	Temmuz
June	Haziran
May	mayıs
minute	dakika
moment	an
moment	an
Monday	Pazartesi
month	ay
morning	sabah
night	gece
November	Kasım
now	şimdi
October	Ekim
past	geçmiş
pause	ara
period	süre
Saturday	Cumartesi
season	mevsim
second	saniye
September	Eylül
spring	ilkbahar
summer	yaz
Sunday	Pazar
Thursday	perşembe
tomorrow	yarın
Tuesday	Salı
Wednesday	çarşamba
week	hafta
weekend	hafta sonu
winter	kış
year	yıl
bread	ekmek
breakfast	kahvaltı
butter	yağ
cake	pasta
cheese	peynir
chocolate	çikolata
egg	yumurta
food	yiyecek
fruit	meyve
lunch	öğle yemeği
meal	yemek
meat	et
oil	yağ
rice	pirinç
salad	salata
salt	tuz
sandwich	sandviç
sauce	sos
soup	çorba
sugar	şeker
sweet	tatlılık
beer	bira
coffee	kahve
drink	içecek
milk	milk
milkshake	milkshake
tea	çay
water	su
wine	şarap
apple	elma
apricot	kayısı
banana	muz
blackberry	dut
cherry	kiraz
lemon	limon
nut	sert kabuklu meyve
orange	portakal
peach	şeftali
pear	armut
pineapple	ananas
plum	erik
raspberry	ahududu
strawberry	çilek
bean	fasulye
cabbage	lâhana
carrot	havuç
cucumber	hıyar
garlic	sarımsak
olive	zeytin
onion	soğan
parsnip	yabanî havuç
potato	patates
radish	turp
tomato	domates
baby	bebek
birth	doğum
birthday	doğum günü
boy	erkek çocuk
brother	erkek kardeş
daughter	kız evlât
death	ölüm
family	aile
father	baba
friend	arkadaş
girl	genç kadın
grandfather	dede
human	insan
husband	koca
life	ömür
man	adam
marriage	evlilik
mother	anne
neighbor	komşu
parent	anne
person	kimse
relationship	ilişki
sister	kız kardeş
son	erkek çocuk
wedding	düğün
wedding	evlenme
wife	eş
woman	kadın
address	adres
bathroom	banyo
bedroom	yatak odası
brick	tuğla
door	kapı
floor	döşeme
floor	kat
garage	garaj
garden	bahçe
gate	kapı
hall	antre
home	yuva
house	ev
kitchen	mutfak
roof	çatı
room	oda
shower	duş
step	basamak
toilet	tuvalet
wall	duvar
well	kuyu
window	pencere
bed	yatak
carpet	halı
chair	sandalye
cupboard	gömme dolap
curtain	perde
desk	masa
furniture	mobilya
shelf	raf
sink	eviye
table	masa
bag	torba
boot	bot
cloth	kumaş
clothing	giysi
coat	palto
collar	yaka
hat	şapka
jacket	ceket
jewel	mücevher
ring	yüzük
shirt	gömlek
shoe	ayakkabı
skirt	etek
sock	çorap
suitcase	bavul
tie	kravat
air	hava
animal	hayvan
branch	dal
evolution	gelişim
farm	çiftlik
field	tarla
fire	alev
flower	çiçek
forest	koru
grass	ot
leaf	yaprak
life	yaşam
lightning	yıldırım
moisture	nem
nature	doğa
plant	bitki
root	kök
sex	cinsiyet
sky	gökyüzü
sleep	uyku
smell	koku
smoke	duman
spring	kaynak
stem	sap
stream	akıntı
tree	ağaç
wave	dalga
weather	hava
world	dünya
airport	havaalanı
bank	banka
bridge	köprü
building	bina
capital	başkent
castle	şato
church	kilise
cinema	sinema
city	şehir
factory	fabrika
flat	daire
hospital	hastane
hotel	otel
library	kütüphane
park	park
restaurant	lokanta
road	yol
school	okul
station	istasyon
street	sokak
structure	inşa
subway	metro
supermarket	süpermarket
theater	tiyatro
town	kasaba
university	üniversite
village	köy
accident	kaza
boat	kayık
bus	otobüs
car	otomobil
curve	kavis
express	hızlı
flight	uçuş
journey	yolculuk
passenger	yolcu
plane	uçak
ship	gemi
track	ray
train	tren
transport	taşıma
actor	aktör
actress	aktris
expert	uzman
general	general
journalist	gazeteci
judge	hâkim
leader	başkan
minister	bakan
musician	müzisyen
photographer	fotoğrafçı
pilot	pilot
policeman	polis memuru
politician	politikacı
president	cumhurbaşkanı
professional	profesyonel
representative	temsilci
sailor	gemici
secretary	sekreter
servant	hizmetçi
soldier	asker
writer	yazar
bank	kıyı
beach	kumsal
current	akıntı
direction	yön
Earth	Dünya
east	doğu
height	yükseklik
hill	tepe
island	ada
lake	göl
land	kara
map	harita
Moon	Ay
north	kuzey
plain	ova
river	nehir
sea	deniz
south	güney
space	uzay
star	yıldız
sun	güneş
west	batı
cloud	bulut
dew	çiğ
fog	sis
frost	kırağı
