Turkish	﻿English
başka bir	another
kötü	bad
temel	basic
güzel	beautiful
en iyi	best
daha iyi	better
büyük	big
temiz	clean
soğuk	cold
doğru	correct
karanlık	dark
zor	difficult
aşağılık	dirty
hızlı	fast
iyi	good
büyük	great
çok iyi	great
mutlu	happy
sağlıklı	healthy
ağır	heavy
sıcak	hot
önemli	important
sol	left
hafif	light
önemsiz	little
yakın	near
yeni	new
hoş	nice
gerçek	real
sağ	right
keskin	sharp
benzer	similar
yavaş	slow
tatlı	soft
ağır	strong
zayıf	weak
yanlış	wrong
önce	ago
otomatik	automatic
hazır	available
keskin	bitter
sıkıcı	boring
şeffaf	bright
kırık	broken
ana	central
kuşkusuz	certain
ucuz	cheap
kimyasal	chemical
açık	clear
kapalı	closed
yaygın	common
ortak	common
tam	complete
bilinçli	conscious
acımasız	cruel
tehlikeli	dangerous
ince	delicate
üzgün	deplorable
farklı	different
farklı	different
alt	down
kuru	dry
her	each
hemen	early
kolay	easy
ekonomik	economic
ekonomik	economic
elektrik	electric
eşit	equal
çift	even
eşit	even
her	every
kusursuz	excellent
yalan	fake
uzak	far
şişman	fat
büyük	fat
az	few
kesin	final
mali	financial
sert	firm
düz	flat
ertesi	following
yabancı	foreign
geçmiş	former
nazik	fragile
ücretsiz	free
taze	fresh
dolu	full
toplam	full
genel	general
sanayi ile ilgili	industrial
ilginç	interesting
son	last
geç	late
yasal	legal
sıvı	liquid
yerel	local
yüksek	loud
alçak	low
şanslı	lucky
başlıca	main
büyük	major
çok	many
metalik	metal
askeriye	military
modern	modern
daha	more
çok	much
dar	narrow
ulusal	national
doğal	natural
gerekli	necessary
bitişik	next
numara	no
normal	normal
öbür	opposite
eski	original
başka	other
kendi	own
paralel	parallel
özel	particular
geçen	past
kişisel	personal
fizikî	physical
politik	political
yoksul	poor
mümkün	possible
hazır	present
bir önceki	previous
özel	private
mümkün	probable
meslekî	professional
umumî	public
sessiz	quiet
hazır	ready
geçen	recent
düzenli	regular
sorumlu	responsible
katı	rigid
kaba	rough
yuvarlak	round
emniyetli	safe
aynı	same
ikinci	second
gizli	secret
ayrı	separate
ciddî	serious
belirli	set
birkaç	several
kısa	short
sessiz	silent
kolay	simple
tek	single
küçük	small
pürüzsüz	smooth
katı	solid
seyrek	sparse
özel	special
belirli	specific
dört köşeli	square
nazik	squeamish
standart	standard
yapışkan	sticky
düz	straight
garip	strange
şık	stylish
anî	sudden
tatlı	sweet
uzun boylu	tall
koyu	thick
zayıf	thin
dar	tight
doğru	true
çirkin	ugly
altında	under
yaygın	usual
çeşitli	various
ılık	warm
ıslak	wet
bütün	whole
