English	Vietnamese
begin	Bắt đầu
break	chia ra
buy	mua
close	đóng
come	đi đến
cut	cắt
dance	khiêu vũ
do	sử dụng
draw	vẽ
drink	uống
eat	ăn
fall	rơi
find	tìm thấy
fire	bắn
fly	bay
follow	theo sau
forget	quên
give	cho
hear	nghe
help	giúp
hope	hy vọng
jump	nhảy lên
kiss	hôn
laugh	cười
learn	học
lie	nằm
like	thích
listen	lắng nghe
look	nhìn
lose	mất
love	thích
meet	bắt gặp
move	di chuyển
need	cần đến
offer	mời
open	mở ra
pay	trả tiền
play	nô đùa
pull	rút ra
push	đẩy
put	đặt
read	đọc
remember	nhớ lại
run	chạy
say	nói
sell	bán
sing	hát
sit	ngồi
smile	mỉm cười
swim	bơi, tắm (lit. "to bathe")
take	cầm
talk	nói
understand	hiểu được ý
use	áp dụng
wait	đợi
accept	chấp nhận
accuse	buộc tội
achieve	đạt được
act	hành động
admit	công nhận
agree	đồng tình
allow	cho phép
announce	công bố
argue	cãi nhau
arrive	đến
ask	hỏi
attack	tấn công
avoid	tránh
be	có sự sống
bear	mang vác
beat	đánh bại
become	trở thành
bite	cắn
bring	làm cho
build	xây dựng
call	gọi điện
carry	mang
change	thay đổi
choose	chọn
classify	xếp hạng
clean	làm sạch
compare	ví
contain	chứa đựng
continue	tiếp tục
cook	nấu ăn
copy	bản sao
cough	ho
cry	khóc
decide	quyết định
describe	mô tả
design	thiết kế
desire	muốn
die	chết
discover	khám phá
discuss	thảo luận
divide	phân chia
doubt	nghi ngờ
drive	lái xe
embrace	bao gồm
encourage	khuyến khích
end	kết thúc
enhance	nâng cao
enter	đi vào
establish	xây dựng
estimate	ước tính
exceed	vượt quá
exist	tồn tại
expect	đợi
explain	giải thích
fight	đấu tranh
fill	đổ đầy
find	phát hiện
forgive	tha thứ
free	giải phóng
grow	phát triển
happen	xảy ra
hate	ghét
hide	che đậy
hold	cầm
identify	nhận ra
include	bao gồm
injure	làm bị thương
introduce	giới thiệu
join	nối
keep	giữ trong tình trạng
kick	đá
kill	giết
land	hạ cánh
last	còn đủ
lead	hướng dẫn
leave	bỏ lại
let	cho phép
lift	nâng lên
limit	hạn chế
load	nạp điện
look	dường như
lose	mất
manage	lãnh đạo
marry	cưới
mean	định
measure	đo lường
mention	đề cập
name	gọi
own	sở hữu
pass	on nộp
peel	gọt vỏ
poison	đầu độc
polish	đánh bóng
prepare	chuẩn bị
press	nhấn
prevent	ngăn chặn
print	in
process	xử lý
protest	phản đối
prove	chứng minh
publish	xuất bản
raise	giáo dục
rate	đánh giá
reach	đến được
receive	nhận được
record	thu thanh
reduce	cắt giảm
reflect	phản xạ
refuse	từ chối
remove	di chuyển
render	trả lại
reply	trả lời
report	thông báo
represent	đại diện
request	yêu cầu
respect	thể hiện sự kính trọng
reveal	vạch trần
risk	liều
rule	cai trị
save	để dành
save	cứu hộ
see	nhìn thấy
see	coi như
send	gửi
sew	may
shout	kêu gào
show	cho xem
spend	trải qua
stand	đứng
stay	tiếp tục tồn tại
steal	ăn cắp
stop	chặn lại
study	học
suggest	đề nghị
supply	cung cấp
support	truyền sức mạnh
surprise	làm ngạc nhiên
teach	dạy
test	thử nghiệm
thank	cảm ơn
throw	ném
title	đặt tiêu đề
trade	kinh doanh
train	đào tạo
travel	đi
treat	đối xử
try	cố gắng
turn	xoay
visit	đến thăm
walk	đi bộ
watch	nhìn
wear	mặc
weigh	cân nặng
win	thắng
wish	ước