English	Faroese
Antarctica	Antarktis
Austria ; Republic of Austria	Eysturríki
Chile ; Republic of Chile	Chile
Cyprus ; Republic of Cyprus	Kýpros
Czech ; Czech	kekkiskt
Denmark ; Kingdom of Denmark	Danmark
EU ; European Union	Evropeiska samveldið
Estonia ; Republic of Estonia	Estland
Faroe Islands	Føroyar
Faroese ; Faeroese	føroyskt
Finland ; Republic of Finland	Finnland
France	Frakland
Georgia	Georgia
Germany ; Federal Republic of Germany	Týskland
Greece ; Hellenic Republic	Grikkaland
Greenland	Grønland
Gregorian calendar	Gregorianski kalendarin
Hungary ; Republic of Hungary	Ungarn
I	eg ; jeg
Iceland ; Republic of Iceland	Ísland
India ; Republic of India	India
Ireland ; Republic of Ireland	Írland
July	juli
June	juni
Lithuania ; Republic of Lithuania	Litavia
Monaco	Monako
Montenegro	Montenegro
Morocco ; Kingdom of Morocco	Marokko
Norway ; Kingdom of Norway	Noreg
Persian ; Western Farsi ; Farsi	persiskt
Poland	Póland
Portugal	Portugal
Saint-Pierre and Miquelon	Saint-Pierre og Miquelon
Slovakia	Slovakia
Sweden	Svøríki
Switzerland	Schweiz
Vatican City ; The Holy See ; State of the Vatican City	Vatikanið
adventure	ævintýr
americium	americium
ant	meyra
argon	argon
arsenic	arsenikk
beaver	bævur
beryllium ; glucinium	beryllium
biochemistry	lívevnafrøði
bismuth	vismut
blackbird	kvørkveggja
boron	bor
cadmium	kadmium
caesium	cæsium
calcium	kalsium
chlorine	kloor
cobalt	kobolt
compound ; chemical compound	evnasambinding
dance	dansur
dolphin	delfin
einsteinium	einsteinium
europium	europium
gadolinium	gadolinium
gallium	gallium
germanium	germanium
goose	gás
guinea pig	marsvín
hafnium	hafnium
he	hann
hedgehog	tindasvín
helium	helium
holmium	holmium
hydrogen	hydrogen
iodine	jod
iridium	iridium
krypton	crypton
lanthanum	lanthan
lawrencium	lawrencium
lead	blýggj
leap year	skotár
lithium	lithium
lutetium	lutetium
lynx	geypa
magnesium	magnesium
manganese	mangan
mendelevium	mendelevium
mercury	kviksilvur
molybdenum	molybden
mysterious	dularfullur
neodymium	neodym
neon	neon
neptunium	neptunium
niobium	niobium
nitrogen	køvievni
nobelium	nobelium
nosotros ; we	vit
orphan	foreldraloysingur
osmium	osmium
ostrich	strutsur
oxygen	súrevni
oyster	ostra
palladium	palladium
pheasant	fasánur
philosophy	heimspeki
pigeon ; dove	dúgva
praseodymium	praseodymium
promethium	promethium
protactinium	protaktinium
rhenium	renium
rhodium	rodium
rubidium	rubidium
ruthenium	ruthenium
samarium	samarium
silicon	silicium
silver	silvur
sodium	natrium
strontium	strontium
sulphur	svávul
tantalum	tantal
technetium	technetium
thallium	thallium
tin	tin
titanium	titan
trophy	minnisfongur
whale	hvalur
yttrium	yttrium
zirconium	zirkon
Åland Islands	Áland
