English	Malay
Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln	Abraham Lincoln
Albania ; Republic of Albania	Albania
Algeria ; People's Democratic Republic of Algeria	Algeria
American Samoa	Samoa Amerika
Anguilla	Anguilla
Antarctica	Antartika
Antigua and Barbuda	Antigua dan Barbuda
Argentina ; Argentine Republic	Argentina
Armenia	Armenia
Australia ; Commonwealth of Australia	Australia
Austria ; Republic of Austria	Austria
Azerbaijan ; Republic of Azerbaijan	Azerbaijan
Bahrain	Bahrain
Bhutan ; Kingdom of Bhutan	Bhutan
Borneo ; Kalimantan	Borneo
Bourgogne	Bourgogne
Brunei ; Negara Brunei Darussalam	Brunei
Bulgaria ; Republic of Bulgaria	Bulgaria
Burundi ; Republic of Burundi	Burundi
Cairo	Kaherah
Cambodia ; Kingdom of Cambodia	Kemboja
Cameroon ; Republic of Cameroon	Cameroon
Canada	Kanada
Chile ; Republic of Chile	Chile
Christmas Island	Pulau Krismas
Cyprus ; Republic of Cyprus	Cyprus
East Timor ; Democratic Republic of Timor-Leste	Timor Leste
El Salvador ; Republic of El Salvador	El Salvador
Ethiopia ; Federal Democratic Republic of Ethiopia	Habsyah
Gabon ; Gabonese Republic	Gabon
Greece ; Hellenic Republic	Yunani
Honduras ; Republic of Honduras	Honduras
India ; Republic of India	India
Indonesia ; Republic of Indonesia	Indonesia
Iran ; Islamic Republic of Iran	Iran
Israel ; State of Israel	Israel
Italian Republic ; Italy	Itali
Japan ; State of Japan	Jepun
June	jun
Kiribati ; Republic of Kiribati	Kiribati
Kyrgyzstan ; Kyrgyz Republic	Kyrgyzstan
Lesotho ; Kingdom of Lesotho	Lesotho
Liberia ; Republic of Liberia	Liberia
Libya ; Great Socialist People's Libyan Arab Jamahiriya	Libya
Malawi ; Republic of Malaŵi	Malawi
Monaco	Monaco
Montenegro	Montenegro
Morocco ; Kingdom of Morocco	Maghribi
Myanmar	Myanmar
Namibia	Namibia
New York	New York
Nicaragua	Nicaragua
Norway ; Kingdom of Norway	Norway
Pakistan ; Islamic Republic of Pakistan	Pakistan
Panama	Panama
Portugal	Portugal
Qatar	Qatar
Saturn	Zuhal
Saudi Arabia ; Kingdom of Saudi Arabia	Arab Saudi
Senegal	Senegal
Serbia	Serbia
Slovakia	Slovakia
Spain	Sepanyol
Sri Lanka	Sri Lanka
Sudan	Sudan
Switzerland	Switzerland
Tanzania	Tanzania
Togo	Togo
Turkey	Turki
Uganda ; Republic of Uganda	Uganda
Vatican City ; The Holy See ; State of the Vatican City	Kota Vatican
Zambia ; Republic of Zambia	Zambia
acceleration	pecutan
actinium	aktinium
alloy	aloi
aluminium	aluminium
americium	amerisium
amphetamine	amfetamina
ant	semut
antithesis	antitesis
argon	argon
arsenic	arsenik
bee	lebah
beryllium ; glucinium	berilium
bicycle ; bike ; cycle	basikal
bismuth	bismut
boron	boron
butterfly	rama-rama
cadmium	kadmium
caesium	sesium
caffeine	kafeina
calcium	kalsium
camouflage	penyamaran
carbon	karbon
chlorine	klorin
chromium	kromium
consume ; eat ; swallow	makan
doll	boneka
dubnium	hahnium
einsteinium	einsteinium
equator	khatulistiwa
europium	europium
gadolinium	gadolinium
gallium	gallium
germanium	germanium
gold	emas
hafnium	hafnium
hassium	hassium
helium	helium
holmium	holmium
homeostasis	homeostasis
ice	ais
ideology	ideologi
iodine	iodin
iridium	iridium
iron	besi
krypton	kripton
lanthanum	lanthanum
lead	plumbum
lutetium	lutetium
magnesium	magnesium
manganese	mangan
mendelevium	mendelevium
mercury	merkuri
molybdenum	molibdenum
morphine	morfina
neodymium	neodimium
neptunium	neptunium
niobium	niobium
nitrogen	nitrogen
nobelium	nobelium
obesity	obesiti
opium	candu ; madat
organelle	organel
osmium	osmium
oxygen	oksigen
oyster	kerang
palladium	paladium
plough	കലപ്പ
plutonium ; plutonium ; plutonium	plutonium
polonium	polonium
praseodymium	praseodimium
promethium	prometium
protactinium	protaktinium
public transport	pengangkutan awam
radon	radon
rhenium	renium
rhodium	rodium
rutherfordium	ruterfordium
samarium	samarium
silicon	silikon
silver	perak
strontium	strontium
sulphur	sulfur ; belerang
tantalum	tantalum
technetium	teknetium
thallium	talium
theology	teologi
thousand	ribu
xenon	xenon
zirconium	zirkonium
