English	Romanian
9 ; nine	nou
Abidjan	Abidjan
Abkhazia	Abhazia
Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln	Abraham Lincoln
Adelaide	Adelaide
Adriatic Sea	Marea Adriatică
Aegean Sea	Marea Egee
Afrikaans	afrikaans
Albania ; Republic of Albania	Albania
Algeria ; People's Democratic Republic of Algeria	Algeria
Alps	Alpi
American Samoa	Samoa americană
Andorra ; Principality of Andorra	Andorra
Angola ; Republic of Angola	Angola
Anguilla	Anguilla
Antigua and Barbuda	Antigua şi Barbuda ; Антигва и Барбуда
April	aprilie
Apus	Pasărea Paradisului
Aquarius	Vărsătorul
Aquila	Vulturul
Arabic ; Standard Arabic	arabă
Argentina ; Argentine Republic	Argentina
Aries	Berbecul
Arizona	Arizona
Armenia	Armenia
Armenian	armeană
Aruba	Aruba
Asteraceae ; sunflower family ; Compositae ; daisy family ; aster family	Asteraceae
August	august
Australia ; Commonwealth of Australia	Australia
Austria ; Republic of Austria	Austria
Azerbaijan ; Republic of Azerbaijan	Azerbaigean
Azores	Azore
Bahrain	Bahrain
Balearic Islands	Insulele Baleare
Bangladesh ; People's Republic of Bangladesh	Bangladeş
Belarusan ; Belarusan ; Belarusian ; Belorussian ; Byelorussian	bielorusă ; bielorusă ; bielorusă ; bielorusă ; bielorusă
Belgium ; Kingdom of Belgium	Belgia
Belize	Belize
Bengali ; Bengali	Bengaleză
Bermuda	Bermuda
Bhutan ; Kingdom of Bhutan	Buthan
Bible	Biblia
Birmingham	Birmingham
Bokmål	Bokmål
Bolivia ; Republic of Bolivia	Bolivia
Borneo ; Kalimantan	Borneo
Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina	Bosnia şi Herţegovina
Botswana ; Republic of Botswana	Botswana
Bourgogne	Burgogne
Boötes	Boarul
Brazil	Brazilia
Breton ; Breton	bretonă
British Indian Ocean Territory ; BIOT	Teritoriul Britanic din Oceanul Indian
Bucharest	Bucureşti
Bulgaria ; Republic of Bulgaria	Bulgaria
Bulgarian	bulgar
Bulgarian ; Bulgarian	bulgară
Burundi ; Republic of Burundi	Burundi
Cairo	Cairo
Cambodia ; Kingdom of Cambodia	Cambodgia
Cameroon ; Republic of Cameroon	Camerun
Canada	Canada
Cancer	Racul
Canes Venatici	Câinii de Vânătoare
Canis Major	Câinele Mare
Canis Minor	Câinele Mic ; Малый Пёс
Capricorn	Capricornul
Cassiopeia	Cassiopeia
Catalan ; Catalan	catalană
Cayman Islands	Insulele Cayman
Charente	Charente
Chechen ; Chechen	cecenă
Chile ; Republic of Chile	Chile
Christmas	Crăciun ; Naşterea Domnului
Christmas Island	Insula Christmas
Christmas tree	pom de Crăciun
Colombia ; Republic of Colombia	Columbia
Cook Islands	Insulele Cook
Corfu	Corfu
Croatian ; Croation	croată
Cuba ; Republic of Cuba	Cuba
Cyprus ; Republic of Cyprus	Cipru
Czech ; Czech	cehă
Czech Republic ; Czechia	Cehia
Dagestan	Daghestan
Dakar	Dakar
Danish	daneză
December	decembrie
Definition ; definition	definiţie
Dutch	olandeză
EU ; European Union	Uniunea Europeană
East Timor ; Democratic Republic of Timor-Leste	Timorul de Est
Easter	Paşti
Egypt ; Arab Republic of Egypt	Egipt
El Salvador ; Republic of El Salvador	El Salvador
England	Anglia
Eritrea	Eritrea
Estonia ; Republic of Estonia	Estonia
Estonian	estonă
Ethiopia ; Federal Democratic Republic of Ethiopia	Etiopia
Falkland Islands	Insulele Falkland ; Insulele Malvine
Faroe Islands	Insulele Feroe
Faroese ; Faeroese	feroeză ; faroeză
Finland ; Republic of Finland	Finlanda
Finnish	finlandeză
Flanders ; Flemish region	Flandra
Flemish	flamandă
Flevoland	Flevoland
French ; French	franceză
French Guiana	Guyana Franceză
French Polynesia	Polinezia franceză
French Southern Territories ; French Southern and Antarctic LandsA ; French Southern and Antarctic Lands ; Territory of the French Southern and Antarctic Lands	Teritoriile australe şi antarctice franceze
Frenchman	frantuzesc
Friday	vineri
Gabon ; Gabonese Republic	Gabon
Gaborone	Gaborone
Galician ; Galician	galiciană
