English	Xhosa
Easter	ipasika
Germany ; Federal Republic of Germany	iJamani
Italian Republic ; Italy	Ithali
South Africa	Mzantsi Afrika
Xhosa	isiXhosa
absolutely	ngenene
acquisition	inzuzo
activist	ufunzeweni
ambulance	iambulansi
anniversary	isikhumbuzo
ant	imbovane
apostle	umpostile
armistice	uhoha
arrival	ukufika
arsenic	iarseniki
artery	umthambo
asthma	umbefu
axiom	cacileyo
baboon	imfene
ballot	unyulo
barometer	ibharometa
bile	inyongo
breakfast	iblhakfesi
career	umsebenzi
chapter	isahluko
characteristic	luphawu
come	ngena
comet	unomgca
corruption	unyobo
cow	inkomo
deaf	isithulu
debit	ityala
defendant ; accused	ummangalelwa
diarrhea	urhudo
diplomat	umzakuzi
discount	ukunciphisa ; unciphiso
dolphin	ihlengesi
dumb	sisimumu
effort ; exertion	ukuzama ; inzame
ejaculation	ukuphuma
entrepreneur	umrhwebi
exception	isinxaxhi
foreign	asemzini
freedom ; liberty	inkululeko
handkerchief	iqhiya
influenza ; flu	umkhuhlane
post office	posi
trophy	indebe
water	amanzi
web ; spider web	indlu yesigcawu
