English	Zulu
Botswana ; Republic of Botswana	iButswana
Egypt ; Arab Republic of Egypt	Gibhithe
Greece ; Hellenic Republic	iGirisi
Russian ; Russian	isiRashiya
South Africa	Ningizimu Afrika
Swedish	isiSwidishi
Xhosa	isiXhosa
Zulu	isiZulu
absolutely	ngempela
acquisition	ukuzuza
activist	umkhuthazi
ambassador	inxusa
ambulance	i-ambulanse
ant	intuthwane
antelope	inymazane
anthropologist	umuntu oyisazi
apathy	ukungabinanhliziyo
apostle	umphostoli
apron	isibhaxelo
arrival	ukufika
arsenic	aseniki
assumption ; supposition	ukuzithathela
asthma	umbefu
avaricious	hahelayo
aye ; yeah ; yep ; yes	yebo
baboon	imfene
ballot	ulukhetho
bankruptcy	ukushona
barometer	bhalomitha
bilateral	nxambili
bile	inyongo
boundary	iliphethelo
breakfast	indlakusasa
colony	koloni
consonant	ungwaqa
cow	gogobeza
defendant ; accused	ummangalelwa
discount	nciphisa
disinfectant	umphungo
effort ; exertion	isigabavu
elephant	indlovu
emergency	ingozi
ephemeral	anamhlanje
estimate	isilinganiso
exception	okungekho
eyebrow	ilishiya
facility	ubulula ; ukonwaba
foreign	ngekwakhona
fossil	indulu
fracture	ukwaphula
freedom ; liberty	inkululeko
garage	igaraji]
goose	ihansi
gorilla	igorila
heathen ; infidel ; pagan	umhedeni
home ; home ; house	indlu
hydrogen	lihayidrojeni
independence	ukuzimela
influenza ; flu	imfuluyeza
pity ; compassion	ububele ; umunyu
sulphur	solufa
trophy	inkomishi
water	amanzi
zebra	idube
