Faroese	English
Antarktis	Antarctica
Eysturríki	Austria ; Republic of Austria
Chile	Chile ; Republic of Chile
Kýpros	Cyprus ; Republic of Cyprus
kekkiskt	Czech ; Czech
Danmark	Denmark ; Kingdom of Denmark
Evropeiska samveldið	EU ; European Union
Estland	Estonia ; Republic of Estonia
Føroyar	Faroe Islands
føroyskt	Faroese ; Faeroese
Finnland	Finland ; Republic of Finland
Frakland	France
Georgia	Georgia
Týskland	Germany ; Federal Republic of Germany
Grikkaland	Greece ; Hellenic Republic
Grønland	Greenland
Gregorianski kalendarin	Gregorian calendar
Ungarn	Hungary ; Republic of Hungary
eg ; jeg	I
Ísland	Iceland ; Republic of Iceland
India	India ; Republic of India
Írland	Ireland ; Republic of Ireland
juli	July
juni	June
Litavia	Lithuania ; Republic of Lithuania
Monako	Monaco
Montenegro	Montenegro
Marokko	Morocco ; Kingdom of Morocco
Noreg	Norway ; Kingdom of Norway
persiskt	Persian ; Western Farsi ; Farsi
Póland	Poland
Portugal	Portugal
Saint-Pierre og Miquelon	Saint-Pierre and Miquelon
Slovakia	Slovakia
Svøríki	Sweden
Schweiz	Switzerland
Vatikanið	Vatican City ; The Holy See ; State of the Vatican City
ævintýr	adventure
americium	americium
meyra	ant
argon	argon
arsenikk	arsenic
bævur	beaver
beryllium	beryllium ; glucinium
lívevnafrøði	biochemistry
vismut	bismuth
kvørkveggja	blackbird
bor	boron
kadmium	cadmium
cæsium	caesium
kalsium	calcium
kloor	chlorine
kobolt	cobalt
evnasambinding	compound ; chemical compound
dansur	dance
delfin	dolphin
einsteinium	einsteinium
europium	europium
gadolinium	gadolinium
gallium	gallium
germanium	germanium
gás	goose
marsvín	guinea pig
hafnium	hafnium
hann	he
tindasvín	hedgehog
helium	helium
holmium	holmium
hydrogen	hydrogen
jod	iodine
iridium	iridium
crypton	krypton
lanthan	lanthanum
lawrencium	lawrencium
blýggj	lead
skotár	leap year
lithium	lithium
lutetium	lutetium
geypa	lynx
magnesium	magnesium
mangan	manganese
mendelevium	mendelevium
kviksilvur	mercury
molybden	molybdenum
dularfullur	mysterious
neodym	neodymium
neon	neon
neptunium	neptunium
niobium	niobium
køvievni	nitrogen
nobelium	nobelium
vit	nosotros ; we
foreldraloysingur	orphan
osmium	osmium
strutsur	ostrich
súrevni	oxygen
ostra	oyster
palladium	palladium
fasánur	pheasant
heimspeki	philosophy
dúgva	pigeon ; dove
praseodymium	praseodymium
promethium	promethium
protaktinium	protactinium
renium	rhenium
rodium	rhodium
rubidium	rubidium
ruthenium	ruthenium
samarium	samarium
silicium	silicon
silvur	silver
natrium	sodium
strontium	strontium
svávul	sulphur
tantal	tantalum
technetium	technetium
thallium	thallium
tin	tin
titan	titanium
minnisfongur	trophy
hvalur	whale
yttrium	yttrium
zirkon	zirconium
Áland	Åland Islands
