Indonesian	English
Abidjan	Abidjan
Abkhazia	Abkhazia
Abraham Lincoln	Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln
Adelaide	Adelaide
Laut Aegea	Aegean Sea
Albania	Albania ; Republic of Albania
Aljazair	Algeria ; People's Democratic Republic of Algeria
Alpen	Alps
Samoa Amerika	American Samoa
Andorra	Andorra ; Principality of Andorra
Angola	Angola ; Republic of Angola
Anguilla	Anguilla
Antarktika	Antarctica
Antigua dan Barbuda	Antigua and Barbuda
april	April
Apus	Apus
Aquarius	Aquarius
Aquila	Aquila
Argentina	Argentina ; Argentine Republic
Aries	Aries
Arizona	Arizona
Armenia	Armenia
Agustus	August
Australia	Australia ; Commonwealth of Australia
Austria	Austria ; Republic of Austria
Azerbaijan	Azerbaijan ; Republic of Azerbaijan
Bahrain	Bahrain
Kepulauan Balears	Balearic Islands
Bangladesh	Bangladesh ; People's Republic of Bangladesh
Belgia	Belgium ; Kingdom of Belgium
Belize	Belize
Belmopan	Belmopan
Bahasa Bengali	Bengali ; Bengali
Bermuda	Bermuda
Betlehem	Bethlehem
Bhutan	Bhutan ; Kingdom of Bhutan
Alkitab	Bible
Birmingham	Birmingham
Pulau Borneo	Borneo ; Kalimantan
Botswana	Botswana ; Republic of Botswana
Bourgogne	Bourgogne
Pulau Bouvet	Bouvet Island
Boötes	Boötes
Brasil	Brazil
Teritorial Britania di Samudra Hindia	British Indian Ocean Territory ; BIOT
Brunei	Brunei ; Negara Brunei Darussalam
Bulgaria	Bulgaria ; Republic of Bulgaria
Burundi	Burundi ; Republic of Burundi
Kairo	Cairo
Kamboja	Cambodia ; Kingdom of Cambodia
Kamerun	Cameroon ; Republic of Cameroon
Kanada	Canada
Cancer	Cancer
Canes Venatici	Canes Venatici
Canis Major	Canis Major
Canis Minor	Canis Minor
Capricornus	Capricorn
Laut Karibia	Caribbean Sea
Cassiopeia	Cassiopeia
Kepulauan Cayman	Cayman Islands
Chad	Chad ; Republic of Chad
Charente	Charente
Chihuahua	Chihuahua
chihuahua	Chihuahua ; chihuahua
Chili	Chile ; Republic of Chile
Pulau Christmas	Christmas Island
pohon Natal	Christmas tree
Corfu	Corfu
Kroasia	Croatia ; Republic of Croatia
Siprus	Cyprus ; Republic of Cyprus
Dagestan	Dagestan
Dakar	Dakar
Desember	December
Republik Demokratik Kongo	Democratic Republic of the Congo ; Congo-Kinshasa
Denmark	Denmark ; Kingdom of Denmark
Republik Dominika	Dominican Republic
bahasa Belanda	Dutch
Uni Eropa	EU ; European Union
Timor Timur	East Timor ; Democratic Republic of Timor-Leste
Paskah	Easter
Mesir	Egypt ; Arab Republic of Egypt
El Salvador	El Salvador ; Republic of El Salvador
Epifani	Epiphany
Eritrea	Eritrea
Estonia	Estonia ; Republic of Estonia
Ethiopia	Ethiopia ; Federal Democratic Republic of Ethiopia
Faro	Faroese ; Faeroese
Finlandia	Finland ; Republic of Finland
Flevoland	Flevoland
Peransis	France
Guyana Perancis	French Guiana
Polinesia Perancis	French Polynesia
Frisia	Frisian ; Western Frisian
Gabon	Gabon ; Gabonese Republic
Gaborone	Gaborone
Gambia	Gambia ; Gambia ; Gambia ; Gambia ; The Gambia ; Republic of The Gambia
Gemini	Gemini
Georgia	Georgia
Georgia	Georgian ; Georgian
bahasa Jerman	German
Jerman	Germany ; Federal Republic of Germany
Ghana	Ghana ; Republic of Ghana
Gibraltar	Gibraltar
Yunani	Greece ; Hellenic Republic
Greenland	Greenland
Grenada	Grenada
Guadeloupe	Guadeloupe
Guam	Guam ; Guam ; Guam
H5N1	H5N1 ; Influenza A virus subtype H5N1 ; A(H5N1)
Haiti	Haiti ; Republic of Haiti
selamat tahun baru	Happy New Year
Hercules	Hercules
Belanda	Holland ; Kingdom of the Netherlands ; The Netherlands
Hongaria	Hungary ; Republic of Hungary
India	India ; Republic of India
Indonesia	Indonesia ; Republic of Indonesia
indónesíska ; bahasa Indonesia	Indonesian
Indre	Indre
Iran	Iran ; Islamic Republic of Iran
Irak	Iraq ; Republic of Iraq
Irlandia	Ireland ; Republic of Ireland
Israel	Israel ; State of Israel
Italia	Italian Republic ; Italy
Pantai Gading	Ivory Coast ; Cote d'Ivoire ; Republic of Cote d'Ivoire
Jakarta	Jakarta ; Djakarta ; DKI Jakarta
Jamaika	Jamaica
januari	January
Jepang	Japan ; State of Japan
bahasa Jawa	Javanese
Jersey	Jersey ; Bailiwick of Jersey
Yordania	Jordan ; Hashemite Kingdom of Jordan
juni	June
Jupiter	Jupiter
Kenya	Kenya ; Republic of Kenya
Khartoum	Khartoum
Kiribati	Kiribati ; Republic of Kiribati
Kirgizstan	Kyrgyzstan ; Kyrgyz Republic
Lagos	Lagos
Lausanne	Lausanne
St. Petersburg	Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg
Leo	Leo
Lesotho	Lesotho ; Kingdom of Lesotho
Liberia	Liberia ; Republic of Liberia
Libra	Libra
Libya	Libya ; Great Socialist People's Libyan Arab Jamahiriya
Lithuania	Lithuania ; Republic of Lithuania
Niedersachsen	Lower Saxony
Lyon	Lyon
Malawi	Malawi ; Republic of Malaŵi
Malaysia	Malaysia
Malta	Malta ; Republic of Malta
Martinique	Martinique
Mauritania	Mauritania ; Islamic Republic of Mauritania
Mayotte	Mayotte
Mekkah	Mecca
Merkurius	Mercury
Selamat Hari Natal	Merry Christmas
Milan	Milan
Bima Sakti ; Bimasakti	Milky Way ; Galaxy
Milwaukee	Milwaukee
Monako	Monaco
Montenegro	Montenegro
Montserrat	Montserrat
Maroko	Morocco ; Kingdom of Morocco
Gunung Fuji	Mount Fuji
Myanmar	Myanmar
Nairobi	Nairobi
Namibia	Namibia
Neptunus	Neptune
Kaledonia Baru	New Caledonia
New York	New York
Selandia Baru	New Zealand
Nikaragua	Nicaragua
Niue	Niue
Norwegia	Norway ; Kingdom of Norway
Nuuk	Nuuk
Orléans	Orleans
Pakistan	Pakistan ; Islamic Republic of Pakistan
Papua Nugini	Papua New Guinea
Peru	Peru ; Republic of Peru
Philadelphia	Philadelphia
Polandia	Poland
Portugal	Portugal
Puerto Riko	Puerto Rico
Qatar	Qatar
Rumania	Romania
Sagittarius	Sagittarius
Saint-Pierre dan Miquelon	Saint-Pierre and Miquelon
Saturnus	Saturn
Arab Saudi	Saudi Arabia ; Kingdom of Saudi Arabia
Scorpius	Scorpio
Sungai Seine	Seine
Senegal	Senegal
Serbia	Serbia
Slowakia	Slovakia
Spanyol	Spain
Sri Lanka	Sri Lanka
Sudan ; Súdan	Sudan
Raja Matahari	Sun King
Suriname	Suriname
Swedia	Sweden
Swiss	Switzerland
Taiwan	Taiwan
Bahasa Tajik	Tajik
Tanzania	Tanzania
Taurus	Taurus
Bahasa Telugu	Telugu ; Telugu
Tennessee	Tennessee
Thailand	Thailand
Thüringen	Thuringia
Togo	Togo
Tonga	Tonga
Toronto	Toronto
Turki	Turkey
Uganda	Uganda ; Republic of Uganda
Kerajaan Inggris	United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK
Uranus	Uranus
Bahasa Urdu	Urdu ; Urdu
Utah	Utah
Vaduz	Vaduz
Vatikan	Vatican City ; The Holy See ; State of the Vatican City
Venezuela	Venezuela
Venesia	Venice
Venus	Venus
Wallis dan Futuna	Wallis and Futuna ; Territory of the Wallis and Futuna Islands
KamusWiki	Wiktionary
Bahasa Xhosa	Xhosa
bahasa Yiddish	Yiddish
Zambia	Zambia ; Republic of Zambia
Zanzibar	Zanzibar
Zimbabwe	Zimbabwe ; Republic of Zimbabwe
amplitudo	aAmplitude ; amplitude
terkejut	aback
kecelakaan ; musibah	accident
akordeon	accordion ; squeeze box ; piano accordion
akuntansi	accountancy
aktinium	actinium
agresif	aggressive
penyerang	aggressor ; assailant ; attacker ; assaulter
alkimia	alchemy
alkoholisme	alcoholism
almanak	almanac
hampir ; nyaris	almost
dengan	alongside ; amongst ; with
aluminium	aluminium
ambar	amber
amfetamin	amphetamine
anarkisme	anarchism
dan ; serta	and ; as well as ; in addition to ; together with ; too
malaikat	angel
semut	ant
antropologi	anthropology
apartheid	apartheid
apoptosis	apoptosis
apel	apple
aberikos	apricot
akuarium	aquarium
arkeologis	archaeological
sengaja	arson
cerdik	artful
asbestos	asbestos
kekuasaan	ascendancy
pendakian	ascent
tanjakan	ascent
menemukan	ascertain
pucat	ashen
asbak	ashtray
sofandi	asleep
aspal	asphalt
ambisi	aspiration
pembunuh	assassin ; assassinator
mengumpulkan	assemble ; get together ; gather
persetujuan	assent
menyetujui	assent
menyatakan	assert
memaksakan	assert
menugaskan	assign
tugas	assignment
mencernakan	assimilate
membantu	assist
campuran	assorted
astatin	astatine
asteroide	asteroid
mengherankan	astonish
mengagumkan	astonishing
keheranan	astonishment
terkejut	astound
mengejutkan	astounding
astrometri	astrometry
menarik	atractive
kekeja ; kekejaman	atrocity
menyayangi	attached
menyukai	attachment
mencapai	attain
melayani	attend
mengikuti	attend
memperhatikan	attend
menangani	attend
penjaga	attendant
pakaian	attire
berpakaian	attire
posisi	attitude
menarik	attract
berani	audacious
meningkatkan	augment
menguntungkan	auspicious
berwenang	authoritative
otokrasi	autocracy
otopsi	autopsy
tersedia	available
bulutangkis	badminton
toko roti	baker ; bakery
balada	ballad
ruang dansa	ballroom
pisang	banana
barium	barium
barometer	barometer
beatifikasi	beatification
bir	beer
pusat	belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus
berkelium	berkelium
berilium	beryllium ; glucinium
minuman	beverage ; drink
sepeda	bicycle ; bike ; cycle
bioma	biome
bismut	bismuth
buta	blind
plasma darah	blood plasma
biru	blue
bonsai	bonsai
boron	boron
perbatasan	boundary
roti	bread
brokoli	broccoli
brom	bromine
birokrasi	bureaucracy
penjagal	butcher
kupu-kupu	butterfly
klitoris	button ; clit ; clitoris
membeli	buy ; purchase
sesium	caesium
kafein	caffeine
kalsium	calcium
kalender	calendar
kamuflase	camouflage
zat asam arang	carbon dioxide
bungkul	cauliflower
seledri	celery
serium	cerium
kursi	chair
sampanye	champagne
teori chaos	chaos theory
apoteker	chemist ; pharmacist
apotek	chemist's ; chemist's shop ; pharmacy
tupai chipmunk	chipmunk
kolesterol	cholesterol
kromium	chromium
kromosom	chromosome
cerutu	cigar
rokok	cigarette
kobal	cobalt
komunisme	communism
senyawa kimia	compound ; chemical compound
konferensi	conference
tembaga	copper
kejahatan	crime
teka-teki silang ; TTS	crossword
kristal	crystal
tuli	deaf
hukuman mati	death penalty ; capital punishment ; death sentence
Deflasi	deflation
demokrasi	democracy
kependudukan	demography
demam berdarah	dengue fever
dokter gigi	dentist
dermatologi	dermatology
dialek	dialect
kamus	dictionary
pencernaan	digestion
perceraian	divorce
buat ; melakukan	do
anjing	dog
boneka	doll
lumba-lumba	dolphin
sumbangan	donation
pintu	door
kering	dry
bebek	duck
bisu	dumb
disprosium	dysprosium
Bumi	earth ; Earth ; the world ; Blue Planet
siku	elbow
darurat	emergency
episenter	epicentre
epilepsi	epilepsy
persamaan	equation
khatulistiwa	equator
erbium	erbium
etika	ethics
europium	europium
fasisme	fascism
rijang	flint ; flintstone
fluor	fluorine
flute	flute
rantai makanan	food chain
fransium	francium
penuh	full
galium	gallium
gas	gas
jendral	general
genom	genome
germanium	germanium
kelenjar	gland
glikolisis ; glicolisi	glycolysis
emas	gold
gonorhea	gonorrhea
angsa	goose
cucu lelaki	grandson
guillotine	guillotine ; guillotine ; guillotine
hematologi	haematology
haiku	haiku
sapu tangan	handkerchief
helikopter	helicopter
helium	helium
heroin	heroin
historiografi	historiography
rumah	home ; home ; house
madu	honey
horison	horizon
hormon	hormone
kuda	horse
jam	hour
beri biru	huckleberry ; blueberry
wetterstof	hydrogen
gunung es	iceberg
ideologi	ideology
indium	indium
penyakit menular	infectious disease ; communicable diseases
inflasi	inflation
telapak atas	instep
alat musik	instrument ; musical instrument
yodium	iodine
iridium	iridium
besi	iron
jade	jade
jazz	jazz
jurnalisme	journalism
jurnalis	journalist
yudo	judo
karate	karate
kripton	krypton
lantanum	lanthanum
timbal	lead
kaki	leg
limau	lemon
lensa	lens
liberalisme	liberalism
perpustakaan	library
limnologi	limnology
litografi	lithography
jari kelingking	little finger ; pinkie
logika	logic
lutesium	lutetium
malaria	malaria
mangan	manganese
marsupial	marsupial
mayones	mayonnaise
pedagang	merchant
merkurius	mercury
metafisika	metaphysics
meteor ; meteor ; meteor ; meteor ; meteor	meteor ; meteor ; meteor ; meteor ; meteor ; shooting star ; falling star
meteorit	meteorite
mikrofon	microphone
mineralogi	mineralogy
rok mini	miniskirt ; mini-skirt
molibdenum	molybdenum
morfin	morphine
mesjid	mosque
beguk	mumps
museum	museum
misterius	mysterious
tetangga	neighbour ; vecino
neodimium	neodymium
neologisme	neologism
neon	neon
neptunium	neptunium
neurologi	neurology
nikel	nickel
niobium	niobium
nitrogen	nitrogen
tidak	no
kata benda	noun ; substantive
obesitas	obesity
halangangan	obstacle ; obstruction
oktaf	octave
bahasa resmi	official language
oligarhija ; oligarchia	oligarchy
oligopoli	oligopoly
onkologi	oncology
opera	opera
optik	optics
osmium	osmium
burung unta	ostrich
ovarium	ovary
tiram	oyster
dokter anak	paediatrician
paladium	palladium
palma	palm
pankreas	pancreas
buah pir	pear
pensil	pencil
semenanjung	peninsula
filologi	philology
filsafat	philosophy
phishing	phishing
telepon	phone ; telephone
fosfor	phosphorus
fisiologia	physiology
merpati	pigeon ; dove
tombak	pike ; spear
platina	platinum
plutonium ; plutonium ; plutonium	plutonium ; plutonium ; plutonium
beruang kutub	polar bear
polonium	polonium
polimer	polymer
kalium	potassium
kemiskinan	poverty
praseodimium	praseodymium
kehamilan	pregnancy
kata depan	preposition
bilangan prima	prime number ; prime
tahanan perang	prisoner of war ; POW ; PoW ; PW
prometium	promethium
prostat	prostate
pompa	pump
pirolisis	pyrolysis
kelinci	rabbit
radiologi	radiology
radium	radium
radon	radon
pelangi ; bianglala	rainbow
referendum	referendum ; plebiscite
koelkas	refrigerator ; fridge
renium	rhenium
rhodium	rhodium
nasi ; padi	rice
atap	roof ; roof ; roof
rubidium	rubidium
rubi	ruby
rutenium	ruthenium
rutherfordium	rutherfordium
sahara	sahara
samarium	samarium
skandium	scandium
seaborgium	seaborgium
rahasia	secret
selenium	selenium
jual ; menjual	sell
cápa	shark
domba	sheep
silikon	silicon
perak	silver
tengkorak	skull
menyembelih	slaughter
sosiolinguistik	sociolinguistics ; sociology of language
sphinx	sphinx
bintang	star
angin topan ; badai	storm ; tempest
stronsium	strontium
belerang	sulphur
supernova	supernova
pedang	sword
sinagoga	synagogue
sindrom	syndrome
sifilis	syphilis
berudu	tadpole ; polliwog
tantalum	tantalum
teh	tea
teknesium	technetium
telurium	tellurium
terminologi	terminology
testosteron	testosterone
talium	thallium
teokrasi	theocracy
teologi	theology
torium	thorium
ribu	thousand
ibu jari	thumb
zona waktu	timezone
timah	tin
titanium	titanium
bersama ; bareng	together
tomat	tomato
topologi	topology
torpedo	torpedo
terjemah	translate ; interpret
pohon	tree
trombon	trombone
celana	trousers
terompet	trumpet
tulip	tulip
tuna	tunafish
wolfram	tungsten
kalkun	turkey
kembar	twin
universitas ; universitas	university ; university ; academy
ununbium	ununbium
ununoktium	ununoctium
uranium	uranium
vanadium	vanadium
sayur mayur	vegetable
kata kerja	verb
cuka	vinegar
air	water
kursi roda	wheelchair
putih	white
kayu	wood
kata	word
perang dunia	world war
luka	wound
xenon	xenon
yak	yak
itrium	yttrium
zebra	zebra
nol	zero ; null
seng	zinc
zirkonium	zirconium
Åland	Åland Islands
