Lithuanian	English
Abidžanas	Abidjan
Abchazija	Abkhazia
Egėjo jūra	Aegean Sea
Albanië	Albania ; Republic of Albania
Alžyras	Algeria ; People's Democratic Republic of Algeria
Amerikos Samoa	American Samoa
Andora	Andorra ; Principality of Andorra
Angola	Angola ; Republic of Angola
Angilija	Anguilla
Antarktida	Antarctica
Antigva ir Barbuda	Antigua and Barbuda
Argentina	Argentina ; Argentine Republic
Arizona	Arizona
Armėnija	Armenia
Aruba	Aruba
rugpjūtis	August
Australija	Australia ; Commonwealth of Australia
Austrija	Austria ; Republic of Austria
Azerbaidžanas	Azerbaijan ; Republic of Azerbaijan
Bahreinas	Bahrain
Bangladešas	Bangladesh ; People's Republic of Bangladesh
Baltarusija	Belarus ; Republic of Belarus
baltarusiškai	Belarusan ; Belarusan ; Belarusian ; Belorussian ; Byelorussian
Belgija	Belgium ; Kingdom of Belgium
Belizas	Belize
Belmopanas	Belmopan
Bermudai	Bermuda
Butanas	Bhutan ; Kingdom of Bhutan
Birmingemas	Birmingham
Bolivija	Bolivia ; Republic of Bolivia
Borneo	Borneo ; Kalimantan
Botsvana	Botswana ; Republic of Botswana
Buvė	Bouvet Island
Brazilija	Brazil
Brunėjus	Brunei ; Negara Brunei Darussalam
Bulgarija	Bulgaria ; Republic of Bulgaria
Burundis	Burundi ; Republic of Burundi
Kambodža	Cambodia ; Kingdom of Cambodia
Kamerūnas	Cameroon ; Republic of Cameroon
Karibų jūra ; Antilų jūra	Caribbean Sea
katalonų	Catalan ; Catalan
Kaimanų salos	Cayman Islands
Čadas	Chad ; Republic of Chad
Šarantas	Charente
čihuahua	Chihuahua ; chihuahua
Čilė	Chile ; Republic of Chile
Kalėdų sala	Christmas Island
Ķelne	Cologne
Kolumbija	Colombia ; Republic of Colombia
Kosta Rika]	Costa Rica ; Republic of Costa Rica
Chorvatija	Croatia ; Republic of Croatia
Kuba	Cuba ; Republic of Cuba
Kipras	Cyprus ; Republic of Cyprus
Dakaras	Dakar
gruodis	December
Kongo Demokratinė Respublika	Democratic Republic of the Congo ; Congo-Kinshasa
Danija	Denmark ; Kingdom of Denmark
Dominikos Respublika	Dominican Republic
Europos Sąjunga	EU ; European Union
Rytų Timoras	East Timor ; Democratic Republic of Timor-Leste
Velykos	Easter
Ekvadoras	Ecuador ; Republic of Ecuador
Egiptas	Egypt ; Arab Republic of Egypt
Salvadoras	El Salvador ; Republic of El Salvador
Trys karaliai	Epiphany
Eritrėja	Eritrea
Estija	Estonia ; Republic of Estonia
Etiopija	Ethiopia ; Federal Democratic Republic of Ethiopia
Farerų salos	Faroe Islands
farerų	Faroese ; Faeroese
Fidžis	Fiji ; Republic of the Fiji Islands
Suomija	Finland ; Republic of Finland
suomių ; suomių kalba	Finnish
Flandrija	Flanders ; Flemish region
Prancūzija	France
prancūzų kalba ; prancūzų	French ; French
Prancūzų Gviana	French Guiana
Prancūzijos Polinezija	French Polynesia
Gabonas	Gabon ; Gabonese Republic
Gaboronas	Gaborone
Gambija	Gambia ; Gambia ; Gambia ; Gambia ; The Gambia ; Republic of The Gambia
Gruzija	Georgia
Džordžija	Georgia
Vokietija	Germany ; Federal Republic of Germany
Gana ; Ghana	Ghana ; Republic of Ghana
Gibraltaras	Gibraltar
Graikija	Greece ; Hellenic Republic
Grenlandija	Greenland
Grenada	Grenada
Gvadelupa	Guadeloupe
Guamas	Guam ; Guam ; Guam
Gvatemala	Guatemala ; Republic of Guatemala
Haitis	Haiti ; Republic of Haiti
linksmų Naujųjų Metų	Happy New Year
hindi	Hindi ; Hindi
Nyderlandai	Holland ; Kingdom of the Netherlands ; The Netherlands
Hondūras	Honduras ; Republic of Honduras
Vengrija	Hungary ; Republic of Hungary
Islandija	Iceland ; Republic of Iceland
Iliada	Iliad
Indija	India ; Republic of India
Indonezija	Indonesia ; Republic of Indonesia
Endras	Indre
Iranas	Iran ; Islamic Republic of Iran
Irakas	Iraq ; Republic of Iraq
Izraelis	Israel ; State of Israel
Dramblio Kaulo Krantas	Ivory Coast ; Cote d'Ivoire ; Republic of Cote d'Ivoire
Džakarta	Jakarta ; Djakarta ; DKI Jakarta
Jamaika	Jamaica
sausis	January
Japonija	Japan ; State of Japan
javiečių	Javanese
Jordanija	Jordan ; Hashemite Kingdom of Jordan
birželis	June
Jupiteris	Jupiter
karelų ; kareliškai	Karelian
Kazachija	Kazakhstan ; Republic of Kazakhstan
Kenia	Kenya ; Republic of Kenya
Chartumas	Khartoum
Kiribatis	Kiribati ; Republic of Kiribati
Krokuva	Krakow ; Cracow
Kirgizija	Kyrgyzstan ; Kyrgyz Republic
Lagosas	Lagos
Laosas	Laos ; Lao People's Democratic Republic
lotynų	Latin ; Latin
Latvija	Latvia ; Republic of Latvia
latvių	Latvian ; Latvian
Lozana	Lausanne
Libanas	Lebanon ; Lebanese Republic
Sankt Peterburgas	Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg
Lesotas	Lesotho ; Kingdom of Lesotho
Liberija	Liberia ; Republic of Liberia
Libija	Libya ; Great Socialist People's Libyan Arab Jamahiriya
Lisabona	Lisbon
Lietuva ; Lietuvos Respublika	Lithuania ; Republic of Lithuania
lietuvių	Lithuanian ; Lithuanian
Žemutinė Saksonija	Lower Saxony
Makedonija	Macedonia ; Republic of Macedonia
Malavis	Malawi ; Republic of Malaŵi
Malaizija	Malaysia
Malis	Mali ; Republic of Mali
marati	Marathi ; Marāthi ; Marāthi ; MarÄthi
Markovo grandinė	Markov chain ; Markoff chain
Martinika	Martinique
Masačusetsas	Massachusetts
Mauritanija	Mauritania ; Islamic Republic of Mauritania
Mayotte'as	Mayotte
Meka	Mecca
Milanas	Milan
Paukščių Takas	Milky Way ; Galaxy
Monakas	Monaco
Juodkalnija	Montenegro
Montseratas	Montserrat
Marokas	Morocco ; Kingdom of Morocco
Mozambikas	Mozambique
Mianmaras	Myanmar
Nairobis	Nairobi
Namibija	Namibia
Neptūnas	Neptune
Naujoji Kaledonija	New Caledonia
Niujorkas	New York
Naujoji Zelandija	New Zealand
Nikaragva	Nicaragua
Nigerija	Nigeria
Niuė	Niue
Norvegija	Norway ; Kingdom of Norway
Oklahoma	Oklahoma
