Romanian	English
nou	9 ; nine
Abidjan	Abidjan
Abhazia	Abkhazia
Abraham Lincoln	Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln
Adelaide	Adelaide
Marea Adriatică	Adriatic Sea
Marea Egee	Aegean Sea
afrikaans	Afrikaans
Albania	Albania ; Republic of Albania
Algeria	Algeria ; People's Democratic Republic of Algeria
Alpi	Alps
Samoa americană	American Samoa
Andorra	Andorra ; Principality of Andorra
Angola	Angola ; Republic of Angola
Anguilla	Anguilla
Antigua şi Barbuda ; Антигва и Барбуда	Antigua and Barbuda
aprilie	April
Pasărea Paradisului	Apus
Vărsătorul	Aquarius
Vulturul	Aquila
arabă	Arabic ; Standard Arabic
Argentina	Argentina ; Argentine Republic
Berbecul	Aries
Arizona	Arizona
Armenia	Armenia
armeană	Armenian
Aruba	Aruba
Asteraceae	Asteraceae ; sunflower family ; Compositae ; daisy family ; aster family
august	August
Australia	Australia ; Commonwealth of Australia
Austria	Austria ; Republic of Austria
Azerbaigean	Azerbaijan ; Republic of Azerbaijan
Azore	Azores
Bahrain	Bahrain
Insulele Baleare	Balearic Islands
Bangladeş	Bangladesh ; People's Republic of Bangladesh
bielorusă ; bielorusă ; bielorusă ; bielorusă ; bielorusă	Belarusan ; Belarusan ; Belarusian ; Belorussian ; Byelorussian
Belgia	Belgium ; Kingdom of Belgium
Belize	Belize
Bengaleză	Bengali ; Bengali
Bermuda	Bermuda
Buthan	Bhutan ; Kingdom of Bhutan
Biblia	Bible
Birmingham	Birmingham
Bokmål	Bokmål
Bolivia	Bolivia ; Republic of Bolivia
Borneo	Borneo ; Kalimantan
Bosnia şi Herţegovina	Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina
Botswana	Botswana ; Republic of Botswana
Burgogne	Bourgogne
Boarul	Boötes
Brazilia	Brazil
bretonă	Breton ; Breton
Teritoriul Britanic din Oceanul Indian	British Indian Ocean Territory ; BIOT
Bucureşti	Bucharest
Bulgaria	Bulgaria ; Republic of Bulgaria
bulgar	Bulgarian
bulgară	Bulgarian ; Bulgarian
Burundi	Burundi ; Republic of Burundi
Cairo	Cairo
Cambodgia	Cambodia ; Kingdom of Cambodia
Camerun	Cameroon ; Republic of Cameroon
Canada	Canada
Racul	Cancer
Câinii de Vânătoare	Canes Venatici
Câinele Mare	Canis Major
Câinele Mic ; Малый Пёс	Canis Minor
Capricornul	Capricorn
Cassiopeia	Cassiopeia
catalană	Catalan ; Catalan
Insulele Cayman	Cayman Islands
Charente	Charente
cecenă	Chechen ; Chechen
Chile	Chile ; Republic of Chile
Crăciun ; Naşterea Domnului	Christmas
Insula Christmas	Christmas Island
pom de Crăciun	Christmas tree
Columbia	Colombia ; Republic of Colombia
Insulele Cook	Cook Islands
Corfu	Corfu
croată	Croatian ; Croation
Cuba	Cuba ; Republic of Cuba
Cipru	Cyprus ; Republic of Cyprus
cehă	Czech ; Czech
Cehia	Czech Republic ; Czechia
Daghestan	Dagestan
Dakar	Dakar
daneză	Danish
decembrie	December
definiţie	Definition ; definition
olandeză	Dutch
Uniunea Europeană	EU ; European Union
Timorul de Est	East Timor ; Democratic Republic of Timor-Leste
Paşti	Easter
Egipt	Egypt ; Arab Republic of Egypt
El Salvador	El Salvador ; Republic of El Salvador
Anglia	England
Eritrea	Eritrea
Estonia	Estonia ; Republic of Estonia
estonă	Estonian
Etiopia	Ethiopia ; Federal Democratic Republic of Ethiopia
Insulele Falkland ; Insulele Malvine	Falkland Islands
Insulele Feroe	Faroe Islands
feroeză ; faroeză	Faroese ; Faeroese
Finlanda	Finland ; Republic of Finland
finlandeză	Finnish
Flandra	Flanders ; Flemish region
flamandă	Flemish
Flevoland	Flevoland
franceză	French ; French
Guyana Franceză	French Guiana
Polinezia franceză	French Polynesia
Teritoriile australe şi antarctice franceze	French Southern Territories ; French Southern and Antarctic LandsA ; French Southern and Antarctic Lands ; Territory of the French Southern and Antarctic Lands
frantuzesc	Frenchman
vineri	Friday
Gabon	Gabon ; Gabonese Republic
Gaborone	Gaborone
galiciană	Galician ; Galician
Gambia	Gambia ; Gambia ; Gambia ; Gambia ; The Gambia ; Republic of The Gambia
Georgia	Georgia
georgiano ; gruzină	Georgian ; Georgian
Germania	Germany ; Federal Republic of Germany
Ghana	Ghana ; Republic of Ghana
Marea Britanie	Great Britain ; Britain
Grecia	Greece ; Hellenic Republic
greacă	Greek ; Greek
Groenlanda	Greenland
Grenada	Grenada
Guadelupa	Guadeloupe
Guam	Guam ; Guam ; Guam
gujarati	Gujarati ; Gujarati
Haiti	Haiti ; Republic of Haiti
Hanuka	Hannukah
un an nou fericit	Happy New Year
Hercule	Hercules
Heracles ; Hercules	Hercules
hindusă	Hindi ; Hindi
Ţările de Jos	Holland ; Kingdom of the Netherlands ; The Netherlands
Honduras	Honduras ; Republic of Honduras
ungară	Hungarian
Ungaria	Hungary ; Republic of Hungary
eu	I
Islanda	Iceland ; Republic of Iceland
islandeză	Icelandic
Iliada	Iliad
India	India ; Republic of India
Indonezia	Indonesia ; Republic of Indonesia
indoneziană	Indonesian
Indre	Indre
Iran	Iran ; Islamic Republic of Iran
Irak	Iraq ; Republic of Iraq
Irlanda	Ireland ; Republic of Ireland
irlandeză	Irish ; Irish ; Irish Gaelic ; Irish
islam	Islam
Israel	Israel ; State of Israel
italiană	Italian ; Italian
Italia	Italian Republic ; Italy
Coasta de Fildeş	Ivory Coast ; Cote d'Ivoire ; Republic of Cote d'Ivoire
Jakarta	Jakarta ; Djakarta ; DKI Jakarta
Jamaica	Jamaica
ianuarie	January
Japonia	Japan ; State of Japan
japoneză	Japanese ; Japanese
Iordania	Jordan ; Hashemite Kingdom of Jordan
iudaism	Judaism
czerwiec	June
kannada	Kannada ; Kannada
cazacă	Kazakh ; Kazakh
Kazahstan	Kazakhstan ; Republic of Kazakhstan
Kenya	Kenya ; Republic of Kenya
khmeră	Khmer ; Central Khmer
Kiribati	Kiribati ; Republic of Kiribati
coreană	Korean ; Korean
Kirgiżistan	Kyrgyzstan ; Kyrgyz Republic
Lagos	Lagos
Laos	Laos ; Lao People's Democratic Republic
latină	Latin ; Latin
Letonia	Latvia ; Republic of Latvia
Lausanne	Lausanne
Sankt Petersburg	Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg
Leul	Leo
Lesotho	Lesotho ; Kingdom of Lesotho
Liberia	Liberia ; Republic of Liberia
Libia	Libya ; Great Socialist People's Libyan Arab Jamahiriya
lituaniană	Lithuanian ; Lithuanian
Saxonia Inferioară	Lower Saxony
Lyon	Lyon
macedoneană	Macedonian ; Macedonian
Madagascar	Madagascar ; Republic of Madagascar
Malawi	Malawi ; Republic of Malaŵi
Malta	Malta ; Republic of Malta
Martinica	Martinique
Mauritania	Mauritania ; Islamic Republic of Mauritania
Mayotte	Mayotte
Calea Lactee	Milky Way ; Galaxy
Milwaukee	Milwaukee
Moldova	Moldova
Monaco	Monaco
luni	Monday
Montserrat	Montserrat
Maroc	Morocco ; Kingdom of Morocco
Fuji	Mount Fuji
Myanmar	Myanmar
Nairobi	Nairobi
Namibia	Namibia
nepaleză	Nepali ; Nepali
Neptun	Neptune
Noua Caledonie	New Caledonia
New York	New York
Noua Zeelandă	New Zealand
Nicaragua	Nicaragua
Niger	Niger
Niue	Niue
Irlanda de Nord	Northern Ireland
Norvegia	Norway ; Kingdom of Norway
Nuuk	Nuuk
Orléans	Orleans
Pakistan	Pakistan ; Islamic Republic of Pakistan
Panama	Panama
Papua-Noua Guinee	Papua New Guinea
China	People's Republic of China ; China
Peru	Peru ; Republic of Peru
Philadelphia	Philadelphia
Polonia	Poland
poloneză	Polish ; Polish
Portugalia	Portugal
portugheză	Portuguese ; Portuguese
Porto Rico	Puerto Rico
Pirinei	Pyrenees
victorie pirică	Pyrrhic victory
Qatar	Qatar
România	Romania
română ; româneşte	Romanian ; Romanaian
rusă	Russian ; Russian
Săgetătorul	Sagittarius
Saint Pierre şi Miquelon	Saint-Pierre and Miquelon
sâmbătă	Saturday
Arabia Saudită	Saudi Arabia ; Kingdom of Saudi Arabia
Scorpionul	Scorpio
Scoţia	Scotland
Senegal	Senegal
Serbia	Serbia
Serbia şi Muntenegru	Serbia and Montenegro
slovacă	Slovak ; Slovak
Slovacia	Slovakia
slovena ; slovenă	Slovene ; Slovenian ; Slovenian
somaleză	Somali ; somali
Africa de Sud	South Africa
Spania	Spain
Sri Lanca	Sri Lanka
Sudan	Sudan
duminică	Sunday
svahili	Swahili
Suedia	Sweden
suedeză	Swedish
Elveţia	Switzerland
Taiwan	Taiwan
Tanzania	Tanzania
tătară	Tatar ; Tatar
Taurul	Taurus
Tennessee	Tennessee
tailandeză	Thai ; Thai
Thailanda	Thailand
Turingia	Thuringia
joi	Thursday
Togo	Togo
Tonga	Tonga
Toronto	Toronto
marţi	Tuesday
Turcia	Turkey
Uganda	Uganda ; Republic of Uganda
ucraineană	Ukrainian ; Ukrainian
Regatul Unit al Marii Britanii şi Irlandei de Nord ; Regatul Unit	United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK
Statele Unite ale Americii	United States ; United States of America ; America ; US ; U.S. ; U.S.A. ; U.S. of A. ; States
Vaduz	Vaduz
Vatican	Vatican City ; The Holy See ; State of the Vatican City
Venezuela	Venezuela
Veneţia	Venice
Volga	Volga
Ţara Galilor	Wales
Wallis şi Futuna	Wallis and Futuna ; Territory of the Wallis and Futuna Islands
valonă	Walloon ; Walloon
miercuri	Wednesday ; quarta-feira
galeză	Welsh ; Welsh
Wikipedia	Wikipedia
Vicţionar	Wiktionary
Wyoming	Wyoming
Zambia	Zambia ; Republic of Zambia
zulu	Zulu
surprins	aback
abac	abacus
umilire	abasement
prescurtare	abbreviation
aboliþionist	abolitionist
ratat	abortive
abraziv	abrasive
a prescurta	abridge
categoric	absolutely
accident	accident
harmonika	accordion ; squeeze box ; piano accordion
contabilitate	accountancy
acnee	acne
achiziþie	acquisition
în­ţe­­pător	acrid
actiniu	actinium
aduna	add
adunare	addition
pa	adieu ; bye ; cheerio ; farewell ; good day ; goodbye
aven­tură	adventure
aerobiologie	aerobiology
agresiv	aggressive
agre­sor	aggressor ; assailant ; attacker ; assaulter
agorafobie	agoraphobia ; agoraphobia ; agoraphobia ; agoraphobia
poştă aeriană	airmail
alchimist	alchemist
alcoolism	alcoholism
alibi	alibi
alegorie	allegory
migdală	almond
aproape	almost
cu	alongside ; amongst ; with
aluminiu	aluminium
ambasador	ambassador
americiu	americium
ametist	amethyst
amfetamină	amphetamine
amfiteatru	amphitheatre
anarhism	anarchism
anarhie	anarchy
ancoră	anchor
anason	anise
gleznă	ankle ; talocrural joint
furnică	ant
antropologie	anthropology
stibiu	antimony
antiparticulă	antiparticle
antiteză	antithesis
întotdeauna	anytime
aforism	aphorism
apostol	apostle
măr	apple
recunoscător	appreciate
caisă	apricot
şorţ	apron
aquamarin	aquamarine
arheologic	archaeological
ar­hiepiscop	archbishop
arhitect	architect
arhitectura	architecture
argon	argon
ceartă	argument
aristocraţie	aristocracy
braţ	arm
arsenal	armoury
subsuoară	armpit
vârf de săgeată	arrowhead
arsen	arsenic
incendiere preme­ditată	arson
incendiator	arsonist
viclean	artful
artrită	arthritis
anghinare	artichoke
ascendent	ascendancy
ascensiune	ascent
urcuş	ascent
ascet	ascetic
ruşi­nat (de)	ashamed
pământiu	ashen
pe uscat	ashore
scrumieră	ashtray
adormit	asleep
asfalt	asphalt
as­pi­raţie	aspiration
asa­­­sin	assassin ; assassinator
a convoca	assemble ; get together ; gather
a se declara de acord	assent
a sus­ţine	assert
sigur pe sine	assertive
a desemna	assign
sarcină	assignment
a asimila	assimilate
a ajuta	assist
asortat	assorted
suposição	assumption ; supposition
astatiniu	astatine
asterisc	asterisk
asteroid	asteroid
astmã	asthma
a uimi	astonish
uluitor	astonishing
uimire	astonishment
a şoca	astound
şocant	astounding
călare	astride
cu picioarele desfăcute	astride
astrologie	astrology ; star divination
astrometrie	astrometry
astrofizică	astrophysics
ateu	atheist
masa atomică	atomic mass
atrăgător	atractive
atrocitate	atrocity
ataşat	attached
ataşament	attachment
accesoriu	attachment
a îngriji	attend
a frecventa	attend
a ur­mări	attend
a se ocupa de	attend
supraveghetor	attendant
atent	attentive
mansardă	attic
haine	attire
postură	attitude
a atrage	attract
îndrăzneţ	audacious
a creşte	augment
de bun augur	auspicious
auto­ritar	authoritarian
profesiune de scriitor	authorship
autocraţie	autocracy
autopsie	autopsy
dis­ponibil	available
a preveni	avert
a întoarce	avert
colivie	aviary
avid	avid
veneraţie	awe
un moment	awhile
bacon	bacon
fura	bag ; pocket ; steal
brutar	baker
brutărie	baker ; bakery
praf de copt	baking powder
baladă	ballad
alegere	ballot
sală de bal	ballroom
banană	banana
bariu	barium
orz	barley
baron	baron
subsol	basement
castor	beaver
pat	bed
stupină ; stup	beehive
bere	beer
buric	belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus
berkeliu	berkelium
beriliu	beryllium ; glucinium
mai bun	better
bautura	beverage ; drink
bicicletă	bicycle ; bike ; cycle
biochimie	biochemistry
biom	biome
nastere	birth ; birth ; birth ; childbirth ; childbirth ; childbirth ; parturition
episcop	bishop
bismut	bismuth
fierar ; kovač	blacksmith
orb	blind
weblog	blog ; weblog ; web log
albastru	blue
barcă	boat
bohriu	bohrium
bonsai	bonsai
bor	boron
graniţă ; hotar	boundary
arc	bow
pâine	bread
micul dejun	breakfast
brom	bromine
taur	bull
măcelar	butcher
cadmiu	cadmium
cesiu	caesium
calciu	calcium
californiu	californium
camuflaj	camouflage
capitalã	capital
carbon	carbon
cardinal	cardinal
covor	carpet
castel	castle
conopidă	cauliflower
celibat	celibacy
ceriu	cerium
mersi	cheers ; thank you ; thanks
element	chemical element ; element
farmacie	chemist's ; chemist's shop ; pharmacy
șah ; šah	chess
cămin ; şemineu	chimney
veveriţă cu fălci	chipmunk
clor	chlorine
colesterol	cholesterol
crom	chromium
cromozom	chromosome
ţigară	cigarette
nor	cloud
cobalt	cobalt
gândac	cockroach
cafeă	coffee
cometă	comet
comunism	communism
prezervativ	condom ; prophylactic ; rubber ; safe ; safety
conferinta	conference
consideraţie	consideration
constelaţie	constellation
constituţie	constitution
cupru	copper
vacă	cow
creativitate	creativity ; inventiveness
cuvinte încrucişate	crossword
castravete	cucumber
curiu	curium
darmstadtiu	darmstadtium
a orbi	dazzle
pedeapsa cu moartea ; pedeapsa capitală	death penalty ; capital punishment ; death sentence
acuzat	defendant ; accused
democraţie	democracy
demografie	demography
dentist	dentist
