Slovenian	English
devet ; devet	9 ; nine
AIDS	AIDS
vrednost adsorbljivih organskih halogenov ; vrednost AOX	AOX value
ASEAN ; Zveza držav Jugovzhodne Azije	ASEAN ; Association of Southeast Asian Nations
Egejsko morje	Aegean Sea
Afganistan	Afghanistan ; Transitional Islamic State of Afghanistan
Afrika	Africa
Afrikaans ; Afrikanščina	Afrikaans
Albanija	Albania ; Republic of Albania
Ljudska demokratična republika Alžirija ; Alžirija	Algeria ; People's Democratic Republic of Algeria
Ameriška Samoa	American Samoa
Severna, Srednja in Južna Amerika	Americas
Amesov preskus	Ames test
Amsterdam	Amsterdam
Andora	Andorra ; Principality of Andorra
Angola	Angola ; Republic of Angola
Angvila	Anguilla
Južni ocean	Antarctic Ocean ; Southern Ocean
antarktični ekosistem	Antarctic ecosystem
Antarktika	Antarctica
Antigva in Barbuda	Antigua and Barbuda
apríl	April
Severno ledeno morje	Arctic Ocean
arktični ekosistem	Arctic ecosystem
Argentina	Argentina ; Argentine Republic
Arizona	Arizona
Armenija	Armenia
členjenost	Articulata
Aruba	Aruba
Azija	Asia
Atene	Athens
avgúst	August
Avstralija	Australia ; Commonwealth of Australia
Avstrija	Austria ; Republic of Austria
Avstro-Ogrska	Austria-Hungary ; Austro-Hungarian Empire
Azerbajdžan	Azerbaijan ; Republic of Azerbaijan
elektronska oglasna deska	BBS ; bulletin board system
Bahami	Bahamas ; Commonwealth of the Bahamas ; Bahama Islands
Bahrajn	Bahrain
Bangladeš	Bangladesh ; People's Republic of Bangladesh
baskovščina	Basque ; Basque
Peking	Beijing
Belorusija	Belarus ; Republic of Belarus
beloruščina ; beloruščina ; beloruščina ; beloruščina ; beloruščina	Belarusan ; Belarusan ; Belarusian ; Belorussian ; Byelorussian
Belgija	Belgium ; Kingdom of Belgium
Beograd	Belgrade
Belize	Belize
bengalščina	Bengali ; Bengali
Berlin	Berlin
Bermuda	Bermuda
Bern	Berne
Butan	Bhutan ; Kingdom of Bhutan
Črno morje	Black Sea
Bolivija	Bolivia ; Republic of Bolivia
Bonn	Bonn
Bosna in Hercegovina	Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina
bosanščina	Bosnian ; Bosnian
Bocvana	Botswana ; Republic of Botswana
Brazilija	Brazil
bretonščina	Breton ; Breton
Brunej	Brunei ; Negara Brunei Darussalam
Bruselj	Brussels
Bolgarija	Bulgaria ; Republic of Bulgaria
Bolgar	Bulgarian
bolgarščina	Bulgarian ; Bulgarian
Burundi	Burundi ; Republic of Burundi
zgoščenka	CD-ROM
storitev iskanja na zgoščenkah	CD-ROM search service
CFC ; klorofluoroogljikovodik	CFC ; chlorofluorocarbon
prepoved uporabe CFC in halonov	CFC and halons prohibition
Kambodža	Cambodia ; Kingdom of Cambodia
Kamerun	Cameroon ; Republic of Cameroon
Kanada	Canada
Kapverdski otoki	Cape Verde ; Republic of Cape Verde
karibsko območje	Caribbean Area ; Caribbean
Karibsko morje	Caribbean Sea
Kaspijsko morje	Caspian Sea
katalonščina	Catalan ; Catalan
Kajmanski otoki	Cayman Islands
Osrednja Afrika	Central Africa
Srednja Amerika	Central America
Osrednja Azija	Central Asia
Čad	Chad ; Republic of Chad
čivava	Chihuahua ; chihuahua
Čile	Chile ; Republic of Chile
Božič	Christmas
božično drevo	Christmas tree
Kolumbija	Colombia ; Republic of Colombia
akt Skupnosti	Community act
proračun EU	Community budget
denarna sredstva Evropske unije	Community finance
zakonodaja Skupnosti	Community law
pravni sistem Skupnosti	Community legal system
odločitev Skupnosti	Community ruling
Komori	Comoros ; Union of the Comoros
Kobenhaven	Copenhagen
Sodišče Evropskih skupnosti, Evropsko sodišče	Court of Justice of the European Communities
Hrvaška	Croatia ; Republic of Croatia
hrvaščina	Croatian ; Croation
Kuba	Cuba ; Republic of Cuba
Ciper	Cyprus ; Republic of Cyprus
češčina	Czech ; Czech
Češka	Czech Republic ; Czechia
DDT ; dikloro-difenil-trikloretan	DDT ; dichloro-diphenyl-trichloroethane
DNK	DNA ; deoxyribonucleic acid
december	December
:Demokratična republika Kongo ; Demokratična republika Kongo	Democratic Republic of the Congo ; Congo-Kinshasa
Danska	Denmark ; Kingdom of Denmark
Downov sindrom	Down syndrome ; Down’s syndrome
nizozemščina	Dutch
Svet ministrov Evropske unije	EC Council of Ministers
Pogodba o Evropski skupnosti	EC Treaty
smernica/direktiva EU	EC directive
smernica/direktiva EU o biocidih	EC directive on biocides
smernica/direktiva EU o odlaganju odpadkov	EC directive on waste disposal
smernica/direktiva EU o varstvu vode	EC directive on water protection
ekološka oznaka EU	EC ecolabel
politika EU	EC policy
predpis EU	EC regulation
