Walloon	English
Aldjereye	Algeria ; People's Democratic Republic of Algeria
Antartike	Antarctica
Årmenyin	Armenian
compôzêyes ; Stoelacêyes	Asteraceae ; sunflower family ; Compositae ; daisy family ; aster family
awousse	August
Bulgåreye	Bulgaria ; Republic of Bulgaria
El Caire	Cairo
Tchad	Chad ; Republic of Chad
Tchetchene	Chechen ; Chechen
Cornike	Cornish
Tcheke	Czech ; Czech
Union Uropeyinne	EU ; European Union
Påke	Easter
Faerowès	Faroese ; Faeroese
Finlande	Finland ; Republic of Finland
Finwès	Finnish
France	France
Galicyin	Galician ; Galician
Djibraltar	Gibraltar
alfabet grek	Greek alphabet
Goudjarati	Gujarati ; Gujarati
bone annèye	Happy New Year
Bas Payis	Holland ; Kingdom of the Netherlands ; The Netherlands
Inde	India ; Republic of India
Itåleye	Italian Republic ; Italy
djanvî	January
djun	June
Carelyin	Karelian
Xhmer	Khmer ; Central Khmer
Sint Petersbork	Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg
Litwaneye	Lithuania ; Republic of Lithuania
lussimbordjwès	Luxembourgish ; Luxemburgish ; Luxembourgian
Malayalam	Malayalam ; Malayalam
Male	Malta ; Republic of Malta
Maltès	Maltese
Mawori	Maori
Moritanreye	Mauritania ; Islamic Republic of Mauritania
Marok	Morocco ; Kingdom of Morocco
Nouve Zelande	New Zealand
Norvedje	Norway ; Kingdom of Norway
Polonès	Polish ; Polish
Senegal	Senegal
Somalyin	Somali ; somali
Tadjik	Tajik
Tatår	Tatar ; Tatar
Telougou	Telugu ; Telugu
Turk	Turkish ; Turkish
Vietnamyin	Vietnamese ; Vietnamese
walon	Walloon ; Walloon
Walès	Welsh ; Welsh
racoûtî	abbreviation
furmi	ant
peme	apple
astronomeye	astronomy
håsse	auction
oidje	barley
bwèsson	beverage ; drink
caligrafeye	calligraphy
carbone	carbon
aréncrén	cobweb
tchén	dog
franciom	francium
grangrin	gangrene
norèt	handkerchief
èspwêr	hope
idrodjinne	hydrogen
gripe	influenza ; flu
rivowe	journal ; mag ; magazine ; periodical
litiom	lithium
laecea	milk
muzike	music
noûmot	neologism
fornourixhaedje	obesity
aroke	obstacle ; obstruction
lingaedje oficire	official language
ognon	onion
optimisme	optimism ; optimism ; optimism ; optimism ; optimism ; optimism ; optimism
ortografeye	orthography
pètichon	petition
telefone	phone ; telephone
potassiom	potassium
riz	rice
rubidiom	rubidium
pantoufe	slipper
sociolinwince	sociolinguistics ; sociology of language
sodiom	sodium
istwêre	story
terrorisse	terrorism
trin	train
traduk'sion	translation
voyale	vowel
wesse	wasp
aiwe	water
aréncrén	web ; spider web
balinne	whale
macrea	wizard ; sorcerer ; magician
zonôze	zoonosis
