Xhosa	English
ipasika	Easter
iJamani	Germany ; Federal Republic of Germany
Ithali	Italian Republic ; Italy
Mzantsi Afrika	South Africa
isiXhosa	Xhosa
ngenene	absolutely
inzuzo	acquisition
ufunzeweni	activist
iambulansi	ambulance
isikhumbuzo	anniversary
imbovane	ant
umpostile	apostle
uhoha	armistice
ukufika	arrival
iarseniki	arsenic
umthambo	artery
umbefu	asthma
cacileyo	axiom
imfene	baboon
unyulo	ballot
ibharometa	barometer
inyongo	bile
iblhakfesi	breakfast
umsebenzi	career
isahluko	chapter
luphawu	characteristic
ngena	come
unomgca	comet
unyobo	corruption
inkomo	cow
isithulu	deaf
ityala	debit
ummangalelwa	defendant ; accused
urhudo	diarrhea
umzakuzi	diplomat
ukunciphisa ; unciphiso	discount
ihlengesi	dolphin
sisimumu	dumb
ukuzama ; inzame	effort ; exertion
ukuphuma	ejaculation
umrhwebi	entrepreneur
isinxaxhi	exception
asemzini	foreign
inkululeko	freedom ; liberty
iqhiya	handkerchief
umkhuhlane	influenza ; flu
posi	post office
indebe	trophy
amanzi	water
indlu yesigcawu	web ; spider web
