Zulu	English
iButswana	Botswana ; Republic of Botswana
Gibhithe	Egypt ; Arab Republic of Egypt
iGirisi	Greece ; Hellenic Republic
isiRashiya	Russian ; Russian
Ningizimu Afrika	South Africa
isiSwidishi	Swedish
isiXhosa	Xhosa
isiZulu	Zulu
ngempela	absolutely
ukuzuza	acquisition
umkhuthazi	activist
inxusa	ambassador
i-ambulanse	ambulance
intuthwane	ant
inymazane	antelope
umuntu oyisazi	anthropologist
ukungabinanhliziyo	apathy
umphostoli	apostle
isibhaxelo	apron
ukufika	arrival
aseniki	arsenic
ukuzithathela	assumption ; supposition
umbefu	asthma
hahelayo	avaricious
yebo	aye ; yeah ; yep ; yes
imfene	baboon
ulukhetho	ballot
ukushona	bankruptcy
bhalomitha	barometer
nxambili	bilateral
inyongo	bile
iliphethelo	boundary
indlakusasa	breakfast
koloni	colony
ungwaqa	consonant
gogobeza	cow
ummangalelwa	defendant ; accused
nciphisa	discount
umphungo	disinfectant
isigabavu	effort ; exertion
indlovu	elephant
ingozi	emergency
anamhlanje	ephemeral
isilinganiso	estimate
okungekho	exception
ilishiya	eyebrow
ubulula ; ukonwaba	facility
ngekwakhona	foreign
indulu	fossil
ukwaphula	fracture
inkululeko	freedom ; liberty
igaraji]	garage
ihansi	goose
igorila	gorilla
umhedeni	heathen ; infidel ; pagan
indlu	home ; home ; house
lihayidrojeni	hydrogen
ukuzimela	independence
imfuluyeza	influenza ; flu
ububele ; umunyu	pity ; compassion
solufa	sulphur
inkomishi	trophy
amanzi	water
idube	zebra
