Basque	English
১	1
১০	10
১০০	100
Category:১০০	100
১০০০	1000
Category:১০০০	1000
১০১	101
১০৫	105
১১	11
১১০	110
১১৫	115
১২	12
Category:১২	12
১২০	120
১২৫	125
১৩	13
১৩০	130
১৩৫	135
১৪	14
Category:১৪	14
১৪০	140
১৪৪	144
১৪৫	145
১৫	15
১৫০	150
১৫৫	155
১৬	16
Category:১৬	16
১৬০	160
১৬৫	165
১৭	17
Category:১৭	17
১৭০	170
১৭২৮	1728
Category:১৭২৮	1728
১৭৫	175
১৮	18
১৮০	180
১৯	19
১৯০	190
২	2
২০	20
২০০	200
২১	21
২২	22
২৩	23
২৪	24
২৫	25
২৬	26
২৭	27
২৮	28
২৯	29
৩	3
৩০	30
৩০০	300
৩১	31
৩২	32
৩৩	33
৩৪	34
৩৫	35
৩৬	36
৩৭	37
৩৮	38
৩৯	39
৪	4
৪০	40
৪০০	400
৪১	41
৪২	42
৪৩	43
৪৪	44
৪৫	45
৪৬	46
৪৭	47
৪৮	48
৪৯	49
৫	5
৫০	50
৫০০	500
Category:৫০০	500
৫১	51
৫২	52
৫৩	53
৫৪	54
৫৫	55
৫৬	56
৫৭	57
৫৮	58
৫৯	59
৬	6
৬০	60
৬১	61
৬২	62
৬৩	63
৬৪	64
৬৫	65
৬৬	66
৬৭	67
৬৮	68
৬৯	69
৭	7
৭০	70
৭১	71
৭২	72
৭৩	73
৭৪	74
৭৫	75
৭৬	76
৭৭	77
৭৮	78
৭৯	79
৮	8
৮০	80
৮১	81
৮২	82
৮৩	83
৮৪	84
৮৫	85
৮৬	86
৮৭	87
৮৮	88
৮৯	89
৯	9
৯০	90
৯১	91
৯২	92
৯৩	93
৯৪	94
৯৫	95
৯৬	96
৯৭	97
৯৮	98
৯৯	99
এইডস	AIDS
অ্যালগল ৬০	ALGOL
আর্ডভার্ক	Aardvark
অ্যাবাকাস	Abacus
আবেলীয় গ্রুপ	Abelian group
আবখাজিয়া	Abkhazia
গর্ভপাত	Abortion
আব্রাহাম লিংকন	Abraham Lincoln
একাডেমি পুরস্কার	Academy Award
ত্বরণ	Acceleration
অ্যাকিলিস	Achilles
অম্ল	Acid
একর	Acre
অ্যাক্টিনিয়াম	Actinium
অভিনেতা	Actor
আকুপাংচার	Acupuncture
অ্যাডা	Ada (programming language)
অ্যাডাম স্মিথ	Adam Smith
আডল্‌ফ হিটলার	Adolf Hitler
অ্যাড্রিনাল গ্রন্থি	Adrenal gland
বিজ্ঞাপন	Advertising
ঈনীড	Aeneid
ইস্কিলুস	Aeschylus
আফগানিস্তান	Afghanistan
আফ্রিকা	Africa
আফ্রিকান্স ভাষা	Afrikaans
আগার	Agar
আগাথা ক্রিস্টি	Agatha Christie
অজ্ঞেয়বাদ	Agnosticism
আগোরা	Agora
এজ্যাক্স (ওয়েব প্রোগ্রামিং কৌশল)	Ajax (programming)
আকিরা কুরোসাওয়া	Akira Kurosawa
আল গোর	Al Gore
আল-কায়িদা	Al-Qaeda
আলাবামা	Alabama
অ্যালান টুরিং	Alan Turing
অ্যালানিন	Alanine
আলাস্কা	Alaska
আলবেনিয়া	Albania
আলবাট্রস	Albatross
প্রতিফলন অনুপাত	Albedo
আলবার্ট আব্রাহাম মাইকেলসন	Albert Abraham Michelson
আলবেয়ার কামু	Albert Camus
আলবার্ট আইনস্টাইন	Albert Einstein
আলকেমি	Alchemy
অ্যালকোহল	Alcohol
আলেক্সান্দ‌র সল‌ঝেনিত‌সিন	Aleksandr Solzhenitsyn
অ্যালেকজান্ডার ফ্লেমিং	Alexander Fleming
আলেকজান্ডার গ্রাহাম বেল	Alexander Graham Bell
মহামতি আলেকজান্ডার	Alexander the Great
আলেক্সাঁদ্র্ দ্যুমা	Alexandre Dumas
আলেকজান্দ্রিয়া	Alexandria
আলফ্রেড হিচকক	Alfred Hitchcock
আলফ্রেদ নোবেল	Alfred Nobel
আলফ্রেড নর্থ হোয়াইটহেড	Alfred North Whitehead
আলফ্রেড রাসেল ওয়ালেস	Alfred Russel Wallace
বীজগণিত	Algebra
বীজগাণিতিক সংখ্যা	Algebraic number
আলজেরিয়া	Algeria
অ্যালগোরিদম	Algorithm
আলী ইবন আবী তালিব	Ali
ক্ষার ধাতু	Alkali metal
উপক্ষার	Alkaloid
আল্লাহ	Allah
অ্যালেন গিন্সবার্গ	Allen Ginsberg
আলফা সেন্টরাই	Alpha Centauri
আল্পস্‌ পর্বতমালা	Alps
আল্‌জাস	Alsace
আলতাই পর্বতমালা	Altay Mountains
অ্যালুমিনিয়াম	Aluminium
অ্যামানিটা মাস্কারিয়া	Amanita muscaria
আমাজন নদী	Amazon River
আমাদিও আভোগাদ্রো	Amedeo Avogadro
মার্কিন যুক্তরাষ্ট্রের গৃহযুদ্ধ	American Civil War
আমেরিকান বিপ্লব	American Revolutionary War
অ্যাস্‌কি	American Standard Code for Information Interchange
