Croatian	English
1.	1
10.	10
100.	100
1000.	1000
Tisuću	1000 (number)
101.	101
105.	105
11.	11
110.	110
115.	115
12.	12
120.	120
125.	125
13.	13
130.	130
135.	135
14.	14
140.	140
144.	144
145.	145
15.	15
150.	150
1530-ih	1530s
155.	155
16.	16
160.	160
165.	165
17.	17
170.	170
1728.	1728
175.	175
1750-ih	1750s
1760-ih	1760s
1770-ih	1770s
1780-ih	1780s
1790-ih	1790s
18.	18
180.	180
1820-ih	1820s
1830-ih	1830s
1840-ih	1840s
1850-ih	1850s
1860-ih	1860s
1870-ih	1870s
1880-ih	1880s
1890-ih	1890s
19.	19
190.	190
1900-ih	1900s
1920-ih	1920s
1930-ih	1930s
1940-ih	1940s
1950-ih	1950s
1960-ih	1960s
1970-ih	1970s
1980-ih	1980s
1990-ih	1990s
2.	2
20.	20
200.	200
21.	21
22.	22
23.	23
24.	24
25.	25
26.	26
27.	27
28.	28
29.	29
3.	3
30.	30
300.	300
31.	31
32.	32
33.	33
34.	34
35.	35
36.	36
37.	37
38.	38
39.	39
4.	4
40.	40
400.	400
41.	41
42.	42
43.	43
44.	44
45.	45
46.	46
47.	47
48.	48
49.	49
5.	5
50.	50
500.	500
51.	51
52.	52
53.	53
54.	54
55.	55
56.	56
57.	57
58.	58
59.	59
6.	6
60.	60
61.	61
62.	62
63.	63
64.	64
65.	65
66.	66
67.	67
68.	68
69.	69
7.	7
70.	70
71.	71
72.	72
73.	73
74.	74
75.	75
76.	76
77.	77
78.	78
79.	79
8.	8
80.	80
81.	81
82.	82
83.	83
84.	84
85.	85
86.	86
87.	87
88.	88
89.	89
9.	9
90.	90
91.	91
92.	92
93.	93
94.	94
95.	95
96.	96
97.	97
98.	98
99.	99
A	A
Sindrom stečene imunodeficijencije	AIDS
ATP	ATP
AZ Alkmaar	AZ (football club)
Aachen	Aachen
Aalborg	Aalborg
Århus	Aarhus
Abel Tasman	Abel Tasman
Abelova grupa	Abelian group
Aberdeen	Aberdeen
Abidjan	Abidjan
Abhazija	Abkhazia
Abolicionisti	Abolitionism
Pobačaj	Abortion
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Apsolutna magnituda	Absolute magnitude
Apsolutizam	Absolutism (European history)
Apstraktna umjetnost	Abstract art
Abu Dhabi	Abu Dhabi
Abud Dhabi	Abu Dhabi (emirate)
Abuja	Abuja
Akacija	Acacia
Oscar	Academy Award
Ubrzanje	Acceleration
Jastrebovi	Accipitridae
Harmonika	Accordion
Računovodstvo	Accountancy
Accra	Accra
Akuzativ	Accusative case
