Danish	English
0 (tal)	0 (number)
1	1
1 (tal)	1 (number)
10	10
10 (tal)	10 (number)
100	100
100 (tal)	100 (number)
1000	1000
Tusind	1000 (number)
101	101
105	105
11	11
11 (tal)	11 (number)
110	110
115	115
12	12
12 (tal)	12 (number)
120	120
125	125
13	13
13 (tal)	13 (number)
130	130
135	135
14	14
Kategori:14	14
14 (tal)	14 (number)
140	140
144	144
145	145
15	15
15 (tal)	15 (number)
150	150
1530'erne	1530s
155	155
16	16
16 (tal)	16 (number)
160	160
165	165
17	17
Kategori:17	17
17 (tal)	17 (number)
170	170
1728	1728
Kategori:1728	1728
175	175
1750'erne	1750s
1760'erne	1760s
1770'erne	1770s
1780'erne	1780s
1790'erne	1790s
18	18
18 (tal)	18 (number)
180	180
1820'erne	1820s
1830'erne	1830s
1840'erne	1840s
1850'erne	1850s
1860'erne	1860s
1870'erne	1870s
1880'erne	1880s
1890'erne	1890s
19	19
19 (tal)	19 (number)
190	190
1900'erne	1900s
1920'erne	1920s
1930'erne	1930s
1940'erne	1940s
1950'erne	1950s
1960'erne	1960s
1970'erne	1970s
1980'erne	1980s
1990'erne	1990s
2	2
2 (tal)	2 (number)
20	20
20 (tal)	20 (number)
200	200
21	21
21 (tal)	21 (number)
22	22
22 (tal)	22 (number)
23	23
23 (tal)	23 (number)
24	24
24 Timer	24 (TV series)
24 (tal)	24 (number)
25	25
25 (tal)	25 (number)
26	26
26 (tal)	26 (number)
27	27
27 (tal)	27 (number)
28	28
28 (tal)	28 (number)
29	29
29 (tal)	29 (number)
3	3
3 (tal)	3 (number)
30	30
30 (tal)	30 (number)
300	300
31	31
31 (tal)	31 (number)
32	32
32 (tal)	32 (number)
33	33
33 (tal)	33 (number)
34	34
34 (tal)	34 (number)
35	35
35 (tal)	35 (number)
36	36
36 (tal)	36 (number)
37	37
37 (tal)	37 (number)
38	38
38 (tal)	38 (number)
39	39
4	4
4 (tal)	4 (number)
40	40
40 (tal)	40 (number)
400	400
41	41
41 (tal)	41 (number)
42	42
42 (tal)	42 (number)
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (tal)	5 (number)
50	50
50 (tal)	50 (number)
500	500
Kategori:500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (tal)	6 (number)
60	60
60 (tal)	60 (number)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (tal)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (tal)	8 (number)
80	80
80 (tal)	80 (number)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (tal)	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
ABC	ABC
Aids	AIDS
ALGOL	ALGOL
ATP	ATP
AZ Alkmaar	AZ (football club)
Aachen	Aachen
Aalborg	Aalborg
Aare	Aar
Jordsvin	Aardvark
Århus	Aarhus
Aron	Aaron
Abacus (regnemaskine)	Abacus
Abadan	Abadan
Abbed	Abbot
Forkortelse	Abbreviation
Bughule	Abdomen
Abel Tasman	Abel Tasman
Abelsk gruppe	Abelian group
Aberdeen	Aberdeen
Abidjan	Abidjan
Abkhasien	Abkhazia
Abolitionist	Abolitionism
Provokeret abort	Abortion
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absint	Absinthe
Absolut størrelsesklasse	Absolute magnitude
Absolut nulpunkt	Absolute zero
Enevælde	Absolutism (European history)
Abstrakt kunst	Abstract art
Abstraktion	Abstraction
Abu Dhabi	Abu Dhabi
Abu Dhabi	Abu Dhabi (emirate)
Abuja	Abuja
Akacie	Acacia
Oscaruddelingen	Academy Award
Acapulco	Acapulco
Acceleration	Acceleration
Accipitridae	Accipitridae
Harmonika	Accordion
Regnskab	Accountancy
Kategori:Regnskabsvæsen	Accountancy
Accra	Accra
Akkusativ	Accusative case
Ethanal	Acetaldehyde
Eddikesyre	Acetic acid
Acetone	Acetone
Acetylen	Acetylene
Almindelig Røllike	Achillea millefolium
Achilleus	Achilles
Syre	Acid
Sur nedbør	Acid rain
Akne	Acne vulgaris
Aconcagua	Aconcagua
Agern	Acorn
Akustik	Acoustics
Kategori:Akustik	Acoustics
Acre (arealenhed)	Acre
Akko	Acre
Akropolis	Acropolis
Actinid	Actinide
Actinium	Actinium
Skuespiller	Actor
Apostlenes Gerninger	Acts of the Apostles
Akupunktur	Acupuncture
Ada (programmeringssprog)	Ada (programming language)
Adam (bibelsk person)	Adam
Adam Smith	Adam Smith
Adana	Adana
Baobab	Adansonia
Addis Ababa	Addis Ababa
Addition	Addition
Adelaide (Australien)	Adelaide
Aden	Aden
Adenin	Adenine
Adenosintrifosfat	Adenosine triphosphate
Adiabatisk proces	Adiabatic process
Adige	Adige
Tillægsord	Adjective
Admiral (søofficer)	Admiral
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis	Adonis
Adoption	Adoption
Binyre	Adrenal gland
Adriaterhavet	Adriatic Sea
Adsorption	Adsorption
Voksen	Adult
Advent	Advent
Biord	Adverb
Reklame	Advertising
