English	Breton
1	1
10	10
100	Rummad:100
1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
12	Rummad:12
120	120
125	125
13	13
130	130
135	135
14	14
14	Rummad:14
140	140
144	144
145	145
15	15
150	150
1530s	Bloavezhioù 1530
155	155
16	16
16	Rummad:16
160	160
165	165
17	17
17	Rummad:17
170	170
1728	1728
175	175
1750s	Bloavezhioù 1750
1750s	Rummad:Bloavezhioù 1750
1760s	Bloavezhioù 1760
1760s	Rummad:Bloavezhioù 1760
1770s	Bloavezhioù 1770
1770s	Rummad:Bloavezhioù 1770
1780s	Bloavezhioù 1780
1780s	Rummad:Bloavezhioù 1780
1790s	Bloavezhioù 1790
1790s	Rummad:Bloavezhioù 1790
18	18
180	180
1820s	Bloavezhioù 1820
1820s	Rummad:Bloavezhioù 1820
1830s	Bloavezhioù 1830
1830s	Rummad:Bloavezhioù 1830
1840s	Bloavezhioù 1840
1840s	Rummad:Bloavezhioù 1840
1850s	Bloavezhioù 1850
1860s	Bloavezhioù 1860
1860s	Rummad:Bloavezhioù 1860
1870s	Bloavezhioù 1870
1870s	Rummad:Bloavezhioù 1870
1880s	Bloavezhioù 1880
1880s	Rummad:Bloavezhioù 1880
1890s	Bloavezhioù 1890
1890s	Rummad:Bloavezhioù 1890
19	19
190	190
1900s	Bloavezhioù 1900
1900s	Rummad:Bloavezhioù 1900
1920s	Bloavezhioù 1920
1920s	Rummad:Bloavezhioù 1920
1930s	Bloavezhioù 1930
1930s	Rummad:Bloavezhioù 1930
1940s	Bloavezhioù 1940
1940s	Rummad:Bloavezhioù 1940
1950s	Bloavezhioù 1950
1950s	Rummad:Bloavezhioù 1950
1960s	Bloavezhioù 1960
1960s	Rummad:Bloavezhioù 1960
1970s	Bloavezhioù 1970
1970s	Rummad:Bloavezhioù 1970
1980s	Bloavezhioù 1980
1980s	Rummad:Bloavezhioù 1980
1990s	Bloavezhioù 1990
1990s	Rummad:Bloavezhioù 1990
2	2
20	20
200	200
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
3	3
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
41	41
42	42
43	43
44	44
5	5
6	6
7	7
8	8
83	83
84	84
9	9
A	A (lizherenn)
A (Cyrillic)	A (kirillek)
Aachen	Aachen
Aar	Aar
Aaron	Aaron (Bibl)
Abel Tasman	Abel Tasman
Abidjan	Abidjan
Absolute zero	Zero klok
Accordion	Bouest an diaoul
Accra	Accra
Acheron	Ac'heron
Achilles	Akilles
