English	Catalan
0 (number)	Zero
1	1
1 (number)	U (nombre)
10	10
10 (number)	Deu
100	100
100 (number)	Cent
1000	1000
1000 (number)	Mil
101	101
105	105
11	11
11 (number)	Onze
110	110
115	115
12	12
12 (number)	Dotze
120	120
125	125
13	13
13 (number)	Tretze
130	130
135	135
14	14
14 (number)	Catorze
140	140
144	144
145	145
15	15
15 (number)	Quinze
150	150
1530s	Dècada del 1530
155	155
16	16
16 (number)	Setze
160	160
165	165
17	17
17 (number)	Disset
170	170
1728	1728
175	175
1750s	Dècada del 1750
1760s	Dècada del 1760
1770s	Dècada del 1770
1780s	Dècada del 1780
1790s	Dècada del 1790
18	18
18 (number)	Divuit
180	180
1820s	Dècada del 1820
1830s	Dècada del 1830
1840s	Dècada del 1840
1850s	Dècada del 1850
1860s	Dècada del 1860
1870s	Dècada del 1870
1880s	Dècada del 1880
1890s	Dècada del 1890
19	19
19 (number)	Dinou
190	190
1900s	Dècada del 1900
1900s	Categoria:Dècada del 1900
1920s	Dècada del 1920
1920s	Categoria:Dècada del 1920
1930s	Dècada del 1930
1930s	Categoria:Dècada del 1930
1940s	Dècada del 1940
1940s	Categoria:Dècada del 1940
1950s	Dècada del 1950
1950s	Categoria:Dècada del 1950
1960s	Dècada del 1960
1960s	Categoria:Dècada del 1960
1970s	Dècada del 1970
1970s	Categoria:Dècada del 1970
1980s	Dècada del 1980
1980s	Categoria:Dècada del 1980
1990s	Dècada del 1990
1990s	Categoria:Dècada del 1990
2	2
2 (number)	Dos
20	20
20 (number)	Vint
200	200
21	21
21 (number)	Vint-i-u
22	22
23	23
23 (number)	Vint-i-tres
24	24
24 (number)	Vint-i-quatre
25	25
25 (number)	Vint-i-cinc
26	26
26 (number)	Vint-i-sis
27	27
28	28
29	29
29 (number)	Vint-i-nou
3	3
3 (number)	Tres
30	30
30 (number)	Trenta
300	300
31	31
31 (number)	Trenta-u
32	32
32 (number)	Trenta-dos
33	33
33 (number)	Trenta-tres
34	34
34 (number)	Trenta-quatre
35	35
35 (number)	Trenta-cinc
36	36
36 (number)	Trenta-sis
37	37
37 (number)	Trenta-set
38	38
38 (number)	Trenta-vuit
39	39
39 (number)	Trenta-nou
4	4
4 (number)	Quatre
40	40
40 (number)	Quaranta
400	400
41	41
41 (number)	Quaranta-u
42	42
42 (number)	Quaranta-dos
43	43
43 (number)	Quaranta-tres
44	44
45	45
45 (number)	Quaranta-cinc
46	46
46 (number)	Quaranta-sis
47	47
48	48
49	49
49 (number)	Quaranta-nou
5	5
5 (number)	Cinc
50	50
50 (number)	Cinquanta
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	Sis
60	60
60 (number)	Seixanta
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	Nombre set
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	Vuit
80	80
80 (number)	Vuitanta
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	Nombre nou
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A cappella	A cappella
ABC	ABC
AIDS	SIDA
ALGOL	Algol
ATP	ATP
AZ (football club)	AZ Alkmaar
Aachen	Aquisgrà
Aar	Aar
Aardvark	Porc formiguer
Aarhus	Århus
Aaron	Aaron
Abacus	Àbac
Abadan	Abadan
Abbot	Abat
Abbreviation	Abreviatura
Abel Tasman	Abel Tasman
Abelian group	Grup abelià
Abidjan	Abidjan
Abkhazia	Abkhàzia
Abkhazia	Categoria:Abkhàzia
Abortion	Avortament
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absinthe	Absenta
Absolute magnitude	Magnitud absoluta
Absolute value	Valor absolut
Absolute zero	Zero absolut
Absolutism (European history)	Absolutisme
Abstract art	Art abstracte
Abu Dhabi	Abu Dhabi (ciutat)
Abu Dhabi (emirate)	Abu Dhabi
Abuja	Abuja
Acacia	Acàcia
Academy Award	Oscar
Acapulco	Acapulco
Acceleration	Acceleració
Accipitridae	Accipítrid
Accordion	Acordió
Accountancy	Comptabilitat
Accra	Accra
Accusative case	Cas acusatiu
Acetylene	Acetilè
Acheron	Aqueront
Achillea millefolium	Milfulles
Achilles	Aquil·les
Acid	Àcid
Acid rain	Pluja àcida
Acne vulgaris	Acne
Aconcagua	Aconcagua
Acoustics	Acústica
Acoustics	Categoria:Acústica
Acre	Acre (unitat de superfície)
Acre (state)	Estat d'Acre
Acropolis	Acròpoli
Actinide	Actínid
Actinium	Actini
Actor	Actor
Acts of the Apostles	Fets dels Apòstols
Acupuncture	Acupuntura
