English	Danish
0 (number)	0 (tal)
1	1
1 (number)	1 (tal)
10	10
10 (number)	10 (tal)
100	100
100 (number)	100 (tal)
1000	1000
1000 (number)	Tusind
101	101
105	105
11	11
11 (number)	11 (tal)
110	110
115	115
12	12
12 (number)	12 (tal)
120	120
125	125
13	13
13 (number)	13 (tal)
130	130
135	135
14	14
14	Kategori:14
14 (number)	14 (tal)
140	140
144	144
145	145
15	15
15 (number)	15 (tal)
150	150
1530s	1530'erne
155	155
16	16
16 (number)	16 (tal)
160	160
165	165
17	17
17	Kategori:17
17 (number)	17 (tal)
170	170
1728	1728
1728	Kategori:1728
175	175
1750s	1750'erne
1760s	1760'erne
1770s	1770'erne
1780s	1780'erne
1790s	1790'erne
18	18
18 (number)	18 (tal)
180	180
1820s	1820'erne
1830s	1830'erne
1840s	1840'erne
1850s	1850'erne
1860s	1860'erne
1870s	1870'erne
1880s	1880'erne
1890s	1890'erne
19	19
19 (number)	19 (tal)
190	190
1900s	1900'erne
1920s	1920'erne
1930s	1930'erne
1940s	1940'erne
1950s	1950'erne
1960s	1960'erne
1970s	1970'erne
1980s	1980'erne
1990s	1990'erne
2	2
2 (number)	2 (tal)
20	20
20 (number)	20 (tal)
200	200
21	21
21 (number)	21 (tal)
22	22
22 (number)	22 (tal)
23	23
23 (number)	23 (tal)
24	24
24 (TV series)	24 Timer
24 (number)	24 (tal)
25	25
25 (number)	25 (tal)
26	26
26 (number)	26 (tal)
27	27
27 (number)	27 (tal)
28	28
28 (number)	28 (tal)
29	29
29 (number)	29 (tal)
3	3
3 (number)	3 (tal)
30	30
30 (number)	30 (tal)
300	300
31	31
31 (number)	31 (tal)
32	32
32 (number)	32 (tal)
33	33
33 (number)	33 (tal)
34	34
34 (number)	34 (tal)
35	35
35 (number)	35 (tal)
36	36
36 (number)	36 (tal)
37	37
37 (number)	37 (tal)
38	38
38 (number)	38 (tal)
39	39
4	4
4 (number)	4 (tal)
40	40
40 (number)	40 (tal)
400	400
41	41
41 (number)	41 (tal)
42	42
42 (number)	42 (tal)
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (number)	5 (tal)
50	50
50 (number)	50 (tal)
500	500
500	Kategori:500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (tal)
60	60
60 (number)	60 (tal)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (tal)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (tal)
80	80
80 (number)	80 (tal)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (tal)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
ABC	ABC
AIDS	Aids
ALGOL	ALGOL
ATP	ATP
AZ (football club)	AZ Alkmaar
Aachen	Aachen
Aalborg	Aalborg
Aar	Aare
Aardvark	Jordsvin
Aarhus	Århus
Aaron	Aron
Abacus	Abacus (regnemaskine)
Abadan	Abadan
Abbot	Abbed
Abbreviation	Forkortelse
Abdomen	Bughule
Abel Tasman	Abel Tasman
Abelian group	Abelsk gruppe
Aberdeen	Aberdeen
Abidjan	Abidjan
Abkhazia	Abkhasien
Abolitionism	Abolitionist
Abortion	Provokeret abort
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absinthe	Absint
Absolute magnitude	Absolut størrelsesklasse
Absolute zero	Absolut nulpunkt
Absolutism (European history)	Enevælde
Abstract art	Abstrakt kunst
Abstraction	Abstraktion
Abu Dhabi	Abu Dhabi
