English	Esperanto
0 (number)	Nulo
1	1
1 (number)	Unu
10	10
10 (number)	Dek
100	100
100 (number)	Cent
1000	1000
1000 (number)	Mil
101	101
105	105
11	11
11 (number)	Dek unu
110	110
115	115
12	12
12 (number)	Dek du
120	120
125	125
13	13
13 (number)	Dek tri
130	130
135	135
14	14
14 (number)	Dek kvar
140	140
144	144
145	145
15	15
15 (number)	Dek kvin
150	150
155	155
16	16
16 (number)	Dek ses
160	160
165	165
17	17
17 (number)	Dek sep
170	170
1728	1728
1728	Kategorio:1728
175	175
1750s	1750-aj jaroj
1760s	1760-aj jaroj
1770s	1770-aj jaroj
1790s	1790-aj jaroj
18	18
18 (number)	Dek ok
180	180
1820s	1820-aj jaroj
1840s	1840-aj jaroj
1850s	1850-aj jaroj
1860s	1860-aj jaroj
1870s	1870-aj jaroj
1880s	1880-aj jaroj
1890s	1890-aj jaroj
19	19
19 (number)	Dek naŭ
190	190
1900s	1900-aj jaroj
1920s	1920-aj jaroj
1930s	1930-aj jaroj
1940s	1940-aj jaroj
1950s	1950-aj jaroj
1960s	1960-aj jaroj
1970s	1970-aj jaroj
1980s	1980-aj jaroj
1990s	1990-aj jaroj
2	2
2 (number)	Du
20	20
20 (number)	Dudek
200	200
21	21
21 (number)	Dudek unu
22	22
22 (number)	Dudek du
23	23
23 (number)	Dudek tri
24	24
24 (TV series)	24 (televidserio)
24 (number)	Dudek kvar
25	25
25 (number)	Dudek kvin
26	26
26 (number)	Dudek ses
27	27
27 (number)	Dudek sep
28	28
28 (number)	Dudek ok
29	29
29 (number)	Dudek naŭ
3	3
3 (number)	Tri
30	30
30 (number)	Tridek
300	300
31	31
31 (number)	Tridek unu
32	32
32 (number)	Tridek du
33	33
33 (number)	Tridek tri
34	34
34 (number)	Tridek kvar
35	35
35 (number)	Tridek kvin
36	36
36 (number)	Tridek ses
37	37
37 (number)	Tridek sep
38	38
38 (number)	Tridek ok
39	39
39 (number)	Tridek naŭ
4	4
4 (number)	Kvar
40	40
40 (number)	Kvardek
400	400
41	41
41 (number)	Kvardek unu
42	42
42 (number)	Kvardek du
43	43
43 (number)	Kvardek tri
44	44
45	45
45 (number)	Kvardek kvin
46	46
46 (number)	Kvardek ses
47	47
48	48
49	49
49 (number)	Kvardek naŭ
5	5
5 (number)	Kvin
50	50
50 (number)	Kvindek
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	Ses
60	60
60 (number)	Sesdek
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	Sep
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	Ok
80	80
80 (number)	Okdek
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	Naŭ
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A (Cyrillic)	A (cirila alfabeto)
A cappella	Voĉa muziko
ABC	ABC
AIDS	Aidoso
ATP	ATP
Aachen	Aachen
Aalborg	Aalborg
Aar	Aro (rivero)
Aardvark	Orikteropo
Aarhus	Arhuzo
Aaron	Aaron
Abacus	Abako (meĥanika kalkulilo)
Abadan	Abadano
Abbot	Abato
Abbreviation	Mallongigo
Abdomen	Ventro
Abel Tasman	Abel Tasman
Abelian group	Komuta grupo
Aberdeen	Aberdeen
Abidjan	Abiĝano
Abkhazia	Abĥazio
Abkhazia	Kategorio:Abĥazio
Abolitionism	Aboliciismo
Abortion	Aborto
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absinthe	Absinttrinkaĵo
Absolute magnitude	Absoluta magnitudo
Absolute value	Absoluta valoro
Absolutism (European history)	Absolutismo
Abstract art	Abstrakta arto
Abstract expressionism	Abstrakta ekspresionismo
Abstraction	Abstraktado
Abu Dhabi	Abu-Dabio
Abu Dhabi (emirate)	Abu-Dabio
Abuja	Abuĝo
Acacia	Akacio
Academy Award	Akademia Premio
Acapulco	Akapulko
Acceleration	Akcelo
Accipitridae	Akcipitredoj
Accordion	Akordiono
Accountancy	Kontado
Accra	Akrao
Accusative case	Akuzativo
