English	Finnish
0 (number)	0 (luku)
1	1
1 (number)	1 (luku)
10	10
10 (number)	10 (luku)
100	100
100 (number)	Sata
1000	1000
1000 (number)	Tuhat
101	101
105	105
11	11
11 (number)	11 (luku)
110	110
115	115
12	12
12 (number)	12 (luku)
120	120
125	125
13	13
13 (number)	13 (luku)
130	130
135	135
14	14
14 (number)	14 (luku)
140	140
144	144
145	145
15	15
15 (number)	15 (luku)
150	150
1530s	1530-luku
155	155
16	16
16 (number)	16 (luku)
160	160
165	165
17	17
17 (number)	17 (luku)
170	170
1728	1728
175	175
1750s	1750-luku
1750s	Luokka:1750-luku
1760s	1760-luku
1760s	Luokka:1760-luku
1770s	1770-luku
1770s	Luokka:1770-luku
1780s	1780-luku
1780s	Luokka:1780-luku
1790s	1790-luku
1790s	Luokka:1790-luku
18	18
18 (number)	18 (luku)
180	180
1820s	1820-luku
1820s	Luokka:1820-luku
1830s	1830-luku
1830s	Luokka:1830-luku
1840s	1840-luku
1840s	Luokka:1840-luku
1850s	1850-luku
1860s	1860-luku
1860s	Luokka:1860-luku
1870s	1870-luku
1870s	Luokka:1870-luku
1880s	1880-luku
1880s	Luokka:1880-luku
1890s	1890-luku
1890s	Luokka:1890-luku
19	19
19 (number)	19 (luku)
190	190
1900s	1900-vuosikymmen
1900s	Luokka:1900-vuosikymmen
1920s	1920-luku
1920s	Luokka:1920-luku
1930s	1930-luku
1930s	Luokka:1930-luku
1940s	1940-luku
1940s	Luokka:1940-luku
1950s	1950-luku
1950s	Luokka:1950-luku
1960s	1960-luku
1960s	Luokka:1960-luku
1970s	1970-luku
1970s	Luokka:1970-luku
1980s	1980-luku
1980s	Luokka:1980-luku
1990s	1990-luku
1990s	Luokka:1990-luku
2	2
2 (number)	2 (luku)
20	20
20 (number)	20 (luku)
200	200
21	21
21 (number)	21 (luku)
22	22
22 (number)	22 (luku)
23	23
23 (number)	23 (luku)
24	24
24 (TV series)	24 (televisiosarja)
24 (number)	24 (luku)
25	25
25 (number)	25 (luku)
26	26
26 (number)	26 (luku)
27	27
27 (number)	27 (luku)
28	28
28 (number)	28 (luku)
29	29
29 (number)	29 (luku)
3	3
3 (number)	3 (luku)
30	30
30 (number)	30 (luku)
300	300
31	31
31 (number)	31 (luku)
32	32
32 (number)	32 (luku)
33	33
33 (number)	33 (luku)
34	34
34 (number)	34 (luku)
35	35
35 (number)	35 (luku)
36	36
36 (number)	36 (luku)
37	37
37 (number)	37 (luku)
38	38
38 (number)	38 (luku)
39	39
39 (number)	39 (luku)
4	4
4 (number)	4 (luku)
40	40
40 (number)	40 (luku)
400	400
41	41
41 (number)	41 (luku)
42	42
42 (number)	42 (luku)
43	43
43 (number)	43 (luku)
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (number)	5 (luku)
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (luku)
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (luku)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (luku)
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (luku)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A (Cyrillic)	А
A cappella	A cappella
ABC	ABC
AIDS	AIDS
ALGOL	ALGOL
ATP	ATP
AZ (football club)	AZ Alkmaar
Aachen	Aachen
Aalborg	Aalborg
Aar	Aare
Aardvark	Maasika
Aarhus	Århus
Aaron	Aaron
Abacus	Helmitaulu
Abadan	Abadan
Abbot	Apotti
Abel Tasman	Abel Tasman
Abelian group	Abelin ryhmä
Aberdeen	Aberdeen
Abidjan	Abidjan
Abkhazia	Abhasia
Abolitionism	Abolitionismi
Abortion	Abortti
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absinthe	Absintti
Absolute value	Itseisarvo
Absolute zero	Absoluuttinen nollapiste
Absolutism (European history)	Itsevaltius
Abstract art	Abstrakti taide
Abstract expressionism	Abstrakti ekspressionismi
Abu Dhabi	Abu Dhabi
Abu Dhabi (emirate)	Abu Dhabi
Abuja	Abuja
Acacia	Akasiat
Academy Award	Oscar-palkinto
Acapulco	Acapulco
Acceleration	Kiihtyvyys
Accipitridae	Haukat
Accordion	Harmonikka
Accountancy	Kirjanpito
Accountancy	Luokka:Kirjanpito
Accra	Accra
Accusative case	Akkusatiivi
Acetaldehyde	Asetaldehydi
Acetic acid	Etikkahappo
Acetone	Asetoni
Acetylcholine	Asetyylikoliini
Acetylene	Asetyleeni
Acheron	Akheron
Achillea millefolium	Siankärsämö
Achilles	Akhilleus
Acid	Happo
Acid rain	Happamoituminen
Acne vulgaris	Akne
Aconcagua	Aconcagua
Acoustics	Akustiikka
Acoustics	Luokka:Akustiikka
Acre	Eekkeri
Acre	Akko
Acre (state)	Acre
Acropolis	Akropolis
Actinide	Aktinoidi
Actinium	Aktinium
Actor	Näyttelijä
Acts of the Apostles	Apostolien teot
Acupuncture	Akupunktio
Ad hominem	Argumentum ad hominem
Ada (programming language)	Ada
Adam	Aadam
Adam Smith	Adam Smith
Adana	Adana
Addiction	Riippuvuus
Addis Ababa	Addis Abeba
Addition	Yhteenlasku
Adelaide	Adelaide
Aden	Aden
Adenine	Adeniini
Adenosine triphosphate	Adenosiinitrifosfaatti
Adiabatic process	Adiabaattinen prosessi
Adige	Adige
Adjective	Adjektiivi
Admiral	Amiraali
Adolescence	Teini
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis	Adonis
Adoption	Adoptio
Adrenal gland	Lisämunuainen
Adriatic Sea	Adrianmeri
Adsorption	Adsorptio
Adult	Aikuisuus
Advent	Adventti
Adverb	Adverbi
Advertising	Mainonta
Aegean Sea	Aigeianmeri
Aeneas	Aineias
Aeneid	Aeneis
Aeolus	Aiolos
Aerodynamics	Aerodynamiikka
Aerosol	Aerosoli
Aeschylus	Aiskhylos
Aesop	Aisopos
Aesthetics	Estetiikka
Affix	Affiksi
Afghanistan	Afganistan
Afghanistan	Luokka:Afganistan
Africa	Afrikka
Africa	Luokka:Afrikka
African American	Afroamerikkalaiset
Afrikaans	Afrikaans
Agamemnon	Agamemnon
Agar	Agar
Agate	Akaatti
Agatha Christie	Agatha Christie
Aggression	Aggressio
Agnatha	Leuattomat kalat
Agnosticism	Agnostisismi
Agora	Agora
Agoraphobia	Agorafobia
Agra	Agra
Agriculture	Maatalous
Agriculture	Luokka:Maatalous
Agrigento	Agrigento
Aikido	Aikido
Ain	Ain
Air force	Ilmavoimat
Airbus	Airbus
Aircraft	Lentokone
Aircraft	Luokka:Lentokoneet
Aircraft carrier	Lentotukialus
