English	Galician
0 (number)	Cero
1	1
1 (number)	Un
10	10
10 (number)	Dez
100	100
1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
120	120
125	125
13	13
130	130
135	135
14	14
140	140
144	144
145	145
15	15
150	150
155	155
16	16
160	160
165	165
17	17
170	170
1728	1728
175	175
18	18
180	180
19	19
190	190
2	2
2 (number)	Dous
20	20
200	200
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
3	3
3 (number)	Tres
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
4 (number)	Catro
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (number)	Cinco
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	Seis
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	Sete
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	Nove
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A (Cyrillic)	A (Cirílico)
ABC	ABC
AIDS	SIDA
ALGOL	Algol
ATP	ATP (homónimos)
Aalborg	Aalborg - Ålborg
Aar	Río Aar
Aarhus	Aarhus - Århus
Aaron	Aharón - אהרן
Abacus	Ábaco
Abadan	Abadán - آبادان
Abbot	Abade
Abbreviation	Abreviatura
Abdomen	Abdome
Abel Tasman	Abel Tasman
Aberdeen	Aberdeen, Escocia
Abidjan	Abidjan
Abkhazia	Abkhazia
Abolitionism	Abolicionismo
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absolute magnitude	Magnitude absoluta
Absolute value	Valor absoluto
Absolute zero	Cero absoluto
Absolutism (European history)	Absolutismo
Abstract art	Arte abstracta
Abstract expressionism	Expresionismo abstracto
Abstraction	Abstracción
Abu Dhabi (emirate)	Emirato de Abu Dabi
Abuja	Abuja
Acacia	Acacia
Academy Award	Premios Oscar
Acapulco	Acapulco
Acceleration	Aceleración
Accipitridae	Accipítrido
Accordion	Acordeón
Accra	Accra
Accusative case	Acusativo
Acetaldehyde	Acetaldehido
Acetic acid	Ácido acético
Acetone	Acetona
Acetylene	Acetileno
Achillea millefolium	Milfollas
Achilles	Aquiles
Acid	Ácido
Acid rain	Choiva ácida
Acne vulgaris	Acne
Aconcagua	Aconcagua
Acoustics	Acústica
Acoustics	Categoría:Acústica
Acre	Acre (unidade de superficie)
Acre	Acre - עכו
Acre (state)	Estado do Acre, Brasil
Acropolis	Acrópole
Actinide	Actínidos
Actinium	Actinio
Actor	Actor
Acupuncture	Acupuntura
Ad hominem	Argumentum ad hominem
Ada (programming language)	Ada
Adam Smith	Adam Smith
Adana	Adana
Addiction	Adicción
Addis Ababa	Adís Abeba - አዲስ አበባ
Adelaide	Adelaida - Adelaide
Aden	Adén - عدن
Adenine	Adenina
Adenosine triphosphate	ATP
Adige	Río Adige
Adjective	Adxectivo
Adolescence	Adolescencia
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis	Adonis
Adoption	Adopción
Adriatic Sea	Mar Adriático
Adsorption	Adsorción
Adult	Adulto
Advent	Advento
Adverb	Adverbio
Advertising	Publicidade
Aegean Sea	Mar Exeo
Aeneas	Eneas
Aeneid	Eneida
Aerodynamics	Aerodinámica
Aerosol	Aerosol
Aeschylus	Esquilo
Aesop	Esopo
Aesthetics	Estética
Affix	Afixo
Afghanistan	Afganistán - افغانستان
Afghanistan	Categoría:Afganistán
Africa	África
Africa	Categoría:África
African American	Afroamericano
Afrikaans	Lingua afrikaans
Agamemnon	Agamenón
Agar	Ágar-ágar
Agate	Ágata
Agatha Christie	Agatha Christie
Aggression	Agresión
Agnosticism	Agnosticismo
Agora	Ágora
Agoraphobia	Agorafobia
Agra	Agra - आगरा
Agriculture	Agricultura
Agriculture	Categoría:Agricultura
Agrigento	Agrixento - Agrigento
Aikido	Aikido
Ain	Ain
Airbus	Airbus
Airline	Aeroliña
Airport	Aeroporto
Ajax (mythology)	Áiax o Grande
Ajax (programming)	AJAX
Akhenaten	Akhenatón
Akira Kurosawa	Akira Kurosawa
Al Gore	Al Gore
Al-Qaeda	Al Qaida
Alabama	Alabama
Alan Turing	Alan Turing
Alanine	Alanina
Alaska	Alasca - Alaska
Albania	Albania - Shqipëria
Albania	Categoría:Albania
Albany	Albany, Nova York
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Alberta	Alberta
Album	Álbum musical
Albuquerque	Albuquerque, Novo México
Alchemy	Alquimia
Alcohol	Alcohol
Alcoholic beverage	Bebida alcohólica
Alcoholism	Alcoholismo
Aldebaran	Aldebarán
Aldous Huxley	Aldous Huxley
Aleksandr Solzhenitsyn	Alexander Solzhenitsin
Aleppo	Alepo - حلب
Aleutian Islands	Aleutianas
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander the Great	Alexandre o Grande
Alexandre Dumas	Alexandre Dumas (pai)
Alexandre Dumas	Alexandre Dumas (fillo)
Alexandria	Alexandría - الإسكندرية
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred Russel Wallace	Alfred Russel Wallace
Algae	Alga
Algebra	Álxebra
Algebra	Categoría:Álxebra
Algebraic number	Número alxébrico
Algeria	Alxeria - الجزائر
Algeria	Categoría:Alxeria
Algiers	Alxer
Algorithm	Algoritmo
Ali	Ali ibn Abi Talib
Alkali metal	Alcalino
Alkaloid	Alcaloide
Allah	Alá
Allegory	Alegoría
Allele	Alelo
Allen Ginsberg	Allen Ginsberg
Alliteration	Aliteración
Allophone	Alófono
Allotropy	Alotropía
Alloy	Aliaxe
Almaty	Almati - Алматы
Almond	Amendoeira
