English	Icelandic
0 (number)	Núll
1 (number)	Einn
10	10
100 (number)	Hundrað
1000	1000
1000	Flokkur:1000
1000 (number)	Þúsund
101	101
105	105
11	11
115	115
12	12
12 (number)	Tylft
120	120
13	13
13 (number)	13 (tala)
135	135
14	14
14 (number)	14 (tala)
15	15
15 (number)	15 (tala)
1530s	1531-1540
16	16
16 (number)	16 (tala)
17	17
17 (number)	17 (tala)
1728	1728
1728	Flokkur:1728
1750s	1751–1760
1750s	Flokkur:1751-1760
1760s	1761–1770
1760s	Flokkur:1761-1770
1770s	1771–1780
1770s	Flokkur:1771-1780
1780s	1781–1790
1780s	Flokkur:1781-1790
1790s	1791–1800
1790s	Flokkur:1791-1800
18	18
18 (number)	18 (tala)
180	180
1820s	1821–1830
1820s	Flokkur:1821-1830
1830s	1831–1840
1830s	Flokkur:1831-1840
1840s	1841-1850
1840s	Flokkur:1841-1850
1850s	1851–1860
1860s	1861–1870
1860s	Flokkur:1861-1870
1870s	1871–1880
1870s	Flokkur:1871-1880
1880s	1881–1890
1880s	Flokkur:1881-1890
1890s	1891–1900
1890s	Flokkur:1891-1900
19	19
1900s	Flokkur:1901-1910
1920s	1921-1930
1920s	Flokkur:1921-1930
1930s	1931-1940
1930s	Flokkur:1931-1940
1940s	1941-1950
1940s	Flokkur:1941-1950
1950s	1951-1960
1950s	Flokkur:1951-1960
1960s	1961-1970
1960s	Flokkur:1961-1970
1970s	1971-1980
1970s	Flokkur:1971-1980
1980s	1981-1990
1980s	Flokkur:1981-1990
1990s	1991-2000
1990s	Flokkur:1991-2000
20	20
21	21
22	22
23	23
24	24
24 (TV series)	24 (sjónvarpsþáttur)
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
37	37
39	39
4	4
40	40
5	5
50 (number)	Fimmtíu
500	500
6	6 (tölustafur)
6 (number)	Sex
66	66
67	67
68	68
69	69
7	7
76	76
8	8
8 (number)	Átta
81	81
88	88
9	9
9 (number)	Níu
96	96
97	97
98	98
A	A
AIDS	Alnæmi
Aachen	Aachen
Aalborg	Álaborg
Aardvark	Jarðsvín
Aarhus	Árósar
Abbreviation	Skammstöfun
Abdomen	Afturbolur
Abel Tasman	Abel Tasman
Aberdeen	Aberdeen
Abidjan	Abidjan
Abortion	Fóstureyðing
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Absolute value	Algildi
Absolute zero	Alkul
Abstract art	Abstraktlist
Abu Dhabi	Abú Dabí
Abu Dhabi (emirate)	Abú Dabí
Abuja	Abútja
Academy Award	Óskarsverðlaunin
Acceleration	Hröðun
Accra	Akkra
Accusative case	Þolfall
Acheron	Akkeron
Achilles	Akkilles
Acid	Sýra
Acid rain	Súrt regn
Aconcagua	Akonkagúa
Acre (state)	Acre (fylki)
Actinide	Aktiníð
Ad hominem	Argumentum ad hominem
Adam Smith	Adam Smith
Addiction	Fíkn
Addis Ababa	Addis Ababa
Addition	Samlagning
Adelaide	Adelaide
Adenosine triphosphate	Adenósínþrífosfat
Adjective	Lýsingarorð
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adoption	Fósturbarn
Adriatic Sea	Adríahaf
Adult	Fullorðinn einstaklingur
Advent	Aðventa
Adverb	Atviksorð
Advertising	Auglýsingar
Aegean Sea	Eyjahaf
Aeneas	Eneas
Aeneid	Eneasarkviða
Aeschylus	Æskýlos
Aesthetics	Fagurfræði
Affix	Aðskeyti
Afghanistan	Afganistan
Afghanistan	Flokkur:Afganistan
Africa	Afríka
Africa	Flokkur:Afríka
Afrikaans	Afríkanska
Agamemnon	Agamemnon
Agate	Agat
Agatha Christie	Agatha Christie
Agnatha	Vankjálkar
Agriculture	Landbúnaður
Agriculture	Flokkur:Landbúnaður
Aikido	Aikido
Aircraft	Loftfar
Aircraft	Flokkur:Flugvélar
Aircraft carrier	Flugmóðurskip
Airline	Flugfélag
Airport	Flugvöllur
Ajax	Ajas
Ajax (mythology)	Ajas Telamonsson
Akira Kurosawa	Akíra Kúrósava
Al Gore	Al Gore
Al-Qaeda	Al-Kaída
Alabama	Alabama
Alan Turing	Alan Turing
Alaska	Alaska
Albania	Albanía
Albania	Flokkur:Albanía
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Alberta	Alberta (fylki)
Alberta	Flokkur:Alberta
Alchemy	Gullgerðarlist
Alcohol	Alkóhól
Alcoholic beverage	Áfengi
Alcoholism	Alkóhólismi
Aldebaran	Aldebaran
Alder	Elri
Alec Guinness	Alec Guinness
Aleutian Islands	Aleuteyjar
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Pushkin	Alexandr Púshkín
Alexander the Great	Alexander mikli
Alexandre Dumas	Alexandre Dumas eldri
Alexandria	Alexandría
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Algebra	Algebra
Algebra	Flokkur:Algebra
Algebraic number	Algebruleg tala
Algeria	Alsír
Algeria	Flokkur:Alsír
Algiers	Algeirsborg
Algorithm	Reiknirit
Ali	Alí ibn Abu Talib
Alkali metal	Alkalímálmur
Alkane	Alkanar
Alkene	Alkenar
Allah	Allah
Allegory	Táknsaga
Allotropy	Fjölgervi
Alloy	Málmblanda
Almaty	Almaty
Alpha (letter)	Alfa
Alphabet	Stafróf
Alps	Alpafjöll
Alps	Flokkur:Alpafjöll
Alsace	Elsass
Altar	Altari
Alternating current	Riðstraumur
Aluminium	Ál
Aluminium oxide	Áloxíð
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Alsheimer
Amanita muscaria	Berserkjasveppur
Amanita phalloides	Grænserkur
Amazon River	Amasónfljót
Amber	Raf
American Civil War	Bandaríska borgarastríðið
American Revolutionary War	Bandaríska frelsisstríðið
American Samoa	Bandaríska Samóa
American football	Amerískur fótbolti
American football	Flokkur:Amerískur fótbolti
Amharic	Amharíska
Amman	Amman
Ampere	Amper
Amphibian	Froskdýr
Amsterdam	Amsterdam
Anagram	Raðhverfa
Anarchism	Stjórnleysisstefna
Anarchism	Flokkur:Stjórnleysisstefna
Anatole France	Anatole France
Anatomy	Flokkur:Líffærafræði
Anatomy	Líffærafræði
Anaxagoras	Anaxagóras
Anaximander	Anaxímandros
Ancient Greek	Forngríska
Andaman Sea	Andamanhaf
Andes	Andesfjöll
Andorra	Andorra
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andromeda	Andrómeda
Andromeda (mythology)	Andrómeda (grísk goðafræði)
Andy Warhol	Andy Warhol
Angle	Bogagráða
Angola	Angóla
Angola	Flokkur:Angóla
Anguilla	Angvilla
Angular momentum	Hverfiþungi
Anicius Manlius Severinus Boethius	Boethíus
Animal	Dýr
Animal husbandry	Búfjárrækt
Animation	Teiknimynd
Anime	Anime
Anime	Flokkur:Anime
Animism	Andatrú
Ankara	Ankara
Anno Domini	Anno Domini
Anode	Forskaut
Anorexia nervosa	Lystarstol
Anseriformes	Gásfuglar
Anseriformes	Flokkur:Gásfuglar
Ant	Maurar
Antananarivo	Antananarívó
Antarctica	Suðurskautslandið
Anthony Hopkins	Anthony Hopkins
Anthrax	Miltisbrandur
Anthropology	Mannfræði
Anthropology	Flokkur:Mannfræði
Antibiotic	Sýklalyf
Antigua and Barbuda	Antígva og Barbúda
Antigua and Barbuda	Flokkur:Antígva og Barbúda
Antimony	Antimon
Anton Chekhov	Anton Tsjekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Andheiti
Antwerp	Antwerpen
Antwerp (province)	Antwerpen-hérað
Anus	Endaþarmsop
Ape	Api
