English	Interlingua
1	1
1 (number)	1 (numero)
10	10
10 (number)	10 (numero)
100	100
100 (number)	100 (numero)
1000	1000
1000 (number)	1000 (numero)
11	11
11 (number)	11 (numero)
12	12
12 (number)	12 (numero)
13	13
13 (number)	13 (numero)
14	14
14 (number)	14 (numero)
15	15
15 (number)	15 (numero)
16	16
16 (number)	16 (numero)
17	17
17 (number)	17 (numero)
1728	1728
18	18
18 (number)	18 (numero)
19	19
19 (number)	19 (numero)
1900s	1900s
1920s	1920s
1930s	1930s
1940s	1940s
1950s	1950s
1960s	1960s
1970s	1970s
1980s	1980s
1990s	1990s
2	2
2 (number)	2 (numero)
20	20
20 (number)	20 (numero)
21	21
21 (number)	21 (numero)
22	22
22 (number)	22 (numero)
23	23
23 (number)	23 (numero)
24	24
24 (number)	24 (numero)
25	25
25 (number)	25 (numero)
26	26
26 (number)	26 (numero)
27	27
27 (number)	27 (numero)
28	28
28 (number)	28 (numero)
29	29
29 (number)	29 (numero)
3	3
3 (number)	3 (numero)
30	30
30 (number)	30 (numero)
31	31
31 (number)	31 (numero)
32	32
32 (number)	32 (numero)
33	33
33 (number)	33 (numero)
34	34
34 (number)	34 (numero)
35	35
35 (number)	35 (numero)
36	36
36 (number)	36 (numero)
37	37
37 (number)	37 (numero)
38	38
38 (number)	38 (numero)
39	39
39 (number)	39 (numero)
4	4
4 (number)	4 (numero)
40	40
40 (number)	40 (numero)
41	41
41 (number)	41 (numero)
42	42
42 (number)	42 (numero)
43	43
43 (number)	43 (numero)
44	44
45	45
45 (number)	45 (numero)
46	46
46 (number)	46 (numero)
47	47
48	48
49	49
49 (number)	49 (numero)
5	5
5 (number)	5 (numero)
50	50
50 (number)	50 (numero)
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (numero)
60	60
60 (number)	60 (numero)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (numero)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (numero)
80	80
80 (number)	80 (numero)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (numero)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
Aachen	Aachen
Aaron	Aaron
Abacus	Abaco
Abbot	Abba
Abdomen	Abdomine
Abortion	Aborto
Abraham	Abraham
Abstraction	Abstraction
Accordion	Accordion
Acetic acid	Acido acetic
Acne vulgaris	Acne
Acre (state)	Acre (Brasil)
Acts of the Apostles	Actos del Apostolos
Adansonia	Baobab
Adolf Hitler	Adolf Hitler
Adonis	Adonis
Adrenal gland	Glandula adrenal
Advent	Advento
Aesop	Esopo
Affix	Affixo
Afghanistan	Afghanistan
Afghanistan	Categoria:Afghanistan
Africa	Africa
Agnosticism	Agnosticismo
Agora	Agora
Agriculture	Agricultura
Agriculture	Categoria:Agricultura
Aikido	Aikido
Alaska	Alaska
Albania	Albania
Albania	Categoria:Albania
Albert Einstein	Albert Einstein
Albuquerque	Albuquerque, New Mexico
Alfred Nobel	Alfred Nobel
Algebra	Algebra
Algebra	Categoria:Algebra
Algeria	Algeria
Algeria	Categoria:Algeria
Algorithm	Algorithmo
Allegory	Allegoria
Allele	Allelo
Allergy	Allergia
Alphabet	Alphabeto
American Bison	Bisonte american
American Civil War	Guerra Civil American
American Revolutionary War	Guerra de Independentia del Statos Unite
American Standard Code for Information Interchange	ASCII
Amsterdam	Amsterdam
Anabaptist	Anabaptista
Anagram	Anagramma
Anaheim	Anaheim, California
Anatomy	Categoria:Anatomia
Anatomy	Anatomia
Anchorage	Anchorage, Alaska
Ancient Greek	Lingua grec ancian
Andalusia	Andalusia
Andes	Andes
Andorra	Andorra
Andorra	Categoria:Andorra
Anemia	Anemia
Anglicanism	Anglicanismo
Angola	Angola
Angola	Categoria:Angola
Animal	Animal
Anime	Categoria:Anime
Animism	Animismo
Ankara	Ankara
Annapolis	Annapolis, Maryland
Ant	Formica
Antarctica	Antarctica
Anthropology	Anthropologia
Anthropology	Categoria:Anthropologia
Antichrist	Antichristo
Antigua and Barbuda	Antigua e Barbuda
Antigua and Barbuda	Categoria:Antigua e Barbuda
Aphorism	Aphorismo
Aphrodite	Aphrodite
Apocrypha	Apocryphos
Apollo	Apollon
Appendicitis	Appendicitis
April	April
April 14	14 de april
Arabic alphabet	Alphabeto arabe
Arabic language	Lingua arabe
Arcadia	Arcadia
Archaeology	Archeologia
Archaeology	Categoria:Archeologia
Archimedes	Archimedes
Architecture	Architectura
Architecture	Categoria:Architectura
Arctic Ocean	Oceano Arctic
Area	Superficie
Ares	Ares
Argentina	Argentina
Argentina	Categoria:Argentina
Arianism	Arianismo
Arithmetic	Arithmetica
Arithmetic	Categoria:Arithmetica
Armenia	Armenia
Armenia	Categoria:Armenia
Art	Arte
Arthritis	Arthritis
Arthropod	Arthropodo
Artificial intelligence	Intelligentia artificial
Artist	Artista
Arts	Categoria:Arte
Aruba	Aruba
Asia	Asia
Asthma	Asthma
Astrology	Astrologia
Astrology	Categoria:Astrologia
Astronaut	Astronauta
Astronomy	Astronomia
Astronomy	Categoria:Astronomia
Astrophysics	Categoria:Astrophysica
Atlanta	Atlanta, Georgia
Atlantic Ocean	Oceano Atlantic
Atlantis	Atlantis
Atmosphere	Atmosphera
Atom	Atomo
August	Augusto
August 1	1 de augusto
August 15	15 de augusto
August 6	6 de augusto
Augusta	Augusta, Maine
Augustine of Hippo	Augustino de Hippona
Augustus	Augustus
Austin	Austin, Texas
Australia	Australia
