English	Korean
1	1년
1 (number)	1
10	10년
10 (number)	10
100	100년
100	분류:100년
100 (number)	100
1000	1000년
1000	분류:1000년
1000 (number)	1000
101	101년
105	105년
11	11년
11 (number)	11
110	110년
115	115년
12	12년
12	분류:12년
12 (number)	12
120	120년
125	125년
13	13년
13 (number)	13
130	130년
135	135년
14	14년
14	분류:14년
14 (number)	14
140	140년
144	144년
145	145년
15	15년
15 (number)	15
150	150년
1530s	1530년대
155	155년
16	16년
16	분류:16년
16 (number)	16
160	160년
165	165년
17	17년
17	분류:17년
17 (number)	17
170	170년
1728	1728년
1728	분류:1728년
175	175년
1750s	1750년대
1760s	1760년대
1770s	1770년대
1780s	1780년대
1790s	1790년대
18	18년
18 (number)	18
180	180년
1820s	1820년대
1830s	1830년대
1830s	분류:1830년대
1840s	1840년대
1850s	1850년대
1860s	1860년대
1870s	1870년대
1880s	1880년대
1890s	1890년대
19	19년
19 (number)	19
190	190년
1900s	1900년대
1920s	1920년대
1930s	1930년대
1940s	1940년대
1950s	1950년대
1960s	1960년대
1970s	1970년대
1980s	1980년대
1990s	1990년대
2	2년
2 (number)	2
20	20년
20 (number)	20
200	200년
21	21년
21 (number)	21
22	22년
22 (number)	22
23	23년
23 (number)	23
24	24년
24 (TV series)	24 (드라마)
24 (number)	24
25	25년
25 (number)	25
26	26년
26 (number)	26
27	27년
27 (number)	27
28	28년
28 (number)	28
29	29년
29 (number)	29
3	3년
3 (number)	3
30	30년
30 (number)	30
300	300년
31	31년
31 (number)	31
32	32년
32 (number)	32
33	33년
33 (number)	33
34	34년
34 (number)	34
35	35년
35 (number)	35
36	36년
36 (number)	36
37	37년
37 (number)	37
38	38년
38 (number)	38
39	39년
39 (number)	39
4	4년
4 (number)	4
40	40년
40 (number)	40
400	400년
41	41년
41 (number)	41
42	42년
42 (number)	42
43	43년
43 (number)	43
44	44년
45	45년
45 (number)	45
46	46년
46 (number)	46
47	47년
48	48년
49	49년
49 (number)	49
5	5년
5 (number)	5
50	50년
50 (number)	50
500	500년
500	분류:500년
51	51년
52	52년
53	53년
54	54년
55	55년
56	56년
57	57년
58	58년
59	59년
6	6년
6 (number)	6
60	60년
60 (number)	60
61	61년
62	62년
63	63년
64	64년
65	65년
66	66년
67	67년
68	68년
69	69년
7	7년
7 (number)	7
70	70년
71	71년
72	72년
73	73년
74	74년
75	75년
76	76년
77	77년
78	78년
79	79년
8	8년
8 (number)	8
80	80년
80 (number)	80
81	81년
82	82년
83	83년
84	84년
85	85년
86	86년
87	87년
88	88년
89	89년
9	9년
9 (number)	9
90	90년
