English	Lithuanian
0 (number)	0 (skaičius)
1	1 m.
1 (number)	1 (skaičius)
10	10 m.
10 (number)	10 (skaičius)
100 (number)	100 (skaičius)
11	11 m.
11 (number)	11 (skaičius)
12 (number)	12 (skaičius)
13 (number)	13 (skaičius)
14 (number)	14 (skaičius)
15 (number)	15 (skaičius)
1530s	XVI amžiaus 4-as dešimtmetis
16 (number)	16 (skaičius)
17 (number)	17 (skaičius)
1728	1728 m.
1750s	XVIII amžiaus 6-as dešimtmetis
1760s	XVIII amžiaus 7-as dešimtmetis
1770s	XVIII amžiaus 8-as dešimtmetis
1780s	XVIII amžiaus 9-as dešimtmetis
1790s	XVIII amžiaus 10-as dešimtmetis
18 (number)	18 (skaičius)
1820s	XIX amžiaus 3-as dešimtmetis
1830s	XIX amžiaus 4-as dešimtmetis
1840s	XIX amžiaus 5-as dešimtmetis
1850s	XIX amžiaus 6-as dešimtmetis
1860s	XIX amžiaus 7-as dešimtmetis
1870s	XIX amžiaus 8-as dešimtmetis
1880s	XIX amžiaus 9-as dešimtmetis
1890s	XIX amžiaus 10-as dešimtmetis
19 (number)	19 (skaičius)
1900s	XX amžiaus 1-as dešimtmetis
1920s	XX amžiaus 3-as dešimtmetis
1930s	XX amžiaus 4-as dešimtmetis
1940s	XX amžiaus 5-as dešimtmetis
1950s	XX amžiaus 6-as dešimtmetis
1960s	XX amžiaus 7-as dešimtmetis
1970s	XX amžiaus 8-as dešimtmetis
1980s	XX amžiaus 9-as dešimtmetis
1990s	XX amžiaus 10-as dešimtmetis
2	2 m.
2 (number)	2 (skaičius)
20 (number)	20 (skaičius)
21 (number)	21 (skaičius)
22 (number)	22 (skaičius)
23 (number)	23 (skaičius)
24 (TV series)	24 valandos
24 (number)	24 (skaičius)
25 (number)	25 (skaičius)
26 (number)	26 (skaičius)
27 (number)	27 (skaičius)
28 (number)	28 (skaičius)
29 (number)	29 (skaičius)
3	3 m.
3 (number)	3 (skaičius)
30 (number)	30 (skaičius)
31 (number)	31 (skaičius)
32 (number)	32 (skaičius)
33	33 m.
33 (number)	33 (skaičius)
34 (number)	34 (skaičius)
35 (number)	35 (skaičius)
36 (number)	36 (skaičius)
37 (number)	37 (skaičius)
38 (number)	38 (skaičius)
39 (number)	39 (skaičius)
4	4 m.
4 (number)	4 (skaičius)
40 (number)	40 (skaičius)
41 (number)	41 (skaičius)
42 (number)	42 (skaičius)
43 (number)	43 (skaičius)
45 (number)	45 (skaičius)
46 (number)	46 (skaičius)
49 (number)	49 (skaičius)
5	5 m.
5 (number)	5 (skaičius)
50 (number)	50 (skaičius)
6	6 m.
6 (number)	6 (skaičius)
60 (number)	60 (skaičius)
7	7 m.
7 (number)	7 (skaičius)
8	8 m.
8 (number)	8 (skaičius)
80 (number)	80 (skaičius)
88	88 m.
9	9 m.
9 (number)	9 (skaičius)
A	A
AIDS	AIDS
AZ (football club)	AZ Alkmaar
Aachen	Achenas
Aalborg	Olborgas
Aar	Arė
Aarhus	Orhusas
Abacus	Abakas
Abadan	Abadanas
Abbot	Abatas
Abdomen	Pilvelis
Abel Tasman	Abelis Tasmanas
Aberdeen	Aberdynas
Abidjan	Abidžanas
Abkhazia	Abchazija
Abortion	Abortas
Abraham	Abraomas
Abraham Lincoln	Abraham Lincoln
Absinthe	Absentas
Absolute magnitude	Absoliutinis ryškis
Absolute zero	Absoliutusis nulis
Abstract art	Abstrakcionizmas
Abstract expressionism	Abstraktusis ekspresionizmas
Abu Dhabi	Abu Dabis
Abu Dhabi (emirate)	Abu Dabis
Abuja	Abudža
Acacia	Akacija
Academy Award	Oskaras
Acceleration	Pagreitis
Accipitridae	Vanaginiai
Accordion	Akordeonas
Accountancy	Apskaita
Accountancy	Kategorija:Apskaita
Accra	Akra
Acetic acid	Acto rūgštis
Acetone	Acetonas
Acetylcholine	Acetilcholinas
Acetylene	Acetilenas
Acheron	Acheronas
Achillea millefolium	Paprastoji kraujažolė
Achilles	Achilas
Acid	Rūgštis
Acid rain	Rūgštusis lietus
Acne vulgaris	Spuogas
Aconcagua	Akonkagva
Acorn	Gilė
Acoustics	Kategorija:Akustika
Acre (state)	Akrė
Acropolis	Akropolis
Actinide	Aktinoidai
Actinium	Aktinis
Actor	Aktorius
Acts of the Apostles	Apaštalų darbai
Acupuncture	Akupunktūra
Ad hominem	Argumentas prieš žmogų
Adam Smith	Adam Smith
Adana	Adana
Adansonia	Baobabas
Addiction	Priklausomybė
Addis Ababa	Adis Abeba
Addition	Sudėtis
Adelaide	Adelaidė
Aden	Adenas
Adenine	Adeninas
Adenosine triphosphate	ATP
Adige	Adidžė
Adjective	Būdvardis
Adolf Hitler	Adolfas Hitleris
Adonis	Adonis (mitologija)
Adoption	Įvaikinimas
Adrenal gland	Antinkstis
Adriatic Sea	Adrijos jūra
Adsorption	Adsorbcija
Advent	Adventas
Advertising	Reklama
Aegean Sea	Egėjo jūra
Aeneas	Enėjas
Aeolus	Eolas
Aeschylus	Aischilas
Aesop	Ezopas
Aesthetics	Estetika
Afghanistan	Afganistanas
Afghanistan	Kategorija:Afganistanas
Africa	Afrika
Africa	Kategorija:Afrika
Afrikaans	Afrikanų kalba
Agamemnon	Agamemnonas
Agate	Agatas
Agatha Christie	Agatha Christie
Aggression	Agresija
Agnatha	Bežandžiai
Agnosticism	Agnosticizmas
Agoraphobia	Agorafobija
Agra	Agra
Agriculture	Žemės ūkis
Agrigento	Agridžentas
Aikido	Aikido
Ain	Enas
Air force	Karinės oro pajėgos
Airbus	Airbus
Aircraft	Orlaivis
Aircraft carrier	Lėktuvnešis
Airline	Oro linijų bendrovė
Airport	Oro uostas
Ajax	Ajax (reikšmės)
Ajax (mythology)	Ajaksas
Ajax (programming)	AJAX
Akhenaten	Echnatonas
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Kaponė
Al-Qaeda	Al-Qaeda
Alabama	Alabama
Alan Turing	Alan Turing
Alanine	Alaninas
Alaska	Aliaska
Albania	Albanija
Albania	Kategorija:Albanija
Albatross	Albatrosiniai
Albedo	Albedas
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Alberta	Alberta
Albinism	Albinizmas
