English	Neapolitan
1	1
1 (number)	Uno
10	10
10 (number)	Diece
100	100
1000	1000
101	101
105	105
11	11
11 (number)	Unnece
110	110
115	115
12	12
12 (number)	Dùrece
120	120
125	125
13	13
130	130
135	135
14	14
14 (number)	Quattuòrdece
140	140
144	144
145	145
15	15
15 (number)	Quìnnece
150	150
155	155
16	16
16 (number)	Sìrece
160	160
165	165
17	17
17 (number)	Dicessètte
170	170
1728	1728
175	175
18	18
18 (number)	Diciòtte
180	180
19	19
19 (number)	Dicennòve
190	190
2	2
2 (number)	Ddoje
20	20
20 (number)	Vinte
200	200
21	21
21 (number)	Vintùne
22	22
22 (number)	Vintiròie
23	23
23 (number)	Vintitrè
24	24
24 (number)	Vintiquàtte
25	25
25 (number)	Vinticìnche
26	26
26 (number)	Vintisèie
27	27
27 (number)	Vintisètte
28	28
28 (number)	Vintòtte
29	29
29 (number)	Vintinòve
3	3
30	30
30 (number)	Trenta
300	300
31	31
31 (number)	Trentùne
32	32
32 (number)	Trentaròie
33	33
33 (number)	Trentatrè
34	34
34 (number)	Trentaquàtte
35	35
35 (number)	Trentacìnche
36	36
36 (number)	Trentasèie
37	37
37 (number)	Trentasètte
38	38
38 (number)	Trentòtte
39	39
39 (number)	Trentanòve
4	4
40	40
40 (number)	Quaranta
400	400
41	41
41 (number)	Quarantùno
42	42
42 (number)	Quarantadòje
43	43
43 (number)	Quarantatrè
44	44
45	45
45 (number)	Quarantacìnche
46	46
46 (number)	Quarantasèie
47	47
48	48
49	49
49 (number)	Quarantanòve
5	5
50	50
50 (number)	Cinquànta
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	Seie
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	Sette
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	Otto
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	Nove
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
Abraham Lincoln	Abraham Lincoln
Acorn	Cugliandra
Adriatic Sea	Mar Adriateco
Africa	Categoria:Africa
Agrigento	Agrigento
Alabama	Alabama
American Civil War	Uerra civile merricana
Anime	Anime
Antwerp	Anversa
April	Abbrile
April 14	14 'e abbrile
Apulia	Pùglia
Archaeology	Archeologgia
Architecture	Architettura
Architecture	Categoria:Architettura
Argentina	Argentina
Art	Arte
