English	Norwegian
0 (number)	Null
1	1
1 (number)	1 (tall)
10	10
10 (number)	10 (tall)
100	100
100	Kategori:100
100 (number)	100 (tall)
1000	1000
1000	Kategori:1000
1000 (number)	1000 (tall)
101	101
105	105
11	11
11 (number)	11 (tall)
110	110
115	115
12	12
12	Kategori:12
12 (number)	12 (tall)
120	120
125	125
13	13
13 (number)	13 (tall)
130	130
135	135
14	14
14	Kategori:14
14 (number)	14 (tall)
140	140
144	144
145	145
15	15
15 (number)	15 (tall)
150	150
1530s	1530-årene
155	155
16	16
16	Kategori:16
16 (number)	16 (tall)
160	160
165	165
17	17
17	Kategori:17
17 (number)	17 (tall)
170	170
1728	1728
1728	Kategori:1728
175	175
1750s	1750-årene
1760s	1760-årene
1770s	1770-årene
1780s	1780-årene
1790s	1790-årene
18	18
18 (number)	18 (tall)
180	180
1820s	1820-årene
1820s	Kategori:Hendelser i 1820-årene
1830s	1830-årene
1830s	Kategori:Hendelser i 1830-årene
1840s	1840-årene
1840s	Kategori:Hendelser i 1840-årene
1850s	1850-årene
1860s	1860-årene
1860s	Kategori:Hendelser i 1860-årene
1870s	1870-årene
1870s	Kategori:Hendelser i 1870-årene
1880s	1880-årene
1880s	Kategori:Hendelser i 1880-årene
1890s	1890-årene
1890s	Kategori:Hendelser i 1890-årene
19	19
19 (number)	19 (tall)
190	190
1900s	1900-årene
1900s	Kategori:Hendelser i 1900-årene
1920s	1920-årene
1920s	Kategori:Hendelser i 1920-årene
1930s	1930-årene
1930s	Kategori:Hendelser i 1930-årene
1940s	1940-årene
1940s	Kategori:Hendelser i 1940-årene
1950s	1950-årene
1950s	Kategori:Hendelser i 1950-årene
1960s	1960-årene
1960s	Kategori:Hendelser i 1960-årene
1970s	1970-årene
1970s	Kategori:Hendelser i 1970-årene
1980s	1980-årene
1980s	Kategori:Hendelser i 1980-årene
1990s	1990-årene
1990s	Kategori:Hendelser i 1990-årene
2	2
2 (number)	2 (tall)
20	20
20 (number)	20 (tall)
200	200
21	21
21 (number)	21 (tall)
22	22
22 (number)	22 (tall)
23	23
23 (number)	23 (tall)
24	24
24 (TV series)	24 (TV-serie)
24 (number)	24 (tall)
25	25
25 (number)	25 (tall)
26	26
26 (number)	26 (tall)
27	27
27 (number)	27 (tall)
28	28
28 (number)	28 (tall)
29	29
29 (number)	29 (tall)
3	3
3 (number)	3 (tall)
30	30
30 (number)	30 (tall)
300	300
31	31
31 (number)	31 (tall)
32	32
32 (number)	32 (tall)
33	33
33 (number)	33 (tall)
34	34
34 (number)	34 (tall)
35	35
35 (number)	35 (tall)
36	36
36 (number)	36 (tall)
37	37
37 (number)	37 (tall)
38	38
38 (number)	38 (tall)
39	39
39 (number)	39 (tall)
4	4
4 (number)	4 (tall)
40	40
40 (number)	40 (tall)
400	400
41	41
41 (number)	41 (tall)
42	42
42 (number)	42 (tall)
43	43
43 (number)	43 (tall)
44	44
45	45
45 (number)	45 (tall)
46	46
46 (number)	46 (tall)
47	47
48	48
49	49
49 (number)	49 (tall)
5	5
5 (number)	5 (tall)
50	50
50 (number)	50 (tall)
500	500
500	Kategori:500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (tall)
60	60
60 (number)	60 (tall)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (tall)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (tall)
80	80
80 (number)	80 (tall)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (tall)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A (Cyrillic)	А
A cappella	A cappella
ABC	ABC
AIDS	Aids
ATP	ATP (andre betydninger)
AZ (football club)	AZ Alkmaar
Aachen	Aachen
Aalborg	Aalborg
Aar	Aare
Aardvark	Jordsvin
Aarhus	Århus
Aaron	Aron
Abacus	Abakus (kuleramme)
Abbot	Abbed
Abbreviation	Forkortelse
Abdomen	Bakkropp
Abel Tasman	Abel Janszoon Tasman
Abelian group	Abelsk gruppe
Aberdeen	Aberdeen
Abidjan	Abidjan
Abkhazia	Abkhasia
Abkhazia	Kategori:Abkhasia
Abolitionism	Abolisjonisme
Abortion	Abort
Abraham	Abraham (bibelsk person)
Abraham Lincoln	Abraham Lincoln
Absinthe	Absint
Absolute magnitude	Absolutt størrelsesklasse
Absolute value	Absoluttverdi
Absolute zero	Det absolutte nullpunkt
Absolutism (European history)	Absolutisme
Abstract art	Abstrakt kunst
Abstract expressionism	Abstrakt ekspresjonisme
Abstraction	Abstraksjon
Abu Dhabi	Abu Dhabi
Abu Dhabi (emirate)	Abu Dhabi
Abuja	Abuja
Academy Award	Oscar
Acapulco	Acapulco
Acceleration	Akselerasjon
Accipitridae	Haukefamilien
Accordion	Trekkspill
Accountancy	Regnskap
Accountancy	Kategori:Regnskap
Accra	Accra
Accusative case	Akkusativ
Acetaldehyde	Acetaldehyd
Acetic acid	Eddiksyre
Acetone	Aceton
Acetylcholine	Acetylkolin
Acetylene	Acetylen
Achillea millefolium	Ryllik
Achilles	Akilles
Acid	Syre
Acid rain	Sur nedbør
Acne vulgaris	Akne
Aconcagua	Aconcagua
Acoustics	Akustikk
Acre	Acre (måleenhet)
Acre	Akko
Acre (state)	Acre (Brasil)
Acropolis	Akropolis
Actinide	Aktinoider
Actinium	Actinium
Actor	Skuespiller
Acts of the Apostles	Apostlenes gjerninger
Acupuncture	Akupunktur
Ad hominem	Ad hominem-argument
Ada (programming language)	Ada
Adam Smith	Adam Smith
Adansonia	Baobab
Addiction	Avhengighet
Addis Ababa	Addis Abeba
Addition	Addisjon
Adelaide	Adelaide
Aden	Aden
Adenine	Adenin
Adenosine triphosphate	Adenosintrifosfat
Adige	Adige
Adjective	Adjektiv
Admiral	Admiral
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis	Adonis
Adoption	Adopsjon
Adrenal gland	Binyre
Adriatic Sea	Adriaterhavet
Adsorption	Adsorbsjon
Adult	Voksen
Advent	Advent
Adverb	Adverb
Advertising	Reklame
Aegean Sea	Egeerhavet
Aeneas	Aineias
Aeneid	Aeneiden
Aeolus	Aiolos
Aerodynamics	Aerodynamikk
Aerosol	Aerosol
Aeschylus	Aiskhylos
Aesop	Æsop
Aesthetics	Estetikk
Affix	Affiks
Afghanistan	Afghanistan
Afghanistan	Kategori:Afghanistan
Africa	Afrika
Africa	Kategori:Afrika
African American	Afroamerikanere
Afrikaans	Afrikaans
Agamemnon	Agamemnon
Agatha Christie	Agatha Christie
Aggression	Aggresjon
Agnosticism	Agnostisisme
Agora	Agora
Agoraphobia	Agorafobi
Agra	Agra (by i India)
Agriculture	Landbruk
Agriculture	Kategori:Landbruk
Agrigento	Agrigento
Aikido	Aikido
Ain	Ain (departement)
Air force	Flyvåpen
Airbus	Airbus
Aircraft	Luftfartøy
Aircraft	Kategori:Luftfartøyer
Aircraft carrier	Hangarskip
Airline	Flyselskap
Airport	Lufthavn
Ajax	Ajax
Ajax (mythology)	Ajax (mytologi)
Ajax (programming)	Ajax (Internett)
Akhenaten	Akhnaton
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al-Qaida
Alabama	Alabama
Alabama	Kategori:Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alaska	Alaska
Alaska	Kategori:Alaska
Alban Berg	Alban Berg
Albania	Albania
Albania	Kategori:Albania
Albany	Albany (New York)
Albatross	Albatrosser
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
