English	Romanian
0 (number)	0 (cifră)
1	1
10	10
100	100
100	Categorie:100
1000	1000
1000	Categorie:1000
101	101
105	105
11	11
110	110
115	115
12	12
12	Categorie:12
120	120
125	125
13	13
130	130
135	135
14	14
14	Categorie:14
140	140
144	144
145	145
15	15
150	150
1530s	Anii 1530
155	155
16	16
16	Categorie:16
160	160
165	165
17	17
17	Categorie:17
170	170
1728	1728
1728	Categorie:1728
175	175
1750s	Anii 1750
1750s	Categorie:Anii 1750
1760s	Anii 1760
1760s	Categorie:Anii 1760
1770s	Anii 1770
1770s	Categorie:Anii 1770
1780s	Anii 1780
1780s	Categorie:Anii 1780
1790s	Anii 1790
1790s	Categorie:Anii 1790
18	18
180	180
1820s	Anii 1820
1820s	Categorie:Anii 1820
1830s	Anii 1830
1830s	Categorie:Anii 1830
1840s	Anii 1840
1840s	Categorie:Anii 1840
1850s	Anii 1850
1860s	Anii 1860
1860s	Categorie:Anii 1860
1870s	Anii 1870
1870s	Categorie:Anii 1870
1880s	Anii 1880
1880s	Categorie:Anii 1880
1890s	Anii 1890
1890s	Categorie:Anii 1890
19	19
190	190
1900s	Anii 1900
1900s	Categorie:Anii 1900
1920s	Anii 1920
1920s	Categorie:Anii 1920
1930s	Anii 1930
1930s	Categorie:Anii 1930
1940s	Anii 1940
1940s	Categorie:Anii 1940
1950s	Anii 1950
1950s	Categorie:Anii 1950
1960s	Anii 1960
1960s	Categorie:Anii 1960
1970s	Anii 1970
1970s	Categorie:Anii 1970
1980s	Anii 1980
1980s	Categorie:Anii 1980
1990s	Anii 1990
1990s	Categorie:Anii 1990
2	2
20	20
200	200
21	21
22	22
23	23
24	24
24 (TV series)	24 (serial tv)
25	25
26	26
27	27
28	28
29	29
3	3
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
50	50
500	500
500	Categorie:500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (cifră)
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (cifră)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
