English	Swedish
0 (number)	0 (tal)
1	1
1 (number)	1 (tal)
10	10
10 (number)	10 (tal)
100	100
100	Kategori:100
100 (number)	100 (tal)
1000	1000
1000	Kategori:1000
101	101
105	105
11	11
11 (number)	11 (tal)
110	110
115	115
12	12
12	Kategori:12
12 (number)	12 (tal)
120	120
125	125
13	13
13 (number)	13 (tal)
130	130
135	135
14	14
14	Kategori:14
14 (number)	14 (tal)
140	140
144	144
145	145
15	15
15 (number)	15 (tal)
150	150
1530s	1530-talet
155	155
16	16
16	Kategori:16
16 (number)	16 (tal)
160	160
165	165
17	17
17	Kategori:17
17 (number)	17 (tal)
170	170
1728	1728
1728	Kategori:1728
175	175
1750s	1750-talet
1750s	Kategori:1750-talet
1760s	1760-talet
1760s	Kategori:1760-talet
1770s	1770-talet
1770s	Kategori:1770-talet
1780s	1780-talet
1780s	Kategori:1780-talet
1790s	1790-talet
1790s	Kategori:1790-talet
18	18
18 (number)	18 (tal)
180	180
1820s	1820-talet
1820s	Kategori:1820-talet
1830s	1830-talet
1830s	Kategori:1830-talet
1840s	1840-talet
1840s	Kategori:1840-talet
1850s	1850-talet
1860s	1860-talet
1860s	Kategori:1860-talet
1870s	1870-talet
1870s	Kategori:1870-talet
1880s	1880-talet
1880s	Kategori:1880-talet
1890s	1890-talet
1890s	Kategori:1890-talet
19	19
19 (number)	19 (tal)
190	190
1900s	1900-talet (decennium)
1900s	Kategori:1900-talet (decennium)
1920s	1920-talet
1920s	Kategori:1920-talet
1930s	1930-talet
1930s	Kategori:1930-talet
1940s	1940-talet
1940s	Kategori:1940-talet
1950s	1950-talet
1950s	Kategori:1950-talet
1960s	1960-talet
1960s	Kategori:1960-talet
1970s	1970-talet
1970s	Kategori:1970-talet
1980s	1980-talet
1980s	Kategori:1980-talet
1990s	1990-talet
1990s	Kategori:1990-talet
2	2
2 (number)	2 (tal)
20	20
20 (number)	20 (tal)
200	200
21	21
21 (number)	21 (tal)
22	22
22 (number)	22 (tal)
23	23
23 (number)	23 (tal)
24	24
24 (TV series)	24 (TV-serie)
24 (number)	24 (tal)
25	25
25 (number)	25 (tal)
26	26
26 (number)	26 (tal)
27	27
27 (number)	27 (tal)
28	28
28 (number)	28 (tal)
29	29
29 (number)	29 (tal)
3	3
3 (number)	3 (tal)
30	30
30 (number)	30 (tal)
300	300
31	31
31 (number)	31 (tal)
32	32
32 (number)	32 (tal)
33	33
33 (number)	33 (tal)
34	34
34 (number)	34 (tal)
35	35
35 (number)	35 (tal)
36	36
36 (number)	36 (tal)
37	37
37 (number)	37 (tal)
38	38
38 (number)	38 (tal)
39	39
39 (number)	39 (tal)
4	4
4 (number)	4 (tal)
40	40
40 (number)	40 (tal)
400	400
41	41
41 (number)	41 (tal)
42	42
42 (number)	42 (tal)
43	43
43 (number)	43 (tal)
44	44
45	45
45 (number)	45 (tal)
46	46
46 (number)	46 (tal)
47	47
48	48
49	49
49 (number)	49 (tal)
5	5
5 (number)	5 (tal)
50	50
50 (number)	50 (tal)
500	500
500	Kategori:500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (tal)
60	60
60 (number)	60 (tal)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (tal)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (tal)
80	80
80 (number)	80 (tal)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (tal)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
