English	Thai
1	พ.ศ. 544
1 (number)	1
10	พ.ศ. 553
10 (number)	10
100	พ.ศ. 643
100 (number)	100
1000	พ.ศ. 1543
1000 (number)	1000
101	พ.ศ. 644
105	พ.ศ. 648
11	พ.ศ. 554
11 (number)	11
110	พ.ศ. 653
115	พ.ศ. 658
12	พ.ศ. 555
12 (number)	12
120	พ.ศ. 663
125	พ.ศ. 668
13	พ.ศ. 556
13 (number)	13
130	พ.ศ. 673
135	พ.ศ. 678
14	พ.ศ. 557
14	หมวดหมู่:พ.ศ. 557
14 (number)	14
140	พ.ศ. 683
144	พ.ศ. 687
145	พ.ศ. 688
15	พ.ศ. 558
15 (number)	15
150	พ.ศ. 693
155	พ.ศ. 698
16	พ.ศ. 559
16 (number)	16
160	พ.ศ. 703
165	พ.ศ. 708
17	พ.ศ. 560
17 (number)	17
170	พ.ศ. 713
1728	พ.ศ. 2271
175	พ.ศ. 718
1750s	หมวดหมู่:คริสต์ทศวรรษ 1750
1760s	หมวดหมู่:คริสต์ทศวรรษ 1760
1770s	หมวดหมู่:คริสต์ทศวรรษ 1770
1780s	หมวดหมู่:คริสต์ทศวรรษ 1780
1790s	หมวดหมู่:คริสต์ทศวรรษ 1790
18	พ.ศ. 561
18 (number)	18
180	พ.ศ. 723
1820s	หมวดหมู่:คริสต์ทศวรรษ 1820
1830s	หมวดหมู่:คริสต์ทศวรรษ 1830
1840s	หมวดหมู่:คริสต์ทศวรรษ 1840
1860s	หมวดหมู่:คริสต์ทศวรรษ 1860
1870s	คริสต์ทศวรรษ 1870
1870s	หมวดหมู่:คริสต์ทศวรรษ 1870
1880s	หมวดหมู่:คริสต์ทศวรรษ 1880
1890s	หมวดหมู่:คริสต์ทศวรรษ 1890
19	พ.ศ. 562
19 (number)	19
190	พ.ศ. 733
1900s	หมวดหมู่:คริสต์ทศวรรษ 1900
1920s	หมวดหมู่:คริสต์ทศวรรษ 1920
1930s	หมวดหมู่:คริสต์ทศวรรษ 1930
1940s	หมวดหมู่:คริสต์ทศวรรษ 1940
1950s	หมวดหมู่:คริสต์ทศวรรษ 1950
1960s	หมวดหมู่:คริสต์ทศวรรษ 1960
1970s	หมวดหมู่:คริสต์ทศวรรษ 1970
1980s	หมวดหมู่:คริสต์ทศวรรษ 1980
1990s	หมวดหมู่:คริสต์ทศวรรษ 1990
2	พ.ศ. 545
2 (number)	2
20	พ.ศ. 563
20 (number)	20
200	พ.ศ. 743
21	พ.ศ. 564
21 (number)	21
22	พ.ศ. 565
22 (number)	22
23	พ.ศ. 566
23 (number)	23
24	พ.ศ. 567
24 (TV series)	24 (ซีรี่ส์)
24 (number)	24
25	พ.ศ. 568
25 (number)	25
26	พ.ศ. 569
26 (number)	26
27	พ.ศ. 570
27 (number)	27
28	พ.ศ. 571
28 (number)	28
29	พ.ศ. 572
29 (number)	29
3	พ.ศ. 546
3 (number)	3
30	พ.ศ. 573
30 (number)	30
300	พ.ศ. 843
31	พ.ศ. 574
31 (number)	31
32	พ.ศ. 575
32 (number)	32
33	พ.ศ. 576
33 (number)	33
34	พ.ศ. 577
34 (number)	34
35	พ.ศ. 578
35 (number)	35
36	พ.ศ. 579
36 (number)	36
37	พ.ศ. 580
37 (number)	37
38	พ.ศ. 581
38 (number)	38
39	พ.ศ. 582
39 (number)	39
4	พ.ศ. 547
4 (number)	4
40	พ.ศ. 583
40 (number)	40
400	พ.ศ. 943
41	พ.ศ. 584
41 (number)	41
42	พ.ศ. 585
42 (number)	42
43	พ.ศ. 586
43 (number)	43
44	พ.ศ. 587
45	พ.ศ. 588
45 (number)	45
46	พ.ศ. 589
46 (number)	46
47	พ.ศ. 590
48	พ.ศ. 591
49	พ.ศ. 592
49 (number)	49
5	พ.ศ. 548
5 (number)	5
50	พ.ศ. 593
50 (number)	50
500	พ.ศ. 1043
51	พ.ศ. 594
52	พ.ศ. 595
53	พ.ศ. 596
54	พ.ศ. 597
55	พ.ศ. 598
56	พ.ศ. 599
57	พ.ศ. 600
58	พ.ศ. 601
59	พ.ศ. 602
6	พ.ศ. 549
6 (number)	6
60	พ.ศ. 603
60 (number)	60
61	พ.ศ. 604
62	พ.ศ. 605
63	พ.ศ. 606
64	พ.ศ. 607
65	พ.ศ. 608
66	พ.ศ. 609
67	พ.ศ. 610
68	พ.ศ. 611
69	พ.ศ. 612
7	พ.ศ. 550
7 (number)	7
70	พ.ศ. 613
71	พ.ศ. 614
72	พ.ศ. 615
73	พ.ศ. 616
74	พ.ศ. 617
75	พ.ศ. 618
76	พ.ศ. 619
77	พ.ศ. 620
78	พ.ศ. 621
79	พ.ศ. 622
8	พ.ศ. 551
8 (number)	8
80	พ.ศ. 623
80 (number)	80
81	พ.ศ. 624
82	พ.ศ. 625
83	พ.ศ. 626
84	พ.ศ. 627
85	พ.ศ. 628
86	พ.ศ. 629
87	พ.ศ. 630
88	พ.ศ. 631
89	พ.ศ. 632
9	พ.ศ. 552
9 (number)	9
90	พ.ศ. 633
91	พ.ศ. 634
92	พ.ศ. 635
93	พ.ศ. 636
94	พ.ศ. 637
95	พ.ศ. 638
96	พ.ศ. 639
97	พ.ศ. 640
98	พ.ศ. 641
99	พ.ศ. 642
A	A
A (Cyrillic)	A (ซีริลลิก)
ABC	ABC
AIDS	เอดส์
Aachen	อาเคิน
Abacus	ลูกคิด
Abel Tasman	แอเบล แทสมัน
Abidjan	อาบิดจาน
Abortion	การแท้ง
Abraham	อับราฮัม
Abraham Lincoln	อับราฮัม ลิงคอล์น
Absolute magnitude	โชติมาตรสัมบูรณ์
Absolute value	ค่าสัมบูรณ์
Absolute zero	ศูนย์สัมบูรณ์
Abstraction	นามธรรม
Abuja	อาบูจา
Academy Award	รางวัลออสการ์
Acceleration	ความเร่ง
Accountancy	หมวดหมู่:การบัญชี
Acetic acid	กรดน้ำส้ม
Acetone	อะซิโตน
Achilles	อคิลลีส
Acid	กรด
Acid rain	ฝนกรด
Acne vulgaris	สิว
Aconcagua	ยอดเขาอากอนกากวา
Acoustics	สวนศาสตร์
Acoustics	หมวดหมู่:สวนศาสตร์
Acropolis	อะโครโพลิส
Actinide	แอกทิไนด์
Actinium	แอกทิเนียม
Actor	นักแสดง
Acts of the Apostles	กิจการของอัครทูต
Ada (programming language)	ภาษาเอดา
Adam	อาดัม
Adam Smith	แอดัม สมิธ
Addition	การบวก
Adiabatic process	กระบวนการอะเดียแบติก
Adjective	คำวิเศษณ์
Adolescence	วัยรุ่น
Adolf Hitler	อดอล์ฟ ฮิตเลอร์
Adrenal gland	ต่อมหมวกไต
Advertising	โฆษณา
Aegean Sea	ทะเลอีเจียน
Aeneas	อีเนียส
Aerosol	ละอองลอย
Aesop	อีสป
Aesthetics	สุนทรียศาสตร์
Affix	หน่วยคำเติม
Afghanistan	ประเทศอัฟกานิสถาน
Afghanistan	หมวดหมู่:ประเทศอัฟกานิสถาน
Africa	ทวีปแอฟริกา
Africa	หมวดหมู่:ทวีปแอฟริกา
African American	แอฟริกันอเมริกัน
Afrikaans	ภาษาแอฟริคานส์
Agate	โมรา
Agatha Christie	อกาธา คริสตี
Agriculture	เกษตรกรรม
Agriculture	หมวดหมู่:เกษตรกรรม
Aikido	ไอคิโด
Air force	กองทัพอากาศ
Airbus	แอร์บัส
Aircraft	อากาศยาน
Aircraft	หมวดหมู่:อากาศยาน
Aircraft carrier	เรือบรรทุกอากาศยาน
Airport	ท่าอากาศยาน
Ajax (mythology)	อาแจ็กซ์
Ajax (programming)	เอแจ็กซ์
Akhenaten	ฟาโรห์อเคนาเตน
Akira Kurosawa	อากิระ คุโรซาวา
Al Gore	อัล กอร์
Alabama	มลรัฐแอละแบมา
Alan Turing	แอลัน ทัวริง
Alaska	มลรัฐอะแลสกา
Albania	ประเทศแอลเบเนีย
Albert Camus	อัลแบร์ กามู
Albert Einstein	อัลเบิร์ต ไอน์สไตน์
Alberta	รัฐแอลเบอร์ตา
Album	อัลบั้ม
Alchemy	การเล่นแร่แปรธาตุ
Alcohol	แอลกอฮอล์
Alcoholic beverage	สุรา
Aldous Huxley	อัลดัส ฮักซลีย์
Alec Guinness	อเล็ก กินเนสส์
Alexander	อเล็กซานเดอร์ (ชื่อ)
Alexander Fleming	อเล็กซานเดอร์ เฟลมมิง
Alexander Graham Bell	อเล็กซานเดอร์ เกรแฮม เบลล์
Alexander the Great	อเล็กซานเดอร์มหาราช
Alexandria	อเล็กซานเดรีย
Alfred Hitchcock	อัลเฟร็ด ฮิตช์ค็อก
Alfred Nobel	อัลเฟรด โนเบล
